target,source,flow
Alabama,Alaska,576
Alabama,Arizona,1022
Alabama,Arkansas,495
Alabama,California,6611
Alabama,Colorado,2177
Alabama,Connecticut,566
Alabama,Delaware,0
Alabama,District of Columbia ,97
Alabama,Florida,16631
Alabama,Georgia,23008
Alabama,Hawaii,1695
Alabama,Idaho,212
Alabama,Illinois,3707
Alabama,Indiana,1445
Alabama,Iowa,671
Alabama,Kansas,1261
Alabama,Kentucky,1590
Alabama,Louisiana,1508
Alabama,Maine,151
Alabama,Maryland,1903
Alabama,Massachusetts,330
Alabama,Michigan,2195
Alabama,Minnesota,122
Alabama,Mississippi,7602
Alabama,Missouri,2746
Alabama,Montana,294
Alabama,Nebraska,33
Alabama,Nevada,254
Alabama,New Hampshire,0
Alabama,New Jersey,812
Alabama,New Mexico,826
Alabama,New York,3047
Alabama,North Carolina,6419
Alabama,North Dakota,0
Alabama,Ohio,2694
Alabama,Oklahoma,1169
Alabama,Oregon,498
Alabama,Pennsylvania,1008
Alabama,Rhode Island,0
Alabama,South Carolina,2952
Alabama,South Dakota,52
Alabama,Tennessee,9960
Alabama,Texas,7689
Alabama,Utah,525
Alabama,Vermont,0
Alabama,Virginia,3535
Alabama,Washington,677
Alabama,West Virginia,42
Alabama,Wisconsin,874
Alabama,Wyoming,539
Alaska,Alabama,423
Alaska,Arizona,1176
Alaska,Arkansas,65
Alaska,California,3593
Alaska,Colorado,1401
Alaska,Connecticut,0
Alaska,Delaware,79
Alaska,District of Columbia ,0
Alaska,Florida,1100
Alaska,Georgia,2208
Alaska,Hawaii,561
Alaska,Idaho,361
Alaska,Illinois,715
Alaska,Indiana,126
Alaska,Iowa,142
Alaska,Kansas,1831
Alaska,Kentucky,703
Alaska,Louisiana,273
Alaska,Maine,147
Alaska,Maryland,0
Alaska,Massachusetts,44
Alaska,Michigan,133
Alaska,Minnesota,236
Alaska,Mississippi,92
Alaska,Missouri,281
Alaska,Montana,832
Alaska,Nebraska,0
Alaska,Nevada,534
Alaska,New Hampshire,32
Alaska,New Jersey,270
Alaska,New Mexico,198
Alaska,New York,910
Alaska,North Carolina,714
Alaska,North Dakota,58
Alaska,Ohio,100
Alaska,Oklahoma,806
Alaska,Oregon,1301
Alaska,Pennsylvania,574
