target,source,flow
Alaska,Alabama,424
Arizona,Alabama,1513
Arkansas,Alabama,517
California,Alabama,2328
Colorado,Alabama,1974
Connecticut,Alabama,336
Delaware,Alabama,22
District of Columbia ,Alabama,378
Florida,Alabama,14171
Georgia,Alabama,22363
Hawaii,Alabama,93
Idaho,Alabama,118
Illinois,Alabama,2399
Indiana,Alabama,2295
Iowa,Alabama,627
Kansas,Alabama,646
Kentucky,Alabama,2157
Louisiana,Alabama,2308
Maine,Alabama,56
Maryland,Alabama,801
Massachusetts,Alabama,450
Michigan,Alabama,1821
Minnesota,Alabama,420
Mississippi,Alabama,7798
Missouri,Alabama,544
Montana,Alabama,247
Nebraska,Alabama,167
Nevada,Alabama,1989
New Hampshire,Alabama,245
New Jersey,Alabama,1103
New Mexico,Alabama,1007
New York,Alabama,2203
North Carolina,Alabama,4245
North Dakota,Alabama,878
Ohio,Alabama,1702
Oklahoma,Alabama,877
Oregon,Alabama,444
Pennsylvania,Alabama,1595
Rhode Island,Alabama,848
South Carolina,Alabama,1896
South Dakota,Alabama,96
Tennessee,Alabama,8018
Texas,Alabama,8825
Utah,Alabama,998
Vermont,Alabama,0
Virginia,Alabama,4277
Washington,Alabama,1289
West Virginia,Alabama,1070
Wisconsin,Alabama,1121
Wyoming,Alabama,104
Alabama,Alaska,942
Arizona,Alaska,1387
Arkansas,Alaska,203
California,Alaska,3556
Colorado,Alaska,1487
Connecticut,Alaska,0
Delaware,Alaska,0
District of Columbia ,Alaska,0
Florida,Alaska,906
Georgia,Alaska,422
Hawaii,Alaska,424
Idaho,Alaska,225
Illinois,Alaska,723
Indiana,Alaska,186
Iowa,Alaska,1083
Kansas,Alaska,17
Kentucky,Alaska,397
Louisiana,Alaska,327
Maine,Alaska,225
Maryland,Alaska,325
Massachusetts,Alaska,111
Michigan,Alaska,524
Minnesota,Alaska,1077
Mississippi,Alaska,172
Missouri,Alaska,143
Montana,Alaska,156
Nebraska,Alaska,282
Nevada,Alaska,633
New Hampshire,Alaska,0
New Jersey,Alaska,485
New Mexico,Alaska,64
New York,Alaska,757
North Carolina,Alaska,345
North Dakota,Alaska,103
Ohio,Alaska,448
Oklahoma,Alaska,373
Oregon,Alaska,1232
Pennsylvania,Alaska,274
Rhode Island,Alaska,216
South Carolina,Alaska,270
South Dakota,Alaska,6
Tennessee,Alaska,544
Texas,Alaska,2165
Utah,Alaska,465
Vermont,Alaska,0
Virginia,Alaska,360
Washington,Alaska,3653
West Virginia,Alaska,0
Wisconsin,Alaska,2500
Wyoming,Alaska,6
Alabama,Arizona,1337
Alaska,Arizona,2255
Arkansas,Arizona,1763
California,Arizona,59233
Colorado,Arizona,12810
Connecticut,Arizona,730
Delaware,Arizona,810
District of Columbia ,Arizona,362
Florida,Arizona,8522
Georgia,Arizona,5278
Hawaii,Arizona,2651
Idaho,Arizona,3991
Illinois,Arizona,13095
Indiana,Arizona,3381
Iowa,Arizona,3423
Kansas,Arizona,2506
Kentucky,Arizona,1708
Louisiana,Arizona,2174
Maine,Arizona,194
Maryland,Arizona,1108
Massachusetts,Arizona,2382
Michigan,Arizona,5651
Minnesota,Arizona,7093
Mississippi,Arizona,1261
Missouri,Arizona,5195
Montana,Arizona,2436
Nebraska,Arizona,1870
Nevada,Arizona,7647
New Hampshire,Arizona,578
New Jersey,Arizona,4329
New Mexico,Arizona,6455
New York,Arizona,5674
North Carolina,Arizona,4429
North Dakota,Arizona,2725
Ohio,Arizona,5095
Oklahoma,Arizona,4856
Oregon,Arizona,10701
Pennsylvania,Arizona,6332
Rhode Island,Arizona,141
South Carolina,Arizona,1214
South Dakota,Arizona,1458
Tennessee,Arizona,2194
Texas,Arizona,12793
Utah,Arizona,8594
Vermont,Arizona,96
Virginia,Arizona,3593
Washington,Arizona,14392
West Virginia,Arizona,318
Wisconsin,Arizona,3897
Wyoming,Arizona,997
Alabama,Arkansas,574
Alaska,Arkansas,241
Arizona,Arkansas,1060
California,Arkansas,5334
Colorado,Arkansas,2547
Connecticut,Arkansas,0
Delaware,Arkansas,0
District of Columbia ,Arkansas,0
Florida,Arkansas,1525
Georgia,Arkansas,1805
Hawaii,Arkansas,0
Idaho,Arkansas,582
Illinois,Arkansas,2252
Indiana,Arkansas,1810
Iowa,Arkansas,176
Kansas,Arkansas,2021
Kentucky,Arkansas,1222
Louisiana,Arkansas,2867
Maine,Arkansas,0
Maryland,Arkansas,1425
Massachusetts,Arkansas,97
Michigan,Arkansas,961
Minnesota,Arkansas,808
Mississippi,Arkansas,4171
Missouri,Arkansas,6759
Montana,Arkansas,118
Nebraska,Arkansas,475
Nevada,Arkansas,439
New Hampshire,Arkansas,78
New Jersey,Arkansas,359
New Mexico,Arkansas,414
New York,Arkansas,283
North Carolina,Arkansas,1749
North Dakota,Arkansas,88
Ohio,Arkansas,39
Oklahoma,Arkansas,7854
Oregon,Arkansas,749
Pennsylvania,Arkansas,2639
Rhode Island,Arkansas,0
South Carolina,Arkansas,487
South Dakota,Arkansas,0
Tennessee,Arkansas,5383
Texas,Arkansas,15767
Utah,Arkansas,657
Vermont,Arkansas,0
Virginia,Arkansas,1087
Washington,Arkansas,1539
West Virginia,Arkansas,0
Wisconsin,Arkansas,958
Wyoming,Arkansas,12
Alabama,California,3715
Alaska,California,2606
Arizona,California,26907
Arkansas,California,3471
Colorado,California,25038
Connecticut,California,5935
