,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia ,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,Total,Puerto Rico
United States,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Alabama,N/A,392 ,"1,304 ","1,811 ","5,984 ","1,158 ",213 ,392 ,245 ,"19,258 ","21,146 ",352 ,53 ,"4,666 ","3,178 ",893 ,381 ,"3,267 ","10,034 ",304 ,739 ,397 ,"4,128 ",333 ,"11,325 ","2,271 ",0 ,66 ,181 ,101 ,"1,035 ",311 ,"3,732 ","3,926 ",326 ,"4,535 ","1,757 ",113 ,"1,277 ",0 ,"1,679 ",53 ,"8,241 ","8,457 ","1,387 ",351 ,"2,316 ","1,529 ",154 ,"1,501 ",519 ,N/A,301 
Alaska,751 ,N/A,"1,190 ",503 ,"3,353 ",968 ,498 ,0 ,0 ,940 ,"1,602 ","1,190 ",662 ,349 ,447 ,377 ,293 ,241 ,332 ,119 ,117 ,740 ,346 ,"1,216 ",396 ,476 ,729 ,"1,087 ","1,344 ",62 ,153 ,14 ,809 ,966 ,0 ,556 ,241 ,"2,577 ",454 ,206 ,61 ,0 ,71 ,"2,362 ","1,483 ",0 ,"1,325 ","4,850 ",37 ,845 ,334 ,N/A,0 
Arizona,"1,805 ","3,715 ",N/A,"1,163 ","85,497 ","7,030 ","1,392 ",589 ,352 ,"7,667 ","3,084 ","2,840 ","4,668 ","9,344 ","3,537 ","5,035 ","1,714 ","2,744 ","2,609 ","1,430 ","2,763 ","1,824 ","10,422 ","6,189 ","1,068 ","1,583 ","2,609 ","1,991 ","10,495 ","1,536 ","3,467 ","8,583 ","7,128 ","3,490 ",891 ,"7,860 ","2,754 ","7,224 ","5,623 ",858 ,"1,804 ","2,530 ","1,776 ","17,130 ","7,727 ",316 ,"3,580 ","11,774 ",52 ,"4,367 ","1,442 ",N/A,601 
Arkansas,"2,678 ",751 ,"4,212 ",N/A,"9,141 ","1,766 ",50 ,88 ,324 ,"3,666 ","1,587 ",853 ,392 ,"2,814 ",866 ,889 ,"2,030 ","1,755 ","8,216 ",0 ,341 ,891 ,"1,961 ","1,838 ","2,767 ","10,798 ",130 ,554 ,540 ,51 ,"1,643 ","1,551 ","1,546 ","1,496 ",138 ,"1,706 ","8,457 ",486 ,635 ,0 ,974 ,0 ,"6,862 ","15,022 ",525 ,153 ,"1,157 ","1,107 ",739 ,471 ,84 ,N/A,206 
California,"4,133 ","6,376 ","31,915 ","3,709 ",N/A,"15,885 ","5,596 ","1,339 ","2,044 ","27,196 ","13,384 ","14,421 ","6,486 ","25,149 ","6,972 ","2,380 ","5,018 ","1,709 ","10,561 ","2,288 ","10,140 ","13,846 ","10,693 ","5,647 ","4,660 ","5,847 ","1,874 ","2,504 ","28,855 ","1,323 ","8,843 ","4,829 ","31,703 ","10,901 ","1,934 ","13,165 ","8,025 ","25,374 ","11,747 ","1,664 ","3,426 ",367 ,"6,469 ","49,027 ","9,726 ","1,658 ","14,710 ","34,105 ",530 ,"10,213 ","1,739 ",N/A,"2,303 "
Colorado,"1,285 ","1,821 ","13,714 ",893 ,"34,803 ",N/A,675 ,345 ,378 ,"10,327 ","3,039 ","2,351 ","1,328 ","6,728 ","1,433 ","2,447 ","4,667 ",209 ,"2,246 ",718 ,"2,275 ","3,951 ","3,531 ","3,785 ","1,369 ","2,856 ","1,517 ","5,722 ","2,815 ",405 ,"1,650 ","5,922 ","3,920 ","4,152 ",590 ,"4,921 ","3,708 ","4,133 ","3,490 ",508 ,531 ,"1,139 ","1,057 ","16,928 ","4,678 ",494 ,"4,371 ","5,839 ",155 ,"2,303 ","6,646 ",N/A,0 
Connecticut,496 ,0 ,262 ,0 ,"2,727 ",660 ,N/A,160 ,284 ,"6,999 ","1,299 ",320 ,0 ,"1,607 ",236 ,113 ,301 ,199 ,269 ,"1,030 ","1,363 ","11,956 ",932 ,353 ,0 ,485 ,49 ,487 ,55 ,945 ,"5,064 ",147 ,"24,838 ","2,542 ",0 ,"1,941 ",101 ,440 ,"2,425 ","3,963 ","1,688 ",41 ,362 ,"3,882 ",654 ,"1,108 ","2,458 ",593 ,76 ,160 ,0 ,N/A,"2,448 "
Delaware,0 ,0 ,55 ,204 ,325 ,160 ,589 ,N/A,23 ,"1,613 ",979 ,0 ,0 ,571 ,391 ,136 ,0 ,99 ,136 ,283 ,"7,065 ",301 ,211 ,0 ,375 ,239 ,0 ,28 ,53 ,87 ,"5,245 ",0 ,"1,523 ",614 ,0 ,291 ,0 ,54 ,"7,588 ",413 ,135 ,0 ,176 ,292 ,70 ,0 ,893 ,207 ,203 ,0 ,0 ,N/A,0 
District of Columbia ,0 ,288 ,225 ,174 ,"2,672 ",135 ,"1,033 ","2,474 ",N/A,892 ,921 ,123 ,130 ,"1,796 ",627 ,117 ,359 ,536 ,274 ,113 ,"10,842 ",755 ,719 ,68 ,440 ,276 ,27 ,0 ,49 ,265 ,784 ,181 ,"4,831 ","1,730 ",0 ,"1,169 ",154 ,154 ,"2,918 ",189 ,502 ,0 ,50 ,"2,015 ",201 ,0 ,"6,737 ",464 ,205 ,266 ,0 ,N/A,100 
Florida,"13,015 ","4,995 ","6,030 ","3,232 ","27,658 ","9,275 ","13,989 ","1,685 ","1,340 ",N/A,"34,679 ","4,274 ","1,358 ","26,188 ","13,454 ","2,818 ","2,274 ","8,999 ","15,995 ","5,652 ","14,340 ","27,188 ","30,983 ","3,950 ","13,291 ","8,085 ",713 ,"1,390 ","4,163 ","3,284 ","36,055 ","2,131 ","87,576 ","23,862 ",402 ,"21,113 ","1,783 ","2,323 ","21,007 ","2,071 ","9,728 ",422 ,"12,387 ","30,708 ","2,250 ","2,404 ","19,783 ","5,452 ","3,592 ","9,286 ",389 ,N/A,"20,687 "
Georgia,"14,873 ","2,232 ","5,024 ","2,851 ","24,662 ","3,450 ","5,580 ","2,081 ","1,860 ","75,182 ",N/A,"1,120 ",457 ,"13,676 ","6,948 ","2,568 ","1,862 ","4,506 ","19,472 ","1,269 ","6,731 ","5,068 ","5,167 ","2,945 ","5,336 ","5,232 ","1,159 ","1,547 ","2,120 ",845 ,"9,684 ",337 ,"26,759 ","17,226 ",295 ,"8,254 ","3,337 ","1,198 ","8,690 ",778 ,"16,774 ",634 ,"14,737 ","16,121 ",711 ,542 ,"12,772 ","3,886 ","3,206 ","4,028 ",380 ,N/A,"1,480 "
Hawaii,332 ,"2,906 ","1,718 ",0 ,"14,459 ","2,254 ",627 ,0 ,262 ,"2,456 ","2,250 ",N/A,0 ,"1,996 ",351 ,148 ,496 ,705 ,238 ,443 ,459 ,506 ,193 ,529 ,251 ,284 ,461 ,46 ,"1,383 ",500 ,745 ,989 ,"2,654 ","1,785 ",0 ,674 ,744 ,"1,487 ","1,956 ",425 ,560 ,201 ,666 ,"4,405 ",288 ,0 ,"3,423 ","3,212 ",0 ,257 ,101 ,N/A,0 
Idaho,170 ,995 ,"3,178 ",225 ,"13,537 ","3,428 ",58 ,0 ,226 ,"1,428 ",111 ,786 ,N/A,607 ,86 ,"2,416 ",582 ,382 ,93 ,83 ,177 ,0 ,488 ,875 ,483 ,807 ,"3,386 ",162 ,"3,058 ",471 ,0 ,203 ,273 ,273 ,247 ,"1,356 ",337 ,"7,136 ",585 ,6 ,39 ,837 ,491 ,"5,042 ","5,921 ",0 ,952 ,"12,195 ",70 ,319 ,"1,047 ",N/A,0 
Illinois,"1,286 ","1,742 ","5,924 ","2,309 ","15,322 ","5,901 ","2,771 ",460 ,"1,596 ","17,271 ","3,854 ","1,609 ","2,069 ",N/A,"20,749 ","7,544 ","3,225 ","4,288 ","2,956 ",308 ,"2,936 ","2,317 ","14,740 ","5,186 ","2,390 ","17,787 ",265 ,"1,624 ","2,075 ",297 ,"3,058 ",865 ,"7,523 ","4,031 ",324 ,"7,612 ","1,104 ","1,709 ","4,369 ",423 ,"2,620 ",372 ,"5,164 ","14,431 ",723 ,546 ,"6,401 ","5,358 ",637 ,"16,802 ",37 ,N/A,"3,157 "
Indiana,"1,551 ",130 ,"2,434 ","1,201 ","7,374 ","1,277 ",967 ,180 ,0 ,"10,469 ","4,010 ",559 ,363 ,"34,027 ",N/A,"1,679 ",881 ,"11,572 ","2,506 ",0 ,"1,417 ",955 ,"14,603 ",997 ,"1,365 ","3,904 ",417 ,985 ,716 ,145 ,921 ,420 ,"3,166 ","4,265 ",139 ,"12,861 ",749 ,671 ,"2,764 ",0 ,"1,420 ",255 ,"3,725 ","10,493 ","2,951 ",62 ,"2,400 ","2,066 ",699 ,"4,237 ",62 ,N/A,56 
Iowa,740 ,109 ,"1,702 ",675 ,"6,764 ","1,893 ",248 ,153 ,65 ,"2,483 ",503 ,65 ,328 ,"12,255 ","2,862 ",N/A,"3,075 ",151 ,"1,299 ",179 ,675 ,129 ,"2,595 ","7,368 ",832 ,"6,410 ",95 ,"8,648 ","1,013 ",47 ,106 ,563 ,686 ,838 ,390 ,"1,869 ","1,040 ","1,557 ",560 ,0 ,327 ,"2,330 ",806 ,"4,997 ",841 ,0 ,"1,289 ",676 ,133 ,"3,953 ",502 ,N/A,59 
Kansas,938 ,412 ,"1,695 ","2,495 ","8,150 ","6,752 ",190 ,779 ,96 ,"2,290 ","3,130 ",237 ,43 ,"2,374 ",994 ,"2,515 ",N/A,"1,289 ","1,425 ",190 ,462 ,402 ,741 ,"1,136 ",676 ,"27,468 ",570 ,"3,533 ",869 ,59 ,"1,174 ","1,940 ","3,103 ","1,933 ",39 ,"2,141 ","6,631 ",508 ,621 ,0 ,"1,296 ",837 ,"2,291 ","8,762 ","1,272 ",22 ,"1,594 ",805 ,181 ,493 ,374 ,N/A,112 
Kentucky,"3,863 ",187 ,"1,049 ","1,076 ","5,461 ","1,917 ",265 ,38 ,174 ,"10,918 ","5,249 ",859 ,265 ,"5,748 ","12,264 ","1,386 ",578 ,N/A,982 ,512 ,"3,187 ",772 ,"4,360 ",610 ,653 ,"3,628 ",93 ,321 ,940 ,57 ,463 ,130 ,"2,574 ","3,836 ",0 ,"15,158 ","1,163 ",120 ,"1,479 ",100 ,915 ,97 ,"13,581 ","6,361 ",464 ,128 ,"4,204 ",868 ,"2,415 ",708 ,78 ,N/A,145 
Louisiana,"2,581 ",152 ,235 ,"2,486 ","5,286 ","1,108 ","1,047 ",466 ,531 ,"4,853 ","4,444 ",930 ,313 ,"1,473 ",889 ,"1,400 ",174 ,"1,219 ",N/A,64 ,"2,264 ",237 ,"2,081 ",477 ,"11,108 ","2,287 ",268 ,281 ,735 ,62 ,203 ,563 ,"1,921 ","1,586 ",0 ,"1,513 ","1,455 ",612 ,"1,096 ",78 ,"1,819 ",46 ,"1,416 ","30,477 ",452 ,0 ,"1,538 ",546 ,72 ,510 ,587 ,N/A,385 
Maine,80 ,220 ,164 ,38 ,"1,123 ",403 ,"3,181 ",0 ,0 ,"4,621 ",0 ,115 ,0 ,50 ,351 ,0 ,56 ,51 ,314 ,N/A,391 ,"7,107 ",996 ,168 ,152 ,0 ,0 ,0 ,0 ,"4,271 ","1,069 ",126 ,"2,829 ",667 ,30 ,"1,720 ",14 ,170 ,"1,188 ",612 ,239 ,41 ,481 ,"1,647 ",35 ,522 ,"1,962 ",75 ,95 ,172 ,124 ,N/A,87 
Maryland,"1,486 ",183 ,"1,504 ",116 ,"10,194 ","1,913 ","3,683 ","4,622 ","22,286 ","7,965 ","3,797 ","1,627 ",222 ,"2,655 ","1,206 ",283 ,189 ,"1,167 ","3,975 ",477 ,N/A,"3,214 ","3,159 ",574 ,"1,417 ","1,707 ",179 ,114 ,"1,605 ","1,395 ","8,935 ",366 ,"15,819 ","7,270 ",48 ,"4,245 ",305 ,829 ,"14,470 ","1,092 ","4,113 ",0 ,808 ,"10,054 ","1,554 ",643 ,"22,977 ",937 ,"2,719 ",621 ,0 ,N/A,189 
