,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia ,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,Total,Puerto Rico
Massachusetts,364 ,"1,531 ","1,404 ",443 ,"11,605 ","2,711 ","13,185 ",104 ,"1,030 ","9,685 ","2,160 ",316 ,186 ,"4,220 ","1,680 ",501 ,125 ,420 ,"1,564 ","4,438 ","2,574 ",N/A,"2,065 ","1,544 ",52 ,"1,306 ",164 ,337 ,812 ,"9,209 ","7,841 ",576 ,"19,563 ","2,883 ",131 ,"2,395 ",665 ,737 ,"5,515 ","8,885 ","1,371 ",54 ,"1,636 ","3,393 ",253 ,"2,091 ","3,533 ","1,990 ",345 ,"1,545 ",105 ,N/A,"4,214 "
Michigan,"2,181 ","1,363 ","2,602 ","1,313 ","9,623 ","2,812 ",733 ,96 ,152 ,"13,738 ","3,718 ",499 ,508 ,"12,623 ","7,867 ","1,537 ","2,133 ","2,992 ","1,784 ",510 ,606 ,"2,243 ",N/A,"2,068 ","1,719 ","2,101 ",286 ,"1,108 ","2,834 ",227 ,"2,006 ",388 ,"4,739 ","3,518 ",261 ,"12,493 ","1,092 ","1,009 ","3,792 ",223 ,"2,090 ",122 ,"4,260 ","9,667 ",724 ,624 ,"3,526 ","1,983 ",128 ,"3,723 ",424 ,N/A,0 
Minnesota,249 ,"1,241 ","3,315 ",166 ,"9,997 ","2,698 ","1,119 ",37 ,87 ,"3,979 ","1,428 ",515 ,220 ,"9,964 ","2,606 ","5,317 ","1,226 ",318 ,"2,087 ",61 ,774 ,"1,419 ","2,043 ",N/A,224 ,"3,327 ","1,208 ","1,414 ","2,132 ",66 ,569 ,668 ,"2,496 ","1,245 ","7,567 ","2,455 ",525 ,538 ,"1,451 ",463 ,667 ,"3,245 ","1,011 ","6,863 ",923 ,271 ,"1,468 ","2,352 ",80 ,"16,941 ",302 ,N/A,939 
Mississippi,"5,924 ",77 ,659 ,"2,508 ","2,747 ",616 ,149 ,13 ,149 ,"4,217 ","3,082 ",178 ,0 ,"3,095 ","1,829 ",308 ,351 ,127 ,"19,184 ",68 ,767 ,13 ,"2,142 ",105 ,N/A,"2,162 ",0 ,0 ,569 ,0 ,668 ,188 ,"2,131 ","2,678 ",0 ,744 ,"1,307 ",382 ,748 ,200 ,"1,486 ",60 ,"10,789 ","5,059 ",282 ,0 ,"1,844 ",816 ,167 ,"1,620 ",0 ,N/A,251 
Missouri,"2,106 ","1,389 ","3,053 ","8,100 ","12,491 ","3,930 ",276 ,0 ,486 ,"8,422 ","3,928 ","1,096 ",557 ,"19,044 ","1,699 ","6,819 ","18,617 ","1,483 ","4,589 ",75 ,"1,016 ","1,043 ","3,649 ","2,607 ","3,208 ",N/A,361 ,"3,204 ","1,769 ",295 ,"1,639 ","1,335 ","3,366 ","2,916 ",230 ,"3,830 ","5,980 ","1,292 ","1,481 ",0 ,"1,928 ",381 ,"4,381 ","10,717 ","1,749 ",54 ,"1,518 ","1,706 ",109 ,"2,473 ",237 ,N/A,394 
Montana,588 ,281 ,"1,867 ",0 ,"3,460 ","1,445 ",309 ,400 ,87 ,"1,846 ",292 ,858 ,"1,139 ",734 ,270 ,315 ,0 ,119 ,203 ,0 ,179 ,198 ,354 ,"1,138 ",0 ,505 ,N/A,296 ,563 ,0 ,500 ,596 ,823 ,249 ,"1,374 ",886 ,20 ,"1,227 ",495 ,0 ,34 ,"1,557 ",18 ,902 ,652 ,168 ,583 ,"5,901 ",70 ,815 ,"2,366 ",N/A,0 
Nebraska,124 ,514 ,"1,238 ",365 ,"5,170 ","5,254 ",0 ,51 ,178 ,"2,184 ",902 ,224 ,"1,013 ","1,234 ",732 ,"6,444 ","4,212 ",477 ,547 ,22 ,349 ,8 ,601 ,"3,141 ",574 ,"1,655 ",389 ,N/A,265 ,0 ,44 ,322 ,767 ,412 ,746 ,582 ,844 ,911 ,101 ,95 ,100 ,"3,795 ","1,160 ","2,468 ",645 ,0 ,897 ,439 ,377 ,621 ,"1,160 ",N/A,172 
Nevada,260 ,"1,669 ","6,618 ",668 ,"59,811 ","7,096 ",946 ,183 ,160 ,"4,759 ","1,749 ","3,865 ","2,590 ","3,669 ","2,085 ","1,195 ",758 ,523 ,"1,628 ",70 ,"1,297 ","1,120 ","4,130 ",713 ,788 ,"1,651 ",327 ,473 ,N/A,82 ,"2,384 ","2,867 ","3,564 ","1,410 ",179 ,"3,267 ",457 ,"1,496 ","1,158 ",118 ,963 ,71 ,269 ,"4,990 ","7,182 ",263 ,"1,694 ","5,361 ",0 ,"1,418 ",822 ,N/A,0 
New Hampshire,76 ,488 ,779 ,164 ,"1,907 ",254 ,"2,576 ",0 ,95 ,"4,294 ",272 ,60 ,0 ,313 ,146 ,0 ,71 ,0 ,689 ,"2,137 ",193 ,"15,609 ",132 ,194 ,427 ,580 ,222 ,0 ,63 ,N/A,558 ,40 ,"3,016 ",505 ,0 ,152 ,0 ,0 ,874 ,867 ,158 ,563 ,120 ,871 ,29 ,"1,783 ",616 ,"1,276 ",0 ,0 ,335 ,N/A,728 
New Jersey,658 ,379 ,"2,138 ",208 ,"7,910 ",893 ,"2,871 ","2,330 ","1,141 ","9,728 ","3,596 ",480 ,643 ,"2,640 ",790 ,876 ,279 ,488 ,"1,044 ",331 ,"4,029 ","7,050 ",633 ,728 ,348 ,575 ,0 ,411 ,881 ,788 ,N/A,413 ,"54,781 ","2,462 ",99 ,864 ,767 ,110 ,"23,970 ","1,135 ","1,535 ",87 ,982 ,"4,490 ",159 ,504 ,"4,065 ",763 ,183 ,678 ,175 ,N/A,"4,766 "
New Mexico,"1,207 ","1,066 ","8,173 ",393 ,"8,210 ","4,782 ",166 ,113 ,369 ,"3,731 ","1,357 ",868 ,278 ,"2,303 ",359 ,34 ,"1,070 ",763 ,870 ,180 ,423 ,883 ,729 ,999 ,441 ,237 ,81 ,"1,079 ","2,229 ",149 ,834 ,N/A,"1,371 ",547 ,"1,541 ",385 ,"1,570 ","1,211 ","1,269 ",0 ,340 ,417 ,159 ,"13,150 ","1,860 ",342 ,964 ,"1,763 ",142 ,294 ,342 ,N/A,366 
New York,812 ,"2,513 ","3,761 ",331 ,"23,126 ","2,373 ","16,439 ","1,726 ","3,942 ","30,809 ","7,254 ","1,240 ",97 ,"7,110 ","1,618 ",396 ,"1,188 ",792 ,"2,555 ","3,028 ","9,274 ","17,797 ","3,209 ","1,940 ",943 ,"1,838 ",344 ,456 ,"2,279 ","3,244 ","37,102 ","1,126 ",N/A,"6,521 ",0 ,"6,624 ","1,197 ","1,528 ","22,032 ","1,901 ","3,389 ",304 ,"1,838 ","10,292 ",803 ,"4,528 ","14,517 ","1,752 ",656 ,"1,500 ",198 ,N/A,"6,439 "
North Carolina,"2,497 ",997 ,"3,920 ","1,648 ","17,613 ","3,074 ","5,006 ",443 ,"3,076 ","41,059 ","16,200 ","2,807 ","1,627 ","6,496 ","4,367 ",762 ,665 ,"1,456 ","5,627 ","1,176 ","16,726 ","4,638 ","6,529 ","1,467 ","2,664 ","3,002 ",49 ,564 ,"1,821 ","1,181 ","14,757 ","1,732 ","40,690 ",N/A,862 ,"11,878 ","1,906 ","2,135 ","15,361 ","1,219 ","24,793 ",222 ,"6,836 ","14,325 ","1,795 ",929 ,"33,832 ","2,952 ","5,050 ","3,489 ",592 ,N/A,993 
North Dakota,77 ,147 ,833 ,50 ,"1,460 ","1,285 ",54 ,0 ,0 ,516 ,265 ,107 ,348 ,236 ,0 ,241 ,14 ,175 ,96 ,0 ,68 ,71 ,807 ,"9,169 ",552 ,308 ,"1,735 ",407 ,147 ,0 ,0 ,221 ,410 ,35 ,N/A,271 ,702 ,279 ,651 ,0 ,52 ,"1,517 ",589 ,737 ,0 ,0 ,386 ,605 ,0 ,339 ,298 ,N/A,0 
Ohio,"1,834 ",745 ,"4,530 ","1,260 ","11,098 ","2,065 ",984 ,"2,142 ",662 ,"22,706 ","6,776 ",106 ,"1,041 ","8,776 ","10,220 ","1,008 ",578 ,"14,157 ","3,807 ",197 ,"5,018 ","4,858 ","15,669 ","1,490 ",704 ,"2,233 ",171 ,747 ,"1,691 ",491 ,"4,436 ",161 ,"8,525 ","9,822 ",707 ,N/A,"1,179 ",635 ,"11,979 ",489 ,"3,083 ",0 ,"5,847 ","6,331 ","2,270 ",84 ,"3,831 ","1,420 ","6,837 ","1,184 ",115 ,N/A,"2,486 "
Oklahoma,513 ,"1,304 ","4,549 ","7,936 ","8,947 ","2,656 ",279 ,11 ,0 ,"3,664 ","1,547 ",810 ,183 ,"2,278 ",933 ,"2,196 ","8,931 ",924 ,"3,122 ",0 ,"2,272 ",479 ,"1,264 ","1,288 ","1,524 ","6,099 ",657 ,"2,162 ","1,402 ",127 ,517 ,"2,560 ","2,165 ",625 ,334 ,"1,504 ",N/A,716 ,"1,016 ",0 ,178 ,365 ,"1,492 ","28,327 ",670 ,0 ,"1,679 ","2,193 ",220 ,440 ,546 ,N/A,315 
Oregon,42 ,"1,422 ","8,078 ",420 ,"51,295 ","4,424 ",268 ,0 ,744 ,"3,916 ","2,079 ","3,269 ","4,196 ","1,399 ",541 ,269 ,449 ,502 ,"1,697 ",131 ,863 ,710 ,"1,960 ","2,533 ",58 ,"1,170 ","1,776 ","1,201 ","4,320 ",459 ,201 ,"1,633 ","2,555 ","1,225 ",0 ,"2,565 ","1,373 ",N/A,"1,601 ",73 ,295 ,116 ,927 ,"4,580 ","3,998 ",380 ,798 ,"24,230 ",577 ,"1,615 ",753 ,N/A,152 
Pennsylvania,"1,410 ","1,501 ","2,405 ","1,153 ","10,789 ","1,582 ","3,708 ","5,940 ","1,845 ","18,837 ","4,258 ",242 ,174 ,"3,360 ","3,602 ",774 ,491 ,"1,236 ","1,212 ","1,413 ","22,968 ","6,816 ","4,247 ",976 ,"1,196 ","1,356 ",260 ,448 ,569 ,852 ,"42,717 ",836 ,"43,294 ","5,446 ",66 ,"14,106 ",942 ,449 ,N/A,"1,065 ","2,479 ",308 ,"2,598 ","6,461 ",583 ,913 ,"11,032 ","2,863 ","2,470 ","1,524 ",0 ,N/A,"6,526 "
Rhode Island,98 ,106 ,844 ,0 ,"1,824 ",114 ,"2,976 ",81 ,82 ,"1,240 ",364 ,263 ,0 ,277 ,346 ,75 ,225 ,0 ,327 ,174 ,"1,006 ","8,991 ",153 ,71 ,44 ,0 ,0 ,0 ,82 ,"1,851 ","2,093 ",0 ,"5,256 ",349 ,0 ,379 ,0 ,66 ,893 ,N/A,236 ,0 ,44 ,383 ,118 ,245 ,575 ,208 ,0 ,123 ,0 ,N/A,933 
South Carolina,"4,779 ","1,317 ","2,265 ",229 ,"4,096 ",868 ,"2,429 ",361 ,921 ,"17,342 ","17,998 ","1,729 ",464 ,"4,100 ","2,961 ",601 ,497 ,"1,825 ","2,417 ",807 ,"5,677 ","1,592 ","3,440 ","1,566 ","1,666 ","1,741 ",121 ,348 ,"1,443 ","1,166 ","6,862 ",215 ,"9,451 ","22,604 ",74 ,"3,446 ","1,538 ",201 ,"4,437 ","1,458 ",N/A,129 ,"6,454 ","6,219 ",387 ,0 ,"8,560 ","1,282 ","1,142 ","1,690 ",193 ,N/A,216 
South Dakota,0 ,116 ,923 ,190 ,"1,536 ","2,196 ",25 ,0 ,0 ,243 ,245 ,338 ,60 ,647 ,492 ,"2,760 ",116 ,278 ,448 ,0 ,2 ,0 ,710 ,"2,869 ",0 ,297 ,746 ,"4,122 ",146 ,0 ,200 ,384 ,237 ,14 ,"2,056 ",492 ,427 ,963 ,187 ,0 ,68 ,N/A,56 ,"1,293 ",229 ,0 ,17 ,785 ,0 ,224 ,544 ,N/A,0 
Tennessee,"7,438 ",445 ,"3,087 ","3,598 ","10,721 ","1,951 ",582 ,60 ,388 ,"28,514 ","13,868 ",234 ,673 ,"5,337 ","6,046 ","1,154 ","1,401 ","11,921 ","7,087 ",729 ,"2,050 ","1,614 ","4,079 ",524 ,"11,443 ","5,073 ",379 ,709 ,"1,336 ",292 ,"1,403 ",420 ,"2,816 ","9,779 ",0 ,"7,782 ",939 ,988 ,"3,557 ",166 ,"2,853 ",86 ,N/A,"12,238 ",754 ,80 ,"6,028 ","1,920 ",667 ,"1,310 ",133 ,N/A,212 
Texas,"8,736 ","4,910 ","18,641 ","14,725 ","81,572 ","18,848 ","2,884 ",223 ,"1,009 ","39,872 ","16,629 ","8,183 ","2,055 ","24,132 ","12,553 ","3,635 ","11,043 ","5,460 ","118,552 ",355 ,"7,915 ","5,868 ","9,942 ","11,371 ","12,692 ","11,501 ","1,564 ","3,558 ","5,724 ","1,308 ","12,099 ","14,989 ","20,436 ","12,326 ",551 ,"14,269 ","27,363 ","3,523 ","5,615 ",303 ,"6,777 ","2,421 ","7,222 ",N/A,"3,439 ",120 ,"16,676 ","10,857 ","1,428 ","4,121 ","2,700 ",N/A,"2,143 "
Utah,723 ,605 ,"7,495 ",247 ,"24,994 ","3,449 ",597 ,0 ,0 ,"2,811 ",766 ,"1,109 ","9,037 ","1,630 ","1,164 ",112 ,107 ,"1,106 ","1,226 ",409 ,413 ,765 ,"1,642 ","1,028 ",185 ,"1,157 ","1,242 ",404 ,"5,898 ",0 ,402 ,684 ,"1,720 ",703 ,208 ,"1,135 ",595 ,"4,270 ","1,205 ",85 ,"1,454 ",159 ,"1,499 ","6,646 ",N/A,604 ,"1,784 ","4,221 ",88 ,781 ,"2,446 ",N/A,29 
Vermont,17 ,0 ,455 ,66 ,554 ,943 ,"1,709 ",0 ,398 ,"2,282 ",446 ,50 ,18 ,35 ,0 ,0 ,0 ,55 ,0 ,"1,577 ","1,389 ","2,751 ",224 ,65 ,225 ,17 ,88 ,0 ,0 ,"2,241 ",725 ,68 ,"4,988 ",185 ,0 ,284 ,124 ,245 ,545 ,324 ,68 ,0 ,155 ,629 ,58 ,N/A,"1,527 ",252 ,0 ,248 ,51 ,N/A,0 
Virginia,"3,379 ","4,116 ","3,286 ","1,061 ","18,797 ","3,140 ","4,694 ",993 ,"10,818 ","18,446 ","7,512 ","3,480 ",811 ,"12,983 ","3,579 ",374 ,"1,526 ","3,636 ","6,189 ","1,920 ","22,403 ","4,795 ","5,832 ","1,505 ","2,128 ","2,913 ",447 ,"1,477 ",496 ,"1,213 ","8,100 ",912 ,"21,198 ","27,214 ",270 ,"6,481 ","2,160 ","1,472 ","13,933 ","1,666 ","9,870 ",193 ,"7,862 ","18,639 ","1,071 ",726 ,N/A,"4,712 ","5,119 ",631 ,38 ,N/A,"1,247 "
