,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia ,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,Total,Puerto Rico
United States1,"106,806","88,850","211,816","77,226","562,343","160,623","91,295","26,631","49,732","437,202","248,892","61,940","57,831","269,008","143,228","74,516","94,180","99,256","86,593","33,729","165,041","145,869","186,505","103,253","68,597","138,404","31,204","52,809","115,943","43,277","216,369","61,431","377,800","225,147","26,563","206,049","81,009","109,795","215,127","31,065","121,426","29,383","154,243","404,839","73,211","18,172","229,227","190,644","45,956","105,370","31,991","1,826,277","76,218"
Alabama,N/A,"1,771","1,677","1,642","3,389",348,"2,921",232,399,"20,063","19,346","1,259",137,"6,991","1,434",30,842,"2,686","2,413",626,"1,606",112,"2,797",327,"3,945","1,086",317,770,257,64,"1,996",119,"1,108","2,697",284,"2,596",973,169,"1,075",0,"2,036",90,"8,710","7,973",300,66,"4,935","2,621",65,417,9,"14,817",569
Alaska,93,N/A,"2,467",190,"3,098","1,583",138,11,140,"1,188",556,"1,366",475,985,181,319,750,237,"1,077",0,216,141,771,593,554,921,248,5,532,520,128,226,940,470,0,319,616,"2,161",378,0,186,301,388,"2,492",662,68,"1,488","4,548",89,23,246,"4,741","1,044"
Arizona,833,"5,001",N/A,"1,066","49,635","10,189","1,875",0,389,"3,732","2,206","2,199","2,190","10,035","5,855","4,526","1,708","2,134",844,0,"1,918",743,"9,396","3,297","1,226","3,872","2,431","1,393","8,756",228,"3,379","4,610","3,880","2,548","1,159","4,682","3,219","4,613","3,436",72,"1,774","1,657","1,680","12,688","10,577",0,"2,233","13,940",70,"6,473","2,510","43,562",871
Arkansas,691,560,439,N/A,"4,077",746,519,79,0,"3,067","1,446",13,179,"3,684","1,362",851,"2,008",213,"2,120",30,133,781,"1,881",232,"1,731","7,314",713,332,641,52,341,775,674,"1,664",214,174,"3,761",632,567,0,235,0,"6,462","14,767",0,0,"1,245","1,477",24,687,252,"9,210",529
California,"2,087","7,358","35,650","2,648",N/A,"21,245","3,073","1,302","3,240","22,094","13,303","9,864","4,796","20,834","4,673","3,324","2,810","1,201","3,600","1,658","7,793","10,244","12,069","5,687","2,092","7,677","2,599","1,955","36,159","1,222","8,053","5,904","25,629","8,708","1,392","10,474","5,113","18,165","8,550","1,103","5,758","1,004","8,761","37,087","8,944",745,"15,753","36,481",832,"5,668","2,047","269,772","1,344"
Colorado,"2,340","3,191","12,338","1,615","23,234",N/A,"1,567",501,298,"8,075","3,250","1,852","1,578","6,027","2,116","3,510","3,718","1,361",908,"1,358","3,303","2,157","3,225","3,055",879,"4,552","4,079","4,582","4,061",489,"2,863","8,797","3,998","4,756","2,249","5,527","3,824","5,543","3,348",435,718,"1,340","3,193","22,390","3,856",914,"6,281","5,524",412,"3,995","2,942","35,044",476
Connecticut,101,180,"1,387",84,"3,699","1,502",N/A,62,607,"4,771","2,000",587,133,"1,843",168,67,16,0,315,259,"1,267","8,691",692,76,69,365,206,62,160,"1,221","3,809",265,"20,015","1,029",0,"1,383",217,117,"3,668","1,488",997,0,123,"1,214",398,608,"2,555","2,255",46,660,65,"20,786","2,105"
Delaware,81,329,541,0,699,169,66,N/A,154,810,639,201,441,34,210,0,7,305,0,0,"4,238",806,43,201,0,713,0,12,0,0,"6,297",0,"3,141",388,0,664,27,0,"8,571",131,153,0,221,883,475,0,"1,064",482,198,55,463,"4,705","1,008"
District of Columbia ,13,135,43,81,"3,797",452,981,128,N/A,"1,254",937,372,68,"1,397",128,241,6,297,0,0,"14,129","2,048","1,108",409,83,112,38,79,238,145,"1,035",0,"2,313","1,716",285,306,0,51,"1,589",50,357,104,421,"1,083",75,445,"7,975",476,120,946,0,"7,364",0
Florida,"12,635","7,405","8,451","3,025","22,420","9,383","11,704","1,264",891,N/A,"38,658","3,639",312,"19,152","11,472","1,846","2,661","5,441","6,094","4,689","15,410","13,701","19,640","4,663","5,175","7,114",559,"3,857","3,527","4,324","25,206","1,376","59,288","23,983",514,"18,191","2,600","3,315","20,821","5,002","11,953",716,"10,451","25,532","2,343","2,019","16,614","6,339","4,964","7,412",846,"168,928","21,611"
Georgia,"18,799","1,079","4,292","2,112","14,949","2,325",709,619,364,"42,666",N/A,"1,006",126,"6,080","2,442",950,"4,513","3,686","6,541",408,"3,708","4,436","6,992","1,808","5,380","2,514",246,"4,144",774,132,"8,371",791,"14,454","19,138",201,"6,863","1,632",727,"5,791",337,"16,914",536,"16,898","15,760",793,361,"9,438","3,701","1,340","2,727",504,"43,925","1,635"
Hawaii,"1,268",844,"2,900",242,"10,173",950,731,784,222,"3,160","2,519",N/A,112,"1,884",402,478,125,18,179,106,341,92,"1,303",933,371,308,85,91,"1,548",107,564,354,"4,246","2,307",32,970,685,"2,030",870,58,"1,681",0,636,"3,007","1,040",0,"2,523","3,790",312,147,14,"16,589",238
Idaho,263,"4,510","3,543",224,"9,021","1,813",0,0,0,"1,733",275,254,N/A,390,296,318,479,120,51,0,0,396,615,566,62,384,"1,602",439,"3,581",129,84,141,419,263,"1,201",260,288,"7,170",343,0,55,842,296,"1,303","6,059",0,905,"8,991",0,165,487,"6,337",249
