,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia ,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,Total,Puerto Rico
Illinois,"2,823","4,119","7,657","3,185","13,930","3,271","1,819",277,"1,440","17,548","6,042","1,269",393,N/A,"23,491","8,420","2,533","5,569","1,315",693,"2,565","3,507","10,274","4,496","1,521","13,889",304,827,"2,454",590,"3,009","1,573","6,412","4,057",105,"8,384","1,002",792,"3,012",278,"1,582","1,318","3,223","11,011",951,49,"5,233","3,075",352,"14,507",58,"71,817","2,387"
Indiana,"1,562",371,"3,975","2,016","7,649","1,930","1,227",79,0,"8,595","2,543","1,057","1,368","23,071",N/A,916,"1,321","10,177","2,241",275,480,952,"7,896","1,168",469,"1,824",34,622,511,90,651,504,"2,518","3,038",70,"11,109",844,505,"3,998",49,"3,306",235,"3,879","6,326",123,530,"1,486","1,028",216,"2,923",117,"21,440",132
Iowa,207,967,"1,411",433,"3,297","2,891",424,0,0,707,"1,938",299,161,"13,725",349,N/A,"1,776",387,228,26,487,466,"1,687","5,634",408,"3,649",370,"6,490","2,009",0,185,421,"2,361","1,760",604,993,532,811,388,65,172,"2,842",623,"2,334","1,482",38,720,856,115,"2,537",140,"13,446",57
Kansas,434,108,"2,028",998,"4,743","5,030",412,74,128,"1,581","1,146",287,264,"2,760",863,"1,715",N/A,"1,167",519,481,"3,180",28,"1,947",679,"1,517","22,033",270,"1,648",657,27,"1,189",769,780,"1,223",379,"1,616","5,022",285,"1,494",180,"1,102",104,"1,066","6,575",196,0,"1,986",772,0,893,"1,285","15,129",775
Kentucky,925,0,"1,818","1,058","2,130",221,176,0,201,"7,400","2,725",63,36,"4,273","11,071",536,253,N/A,"1,399",71,"2,076","1,019","3,178",475,"1,248","2,793",216,471,"1,358",52,"1,289",553,"2,174","3,916",117,"19,617","1,256",459,"1,490",640,"1,387",0,"16,852","4,661",140,151,"5,154","1,121","1,174",581,57,"14,293",192
Louisiana,"3,065",288,"2,010","2,774","3,957","1,202",358,0,195,"5,193","4,425",688,230,"1,189","1,549",468,312,"1,520",N/A,120,"1,221",439,"1,163",698,"10,255","1,375",278,176,994,15,453,"1,028","1,360","2,134",277,"2,641","4,235","1,531",455,268,"1,573",37,"2,495","30,292",179,87,"2,055","1,075",110,339,357,"15,682",393
Maine,634,37,325,38,829,290,"2,481",238,239,"4,304",507,177,0,675,164,275,523,158,138,N/A,52,"4,439",702,296,0,325,10,0,150,"4,302",694,144,"2,589","1,439",19,483,25,471,915,234,587,42,394,"1,637",182,612,570,88,43,321,21,"4,549",65
Maryland,228,671,945,423,"8,595","1,796","1,608","6,652","18,492","7,825","7,113","1,170",389,"2,392","1,318",110,689,848,860,"1,526",N/A,"3,470","2,077",810,"1,109","1,469",73,0,"1,105",232,"9,627",797,"9,222","6,686",0,"3,396",845,276,"14,158",197,"2,882",0,"1,942","3,619",223,40,"22,089","1,525","2,027",353,80,"42,761",779
Massachusetts,"1,201",225,"1,017",167,"11,556","1,388","9,445",399,676,"11,396","3,264",733,412,"2,991",640,138,969,180,977,"4,006","2,762",N/A,"2,629",862,356,"1,261",596,637,163,"12,010","8,332",199,"19,431","3,964",61,"1,757",90,178,"6,538","10,182","1,621",44,371,"5,203",548,"2,246","2,984","1,673",911,441,0,"60,018","4,413"
Michigan,"3,527","3,456","3,840","2,054","7,793","3,425","1,656",0,256,"17,712","4,254",630,882,"9,897","7,668","1,709","1,148","2,578",955,599,"1,035","2,861",N/A,"2,671",715,"2,509",84,439,"1,215",73,"1,849",508,"6,087","3,405",159,"11,224",917,647,"2,864",385,"2,185",571,"3,106","9,935",642,0,"2,327","1,430",417,"4,018",841,"43,732",908
Minnesota,123,893,"2,314",951,"6,638","2,662",74,86,367,"2,820",840,901,402,"8,209",786,"6,175",606,755,573,321,424,970,"5,164",N/A,549,"1,345","1,457","1,936","2,682",21,631,540,"2,416",845,"7,574","1,961",546,"1,800",870,0,447,"5,305",874,"3,062",919,177,"1,034","1,413",92,"19,255",224,"24,662",54
Mississippi,"8,922",117,556,"2,315","4,723",484,54,0,415,"6,152","3,136",369,55,"2,068",611,650,66,"1,626","7,139",0,265,"1,445","1,610",614,N/A,"1,581",0,118,84,65,269,"1,075",364,483,0,991,566,74,"2,568",41,398,6,"7,683","5,243",332,0,"1,453",286,303,"1,136",0,"7,540",318
Missouri,"1,395","2,043","2,356","6,168","8,386","3,144","1,516",0,215,"4,513","2,964",871,560,"20,161","4,404","4,811","20,884","1,993","1,728",291,716,463,"2,830","2,026","1,641",N/A,845,"4,860","1,544",769,"1,114","1,016","2,904","3,669",977,"3,240","6,073",777,"1,810",359,267,361,"2,676","10,293","1,697",88,"2,684","2,518",196,"1,503","1,120","24,371",709
Montana,449,"1,118","1,971",49,"3,033","2,856",58,365,0,291,231,32,"1,543",765,646,417,845,0,0,71,57,10,353,969,0,158,N/A,384,688,0,889,264,422,"1,173",360,321,96,"1,959",840,0,77,227,266,"1,329","1,232",53,278,"3,835",14,146,"2,413","3,059",353
Nebraska,169,721,"1,646",161,"5,124","3,245",381,0,29,"1,105",434,275,506,"1,415",615,"9,575","3,040",352,222,122,318,0,683,"1,455",424,"1,848",64,N/A,240,0,119,242,544,829,292,268,"1,255","1,556",252,0,243,"2,999",226,"5,343",734,0,615,835,24,560,965,"6,596",0
Nevada,280,597,"10,142",310,"40,114","2,714",189,184,983,"2,923","1,731","4,093","3,929","1,668",855,114,602,628,78,49,931,256,"1,663","1,055",203,335,"1,137",32,N/A,0,"2,118","2,136","1,516","1,333",0,"1,354",258,"1,691",570,86,165,588,96,"7,249","3,365",0,"1,740","4,680",0,"2,672",933,"13,006",153
New Hampshire,193,0,246,22,547,403,"1,617",20,68,"1,970",535,0,0,478,470,47,0,0,0,"3,080",222,"15,526",155,104,160,153,230,33,186,N/A,294,186,"1,471","1,297",47,248,0,198,"1,015",608,588,86,126,605,158,"2,138",880,428,0,0,162,"5,313",0
New Jersey,189,"1,198","3,784",57,"5,986","2,203","1,924","2,100",781,"12,907","4,268",264,256,"3,690",718,332,317,102,871,624,"5,335","4,675","1,889","1,261",510,583,49,312,899,499,N/A,355,"40,815","2,482",61,"1,121",773,360,"19,733",463,"1,586",0,"1,412","3,801",256,0,"4,458","2,454","1,252",214,15,"60,717","4,312"
New Mexico,410,416,"7,444",682,"7,066","5,525",0,0,212,"2,806",676,81,355,466,"2,030",0,"1,333",87,184,510,"2,277",252,908,438,556,"1,183",544,353,"2,099",114,245,N/A,"1,445",522,264,"1,742",234,916,492,0,145,240,899,"13,633",303,71,425,924,0,340,283,"11,532",99
New York,"1,812","6,124","2,821","1,041","25,761","3,724","15,123","1,124","3,702","29,344","10,584","1,002",434,"6,914","2,198",928,838,"2,414","1,495","2,915","5,037","14,646","3,936","1,824",401,"1,417",391,579,"1,785","2,972","41,450",461,N/A,"9,336",374,"5,191","1,425","2,189","26,596","1,393","6,947",112,"2,660","9,151",773,"3,882","10,800","2,986",631,"1,878",688,"155,111","10,582"
North Carolina,"5,420","3,991","4,286",327,"15,373","3,919","1,975",954,"1,135","28,044","16,192","1,806",675,"5,971","3,228",654,"4,995","1,637","2,936",824,"10,485","9,053","7,530","1,294","1,273","2,638",563,"1,056","1,048","2,078","10,374","1,737","18,321",N/A,189,"10,187","1,390","1,175","9,450",444,"20,427",565,"6,057","6,621",961,212,"27,302","3,295","2,780","2,291",153,"43,373",844
North Dakota,97,393,"1,313",249,"1,356","1,229",0,84,0,459,364,138,"1,209",571,130,208,75,0,422,50,10,369,328,"12,244",80,330,"1,227",218,845,0,183,99,264,900,N/A,286,59,264,652,0,1,"1,293",113,"1,862",429,0,166,404,0,"1,398",139,"2,908",76
Ohio,"1,567","1,637","6,763","1,952","9,032","2,690","1,189",263,587,"16,492","4,290","1,044",312,"7,027","11,588","1,146",657,"12,744","1,872",0,"4,982","2,101","14,330","1,788",691,"2,003",101,"1,176","1,851","1,992","3,936",255,"8,784","4,572",204,N/A,"2,333","1,326","14,292",369,"3,826",34,"6,468","11,987",691,68,"5,425","1,979","7,548","2,534","1,280","37,091","1,607"
Oklahoma,591,"1,137","3,770","6,894","8,233","3,273",97,66,191,"6,056","3,514",140,21,"2,179","2,113",580,"4,626","1,398","1,934",271,432,160,"1,038",497,199,"5,781",803,"1,979",705,0,391,403,"1,858","1,322",928,"1,608",N/A,917,"1,116",152,"2,015",600,"1,700","31,595",587,0,"1,013","1,246",44,942,"1,763","16,281",105
Oregon,758,"1,935","7,911",988,"34,214","2,110",949,251,349,"3,384","1,946","2,491","6,236","1,350","1,371",659,"1,263",71,0,269,453,"1,423","1,652","1,413",7,"1,172","1,079",324,"7,222",427,"1,322",537,"2,056","1,099",313,949,"2,034",N/A,"1,407",0,370,417,673,"4,498","3,443",176,"1,179","21,862",66,914,914,"23,355",4
Pennsylvania,"1,332",759,"2,278",582,"10,672","2,491","4,150","5,177","1,401","19,299","4,627",495,236,"3,902","4,086","1,176","2,323","4,013",615,608,"17,751","6,284","4,406",853,"1,238","1,761",338,582,"1,057","1,326","36,133",325,"29,436","11,254",195,"13,075",283,"1,594",N/A,799,"3,438",142,"3,742","7,006","1,246",446,"8,419","3,688","4,631","2,426",195,"52,554","2,723"
Rhode Island,0,0,214,0,"1,949",301,"2,613",0,0,"2,230",476,0,107,373,41,82,374,211,121,228,472,"7,715",178,27,0,109,0,0,0,941,"1,224",93,"2,776",259,0,60,0,57,"1,125",N/A,223,0,210,207,181,621,485,262,199,2,23,"7,778",293
South Carolina,"2,999","2,421","1,971","1,333","6,592","1,000","1,752",841,589,"15,476","16,355",712,55,"2,371","3,249","1,379","1,885","2,454",878,652,"3,807",730,"4,483",471,"2,163","1,522",915,204,"1,017",372,"4,241",598,"11,317","23,102",271,"6,327","1,008",833,"3,523",453,N/A,62,"3,324","8,623",181,91,"7,879","2,510","1,680",341,632,"20,165","2,166"
South Dakota,0,554,"1,422",659,"1,286","1,021",0,0,0,101,69,0,186,267,285,"4,772",144,211,0,0,254,113,239,"5,342",129,354,232,"1,695",110,0,441,513,6,166,"2,060",84,40,15,57,7,529,N/A,0,"1,156",560,0,79,557,0,481,"1,310","3,578",0
Tennessee,"9,326",531,"1,346","7,393","7,130","1,372",150,155,307,"15,491","17,507",179,0,"8,593","5,645",387,"1,805","13,884","1,901",9,"1,135","1,690","5,983",445,"9,172","3,795",43,631,883,132,"1,396",381,"4,921","9,353",50,"5,944","3,166",726,"3,360",14,"5,531",181,N/A,"7,009",200,38,"6,098","2,852","1,385","1,213",131,"24,963","1,083"
Texas,"8,747","6,670","20,073","16,461","58,992","19,126","2,927",884,"2,276","35,777","17,401","6,106","4,379","15,064","10,265","3,236","12,766","6,616","25,513","1,357","9,443","5,035","15,654","7,691","6,048","13,473",537,"3,837","7,793",459,"7,578","15,225","26,155","14,956",809,"12,315","19,302","3,743","9,107","1,297","4,075","1,486","10,788",N/A,"5,234",349,"13,231","15,325",663,"5,982","2,500","179,263","5,225"
Utah,486,"2,151","6,585",422,"18,237","3,986",562,0,132,"1,643","1,052","1,701","7,538","1,447",545,290,"1,146",611,494,0,342,959,"1,099",939,143,511,"1,241",195,"4,315",34,506,"1,707","1,937","1,653",2,"2,584",150,"2,037","1,496",0,309,128,549,"4,507",N/A,122,"2,413","4,825",270,158,"1,058","14,465",0
Vermont,0,580,310,0,819,529,"2,105",107,27,366,101,143,0,386,258,0,7,627,41,322,361,"2,378",335,206,0,69,0,0,15,"2,244",962,56,"3,723",250,0,383,0,124,389,401,21,0,327,185,182,N/A,740,156,53,137,38,"2,868",19
Virginia,"4,930","3,202","4,679",645,"19,371","4,908","5,376",961,"6,854","17,773","8,715","2,917",434,"4,000","2,703","1,503",892,"3,630","2,496","2,855","22,051","5,386","7,323",834,"1,682","2,277",617,256,"1,717","1,344","7,327","1,014","12,455","22,753",462,"9,570",853,"3,499","12,009","1,897","6,612",908,"7,482","11,655","1,426",173,N/A,"4,615","9,041",858,190,"60,051","1,222"
Washington,"1,821","5,266","12,397",756,"38,421","3,938","1,026",0,358,"6,094","8,705","5,940","10,895","2,062","2,303","1,000","2,820","1,271","1,016","1,313","1,899","1,580","3,720","1,543","1,110","3,307","2,125",673,"4,925",824,"2,006","1,569","4,512","3,870",189,"2,686",765,"29,168","2,296",463,"1,519",227,"2,342","15,491","4,789",119,"4,233",N/A,157,"1,491","1,507","54,973","1,083"
West Virginia,221,598,50,225,"1,442",124,594,89,300,"2,949","1,296",147,120,"1,331",210,0,0,515,326,45,"7,515",236,459,0,0,309,60,78,293,160,"1,431",0,"2,017","3,865",0,"8,545",97,132,"4,205",284,"1,857",0,546,"1,574",114,23,"5,561",83,N/A,42,0,"5,174",680
Wisconsin,708,432,"4,045",335,"6,637","2,592",993,219,123,"4,338","1,745","1,108",566,"25,521","4,017","3,306",418,"1,040",850,12,147,733,"5,623","17,927",983,"2,090",143,483,663,480,378,714,"2,213","2,120","1,383","1,358",118,"1,057","1,294",368,377,590,744,"1,984",890,342,"2,573","1,555","1,090",N/A,14,"15,601",728
Wyoming,51,761,369,174,"2,539","6,905",11,0,0,"1,525",46,0,"2,140",450,6,342,286,83,114,0,0,152,849,357,70,241,"1,105","1,784",427,0,7,76,113,395,237,22,462,960,284,13,219,"1,043",69,"1,398","2,140",4,451,"1,803",0,168,N/A,"1,282",0
Puerto Rico,35,378,229,0,207,0,"1,849",13,212,"6,614",247,0,13,624,784,0,38,0,0,0,70,"1,412",88,0,27,101,0,0,0,0,"2,150",51,"2,615",200,0,0,79,0,"1,978",490,3,113,224,444,0,0,"1,077",41,14,229,0,"4,681",N/A2
Footnotes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
