target,source,flow,year
Alabama,Alaska,2912,2008
Alabama,Arizona,896,2008
Alabama,Arkansas,341,2008
Alabama,California,4962,2008
Alabama,Colorado,967,2008
Alabama,Connecticut,430,2008
Alabama,Delaware,1628,2008
Alabama,District of Columbia ,0,2008
Alabama,Florida,20118,2008
Alabama,Georgia,22022,2008
Alabama,Hawaii,980,2008
Alabama,Idaho,91,2008
Alabama,Illinois,2489,2008
Alabama,Indiana,2671,2008
Alabama,Iowa,153,2008
Alabama,Kansas,552,2008
Alabama,Kentucky,1848,2008
Alabama,Louisiana,4376,2008
Alabama,Maine,65,2008
Alabama,Maryland,941,2008
Alabama,Massachusetts,364,2008
Alabama,Michigan,4248,2008
Alabama,Minnesota,402,2008
Alabama,Mississippi,7068,2008
Alabama,Missouri,1820,2008
Alabama,Montana,272,2008
Alabama,Nebraska,389,2008
Alabama,Nevada,132,2008
Alabama,New Hampshire,76,2008
Alabama,New Jersey,1285,2008
Alabama,New Mexico,451,2008
Alabama,New York,3521,2008
Alabama,North Carolina,2848,2008
Alabama,North Dakota,0,2008
Alabama,Ohio,2587,2008
Alabama,Oklahoma,1204,2008
Alabama,Oregon,31,2008
Alabama,Pennsylvania,1675,2008
Alabama,Rhode Island,0,2008
Alabama,South Carolina,1972,2008
Alabama,South Dakota,0,2008
Alabama,Tennessee,8708,2008
Alabama,Texas,6143,2008
Alabama,Utah,917,2008
Alabama,Vermont,0,2008
Alabama,Virginia,2944,2008
Alabama,Washington,1750,2008
Alabama,West Virginia,119,2008
Alabama,Wisconsin,1399,2008
Alabama,Wyoming,91,2008
Alaska,Alabama,1392,2008
Alaska,Arizona,1904,2008
Alaska,Arkansas,332,2008
Alaska,California,4951,2008
Alaska,Colorado,1284,2008
Alaska,Connecticut,26,2008
Alaska,Delaware,113,2008
Alaska,District of Columbia ,168,2008
Alaska,Florida,1350,2008
Alaska,Georgia,891,2008
Alaska,Hawaii,1421,2008
Alaska,Idaho,1170,2008
Alaska,Illinois,457,2008
Alaska,Indiana,272,2008
Alaska,Iowa,233,2008
Alaska,Kansas,36,2008
Alaska,Kentucky,368,2008
Alaska,Louisiana,575,2008
Alaska,Maine,346,2008
Alaska,Maryland,106,2008
Alaska,Massachusetts,293,2008
Alaska,Michigan,1152,2008
Alaska,Minnesota,600,2008
Alaska,Mississippi,138,2008
Alaska,Missouri,1006,2008
Alaska,Montana,365,2008
Alaska,Nebraska,208,2008
Alaska,Nevada,305,2008
Alaska,New Hampshire,0,2008
Alaska,New Jersey,0,2008
Alaska,New Mexico,851,2008
Alaska,New York,417,2008
Alaska,North Carolina,1153,2008
Alaska,North Dakota,152,2008
Alaska,Ohio,575,2008
Alaska,Oklahoma,1506,2008
Alaska,Oregon,3075,2008
Alaska,Pennsylvania,1526,2008
Alaska,Rhode Island,58,2008
Alaska,South Carolina,1379,2008
Alaska,South Dakota,288,2008
Alaska,Tennessee,187,2008
Alaska,Texas,1753,2008
Alaska,Utah,532,2008
Alaska,Vermont,0,2008
Alaska,Virginia,862,2008
Alaska,Washington,3805,2008
Alaska,West Virginia,34,2008
Alaska,Wisconsin,397,2008
Alaska,Wyoming,195,2008
Arizona,Alabama,1028,2008
Arizona,Alaska,2983,2008
Arizona,Arkansas,1289,2008
Arizona,California,51020,2008
Arizona,Colorado,9845,2008
Arizona,Connecticut,1205,2008
Arizona,Delaware,513,2008
Arizona,District of Columbia ,235,2008
Arizona,Florida,10266,2008
