,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia ,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,Total,Puerto Rico
Louisiana,"2,178 ",435 ,"1,469 ","3,832 ","6,616 ","2,276 ",577 ,571 ,452 ,"5,443 ","5,007 ",282 ,85 ,"2,301 ",845 ,833 ,"1,950 ",884 ,N/A,58 ,"1,370 ",342 ,"1,868 ",197 ,"9,782 ","1,409 ",574 ,125 ,"1,558 ",0 ,"1,853 ",93 ,"1,734 ","3,217 ",0 ,"1,853 ","2,120 ",654 ,751 ,233 ,"2,132 ",0 ,"2,488 ","34,597 ",36 ,101 ,"1,597 ",873 ,214 ,"1,560 ","1,307 ",N/A,670 
Maine,446 ,417 ,476 ,0 ,"2,115 ","1,000 ","2,067 ",0 ,203 ,"3,273 ",544 ,0 ,0 ,394 ,127 ,92 ,251 ,313 ,90 ,N/A,435 ,"3,466 ",340 ,431 ,0 ,0 ,0 ,53 ,120 ,"6,443 ",519 ,239 ,"1,741 ","1,273 ",58 ,505 ,661 ,113 ,805 ,313 ,89 ,56 ,72 ,"1,070 ",264 ,"1,682 ",989 ,76 ,0 ,0 ,0 ,N/A,836 
Maryland,"1,868 ","1,897 ","2,399 ",601 ,"6,281 ","1,221 ","2,259 ","6,285 ","23,530 ","8,690 ","4,946 ",82 ,76 ,"2,010 ","1,079 ",676 ,695 ,532 ,"1,025 ","1,256 ",N/A,"3,320 ","2,021 ",673 ,559 ,622 ,75 ,316 ,246 ,43 ,"5,656 ",478 ,"10,735 ","6,562 ",0 ,"2,473 ",728 ,253 ,"14,072 ",595 ,"2,675 ",219 ,"4,034 ","5,967 ","1,383 ",424 ,"20,927 ",979 ,"4,487 ",931 ,0 ,N/A,"1,784 "
Massachusetts,870 ,802 ,824 ,350 ,"13,614 ","1,993 ","11,156 ",248 ,"1,207 ","14,665 ","2,708 ",320 ,0 ,"5,173 ","1,415 ",339 ,238 ,308 ,673 ,"3,534 ","4,549 ",N/A,"1,458 ","1,855 ",244 ,935 ,45 ,86 ,137 ,"11,816 ","8,051 ",130 ,"19,088 ","4,339 ",0 ,"1,413 ",509 ,501 ,"4,800 ","9,874 ","1,353 ",0 ,"1,572 ","4,677 ","1,038 ","2,174 ","3,383 ","1,598 ",458 ,806 ,0 ,N/A,"6,122 "
Michigan,"2,126 ","2,281 ","4,058 ","1,329 ","5,387 ","2,039 ","2,119 ",54 ,815 ,"14,160 ","2,061 ",672 ,671 ,"10,546 ","6,365 ",899 ,592 ,"1,227 ","1,843 ",354 ,"2,986 ","2,373 ",N/A,"2,057 ",693 ,"1,450 ",229 ,299 ,998 ,57 ,"1,228 ",506 ,"4,945 ","5,273 ",68 ,"12,330 ","2,348 ",240 ,"4,077 ",0 ,"2,079 ",0 ,"3,280 ","6,168 ","1,298 ",193 ,"2,793 ",695 ,"1,056 ","6,283 ",140 ,N/A,"1,952 "
Minnesota,265 ,562 ,"2,382 ",784 ,"5,868 ","2,893 ",819 ,0 ,659 ,"4,053 ","1,023 ",274 ,700 ,"6,715 ","1,484 ","4,776 ","2,024 ",438 ,366 ,264 ,429 ,498 ,"3,502 ",N/A,99 ,"2,514 ",669 ,"1,423 ",778 ,112 ,573 ,222 ,"2,536 ","1,295 ","6,374 ","1,754 ",479 ,810 ,"1,377 ",307 ,475 ,"4,972 ","1,240 ","4,790 ","1,646 ",13 ,"2,138 ","2,602 ",234 ,"17,108 ",188 ,N/A,351 
Mississippi,"5,284 ",294 ,676 ,"2,434 ","2,691 ",359 ,104 ,6 ,0 ,"4,306 ","3,837 ",781 ,0 ,"3,985 ","1,112 ",0 ,222 ,"1,122 ","10,296 ",0 ,0 ,362 ,"2,510 ",949 ,N/A,"1,577 ",472 ,0 ,418 ,60 ,115 ,145 ,778 ,944 ,0 ,"1,619 ",796 ,171 ,"1,320 ",237 ,480 ,864 ,"10,273 ","5,024 ","1,409 ",0 ,"3,321 ",459 ,379 ,757 ,0 ,N/A,101 
Missouri,"1,419 ",922 ,"2,865 ","6,799 ","8,248 ","4,457 ",134 ,"1,000 ",94 ,"7,140 ","5,278 ",869 ,356 ,"20,865 ","3,117 ","5,229 ","18,794 ","1,425 ","1,584 ",292 ,"1,052 ",694 ,"5,135 ","2,632 ","1,602 ",N/A,336 ,"1,991 ",604 ,179 ,658 ,153 ,"2,565 ","5,213 ","1,575 ","2,499 ","5,271 ",809 ,"1,302 ",101 ,907 ,54 ,"3,307 ","15,983 ","1,095 ",622 ,"2,080 ","2,368 ",646 ,"1,992 ","1,382 ",N/A,135 
Montana,80 ,893 ,"1,986 ","1,175 ","5,689 ","2,044 ",127 ,0 ,36 ,392 ,782 ,0 ,"3,190 ",861 ,165 ,592 ,190 ,495 ,171 ,211 ,201 ,564 ,"1,307 ",859 ,127 ,"1,120 ",N/A,323 ,"1,286 ",0 ,387 ,106 ,265 ,843 ,"1,248 ",429 ,164 ,"2,102 ",213 ,0 ,241 ,580 ,325 ,"1,578 ",556 ,0 ,640 ,"6,571 ","1,157 ","1,235 ",813 ,N/A,75 
Nebraska,260 ,747 ,"2,197 ",53 ,"4,552 ","3,639 ",0 ,43 ,286 ,"2,380 ",770 ,312 ,77 ,"1,826 ",393 ,"5,981 ","3,463 ",236 ,180 ,53 ,376 ,152 ,558 ,"1,932 ",271 ,"3,698 ",123 ,N/A,93 ,60 ,760 ,180 ,924 ,922 ,500 ,"1,166 ","1,386 ",346 ,297 ,444 ,427 ,"1,016 ",763 ,"2,981 ",264 ,0 ,481 ,820 ,147 ,"1,110 ",456 ,N/A,207 
Nevada,"1,601 ",749 ,"6,368 ",267 ,"42,732 ","1,614 ",514 ,72 ,120 ,"5,117 ","2,340 ","3,098 ","1,427 ","4,630 ","1,469 ",255 ,593 ,419 ,"1,428 ",0 ,"1,045 ",685 ,"3,513 ",997 ,303 ,"1,119 ",703 ,594 ,N/A,169 ,962 ,750 ,"4,150 ",890 ,202 ,"5,032 ","1,509 ","2,709 ",781 ,0 ,64 ,486 ,784 ,"5,854 ","4,579 ",54 ,"1,667 ","4,024 ",73 ,"1,159 ",229 ,N/A,148 
New Hampshire,0 ,750 ,"1,786 ",0 ,"1,534 ",279 ,"2,830 ",72 ,310 ,"4,464 ",695 ,0 ,0 ,296 ,227 ,0 ,0 ,230 ,0 ,"3,633 ","1,018 ","14,669 ",429 ,171 ,0 ,99 ,0 ,217 ,279 ,N/A,784 ,668 ,"1,740 ",773 ,0 ,"1,048 ",0 ,468 ,550 ,553 ,574 ,0 ,116 ,412 ,200 ,"3,623 ",491 ,0 ,0 ,257 ,0 ,N/A,0 
New Jersey,"1,004 ","2,066 ","3,066 ",263 ,"4,819 ",624 ,"3,947 ","1,482 ",337 ,"9,594 ","3,905 ",653 ,53 ,"3,357 ",553 ,195 ,"1,053 ",680 ,426 ,318 ,"4,959 ","4,772 ","2,001 ","1,489 ",102 ,"1,173 ",0 ,0 ,"1,100 ",548 ,N/A,219 ,"48,252 ","2,362 ",0 ,"1,769 ",0 ,284 ,"24,752 ","2,809 ",811 ,0 ,682 ,"2,793 ",258 ,360 ,"3,354 ",706 ,0 ,823 ,107 ,N/A,"3,518 "
New Mexico,210 ,785 ,"8,688 ",498 ,"9,326 ","6,102 ",81 ,76 ,316 ,"3,544 ","1,233 ",587 ,197 ,"1,778 ","1,105 ",444 ,806 ,155 ,"1,163 ",42 ,779 ,989 ,"2,048 ",548 ,38 ,118 ,43 ,"1,225 ","2,184 ",0 ,"1,843 ",N/A,760 ,190 ,52 ,405 ,"1,159 ",830 ,"1,077 ",0 ,830 ,36 ,410 ,"11,751 ",256 ,0 ,"1,551 ","1,371 ",0 ,428 ,686 ,N/A,290 
New York,"1,202 ","2,883 ","2,541 ",146 ,"18,337 ","3,782 ","15,404 ",800 ,"4,889 ","33,961 ","6,569 ","2,217 ",364 ,"7,613 ","2,155 ",271 ,"1,594 ",863 ,"1,022 ","2,133 ","7,070 ","14,849 ","5,163 ","2,539 ",151 ,"3,713 ",150 ,561 ,966 ,"2,081 ","34,407 ","1,496 ",N/A,"10,052 ",327 ,"5,986 ","1,905 ","1,365 ","20,695 ","4,052 ","3,741 ",46 ,"2,227 ","9,936 ","1,687 ","3,345 ","9,208 ","2,858 ",945 ,827 ,284 ,N/A,"5,213 "
North Carolina,"4,978 ","1,862 ","2,987 ","1,310 ","16,493 ","6,627 ","4,177 ","2,205 ","1,958 ","42,729 ","18,965 ","1,139 ",404 ,"3,911 ","4,584 ","2,499 ","1,258 ","2,342 ","3,069 ",744 ,"13,657 ","7,224 ","7,615 ","1,002 ","1,313 ","4,002 ",707 ,875 ,"2,375 ","1,136 ","10,416 ",797 ,"33,213 ",N/A,55 ,"12,145 ","2,593 ",999 ,"11,138 ","1,335 ","25,135 ",413 ,"9,734 ","12,799 ",749 ,381 ,"25,142 ","6,311 ","4,431 ",936 ,147 ,N/A,850 
North Dakota,0 ,0 ,183 ,157 ,990 ,297 ,103 ,0 ,0 ,534 ,0 ,354 ,222 ,416 ,42 ,196 ,160 ,0 ,110 ,0 ,45 ,389 ,61 ,"10,598 ",183 ,554 ,"3,212 ",311 ,58 ,0 ,0 ,144 ,23 ,639 ,N/A,344 ,466 ,957 ,145 ,0 ,31 ,"1,433 ",35 ,"1,282 ",195 ,10 ,33 ,"1,024 ",49 ,342 ,419 ,N/A,0 
Ohio,"2,564 ","2,788 ","3,142 ",416 ,"6,921 ","3,169 ","2,645 ",520 ,770 ,"15,794 ","7,109 ",495 ,333 ,"9,436 ","10,863 ","1,730 ","1,311 ","13,225 ","1,104 ",489 ,"4,354 ","2,969 ","15,828 ","2,255 ",991 ,"3,372 ",68 ,"1,239 ",616 ,553 ,"2,574 ","1,465 ","7,304 ","6,412 ",649 ,N/A,"1,693 ","1,330 ","11,099 ",239 ,"4,235 ",314 ,"4,989 ","4,815 ",727 ,171 ,"5,764 ","4,055 ","5,581 ","1,239 ",126 ,N/A,"1,127 "
Oklahoma,"1,732 ","1,485 ","3,632 ","7,784 ","8,167 ","3,887 ",400 ,0 ,0 ,"5,414 ","3,316 ",406 ,198 ,"2,700 ",743 ,"2,256 ","6,762 ",806 ,"2,478 ",431 ,480 ,235 ,"3,102 ","1,024 ","1,078 ","6,025 ",691 ,917 ,"1,120 ","1,369 ","1,123 ","2,721 ","2,279 ","2,288 ",53 ,"2,285 ",N/A,704 ,844 ,301 ,915 ,18 ,"1,566 ","32,401 ",360 ,0 ,"1,364 ","2,236 ",737 ,446 ,855 ,N/A,0 
Oregon,707 ,"3,003 ","3,344 ",452 ,"33,497 ","3,050 ",49 ,209 ,177 ,"4,578 ",592 ,"3,045 ","9,155 ","2,142 ",619 ,898 ,574 ,80 ,413 ,310 ,325 ,"1,485 ",723 ,478 ,219 ,"1,136 ","2,582 ",614 ,"3,819 ",263 ,311 ,"1,297 ","2,502 ",589 ,426 ,"1,930 ",913 ,N/A,"2,125 ",176 ,"1,239 ","1,019 ",809 ,"3,502 ","1,740 ",0 ,"1,997 ","18,315 ",104 ,"1,660 ",632 ,N/A,51 
Pennsylvania,971 ,"1,426 ","2,264 ",308 ,"9,368 ","1,884 ","5,283 ","8,293 ","1,154 ","18,380 ","4,522 ",204 ,148 ,"7,486 ","2,387 ",359 ,874 ,"1,046 ",644 ,925 ,"19,850 ","5,175 ","4,224 ","1,929 ",899 ,"2,248 ",688 ,202 ,"1,896 ","1,181 ","39,442 ",907 ,"41,006 ","5,828 ",114 ,"10,598 ","1,103 ",740 ,N/A,377 ,"2,936 ",322 ,"2,510 ","5,187 ","1,031 ",973 ,"11,481 ","1,625 ","4,188 ","1,071 ",109 ,N/A,"6,343 "
Rhode Island,0 ,177 ,139 ,233 ,"1,478 ",322 ,"2,630 ",66 ,0 ,"1,355 ",721 ,387 ,0 ,108 ,0 ,90 ,0 ,0 ,0 ,603 ,676 ,"6,190 ",905 ,637 ,142 ,0 ,0 ,384 ,0 ,292 ,"1,849 ",576 ,"2,321 ","1,036 ",0 ,264 ,64 ,73 ,"1,012 ",N/A,74 ,41 ,529 ,202 ,194 ,176 ,"1,333 ",285 ,322 ,63 ,179 ,N/A,"1,797 "
South Carolina,"1,837 ",679 ,759 ,860 ,"4,143 ","1,044 ","1,674 ",528 ,"1,056 ","16,638 ","16,349 ",688 ,188 ,"3,424 ","1,888 ",737 ,583 ,"2,069 ",965 ,280 ,"5,044 ","3,294 ","4,767 ",354 ,"1,425 ",742 ,190 ,467 ,"1,166 ","1,080 ","5,044 ",380 ,"8,223 ","26,624 ",0 ,"5,606 ",936 ,517 ,"6,538 ",625 ,N/A,43 ,"3,708 ","4,405 ",119 ,884 ,"9,358 ","1,349 ",411 ,920 ,0 ,N/A,687 
South Dakota,267 ,66 ,"1,046 ",22 ,"1,051 ","2,259 ",108 ,0 ,339 ,228 ,86 ,0 ,185 ,607 ,300 ,"1,686 ",206 ,86 ,31 ,0 ,129 ,27 ,806 ,"4,345 ",225 ,391 ,161 ,"2,561 ",65 ,0 ,65 ,315 ,298 ,307 ,"1,174 ",293 ,79 ,224 ,618 ,0 ,51 ,N/A,450 ,931 ,137 ,0 ,224 ,742 ,51 ,583 ,185 ,N/A,0 
Tennessee,"6,780 ","1,970 ","1,353 ","5,096 ","9,008 ","2,240 ","1,000 ",188 ,66 ,"23,598 ","15,275 ",0 ,187 ,"7,570 ","4,986 ",802 ,"1,220 ","11,463 ","4,361 ",420 ,"1,861 ","1,108 ","7,563 ",546 ,"8,905 ","3,107 ",737 ,784 ,"1,086 ",998 ,"1,942 ",945 ,"3,910 ","9,274 ",47 ,"6,831 ","1,544 ",890 ,"3,798 ",451 ,"3,357 ",572 ,N/A,"7,426 ",538 ,362 ,"7,424 ",822 ,"2,457 ","2,779 ",261 ,N/A,707 
Texas,"6,086 ","7,173 ","16,278 ","13,341 ","73,993 ","17,623 ","3,337 ",740 ,"1,237 ","40,763 ","18,304 ","5,248 ","3,164 ","18,232 ","7,033 ","4,723 ","9,848 ","4,356 ","32,621 ",498 ,"5,775 ","4,183 ","11,169 ","8,613 ","8,451 ","16,626 ","1,628 ","4,437 ","7,066 ",476 ,"10,379 ","19,679 ","17,497 ","15,679 ","1,728 ","13,381 ","27,572 ","5,732 ","8,785 ",525 ,"6,255 ","1,211 ","13,051 ",N/A,"4,701 ",132 ,"15,143 ","9,796 ","1,895 ","7,548 ","3,167 ",N/A,"4,716 "
Utah,695 ,"2,160 ","9,075 ",450 ,"18,607 ","5,400 ",598 ,0 ,71 ,"3,373 ","1,218 ",713 ,"6,106 ","1,631 ",856 ,134 ,277 ,349 ,735 ,106 ,719 ,961 ,"1,065 ",578 ,144 ,"1,170 ",627 ,"1,715 ","7,998 ",395 ,121 ,912 ,"1,645 ",676 ,727 ,"2,805 ",792 ,"5,487 ",682 ,0 ,444 ,169 ,510 ,"7,026 ",N/A,123 ,"1,501 ","2,930 ",70 ,"2,574 ","4,524 ",N/A,198 
Vermont,0 ,252 ,200 ,0 ,"1,062 ",723 ,"1,041 ",0 ,0 ,"1,025 ",0 ,18 ,36 ,151 ,290 ,310 ,0 ,104 ,19 ,"1,985 ",233 ,"1,588 ",467 ,204 ,54 ,370 ,94 ,0 ,399 ,"2,727 ",628 ,13 ,"4,480 ",292 ,0 ,105 ,140 ,183 ,643 ,201 ,14 ,0 ,361 ,392 ,141 ,N/A,775 ,176 ,51 ,0 ,27 ,N/A,0 
Virginia,"4,171 ",866 ,"4,286 ","1,030 ","14,469 ","3,023 ","4,955 ","1,096 ","8,323 ","23,316 ","9,719 ","2,737 ","1,446 ","10,324 ","2,445 ",229 ,"1,054 ","2,100 ","1,551 ","1,186 ","26,870 ","4,532 ","5,528 ","1,641 ","1,549 ","1,806 ",733 ,"1,278 ","2,239 ",508 ,"9,498 ",655 ,"15,761 ","27,224 ",529 ,"5,366 ",417 ,876 ,"13,283 ",587 ,"6,695 ",57 ,"7,969 ","11,813 ","2,480 ",650 ,N/A,"5,253 ","8,624 ","2,131 ",375 ,N/A,174 
