,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia ,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,Total,Puerto Rico
United States,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Alabama,N/A,"2,912 ",896 ,341 ,"4,962 ",967 ,430 ,"1,628 ",0 ,"20,118 ","22,022 ",980 ,91 ,"2,489 ","2,671 ",153 ,552 ,"1,848 ","4,376 ",65 ,941 ,364 ,"4,248 ",402 ,"7,068 ","1,820 ",272 ,389 ,132 ,76 ,"1,285 ",451 ,"3,521 ","2,848 ",0 ,"2,587 ","1,204 ",31 ,"1,675 ",0 ,"1,972 ",0 ,"8,708 ","6,143 ",917 ,0 ,"2,944 ","1,750 ",119 ,"1,399 ",91 ,N/A,647 
Alaska,"1,392 ",N/A,"1,904 ",332 ,"4,951 ","1,284 ",26 ,113 ,168 ,"1,350 ",891 ,"1,421 ","1,170 ",457 ,272 ,233 ,36 ,368 ,575 ,346 ,106 ,293 ,"1,152 ",600 ,138 ,"1,006 ",365 ,208 ,305 ,0 ,0 ,851 ,417 ,"1,153 ",152 ,575 ,"1,506 ","3,075 ","1,526 ",58 ,"1,379 ",288 ,187 ,"1,753 ",532 ,0 ,862 ,"3,805 ",34 ,397 ,195 ,N/A,0 
Arizona,"1,028 ","2,983 ",N/A,"1,289 ","51,020 ","9,845 ","1,205 ",513 ,235 ,"10,266 ","3,413 ","2,196 ","3,098 ","7,106 ","4,371 ","2,417 ",882 ,"2,490 ","1,586 ",951 ,"2,395 ","2,905 ","10,781 ","9,644 ",690 ,"4,910 ","2,440 ","2,674 ","9,056 ",506 ,"2,033 ","5,146 ","7,506 ","5,491 ","1,387 ","8,274 ","1,920 ","7,820 ","5,664 ","1,165 ","1,347 ","1,085 ","2,299 ","12,153 ","4,853 ",218 ,"3,361 ","11,891 ",356 ,"2,792 ","1,701 ",N/A,123 
Arkansas,"1,009 ",95 ,"2,872 ",N/A,"6,451 ",989 ,0 ,0 ,0 ,"3,948 ","1,085 ",381 ,444 ,"4,213 ",628 ,"1,063 ","1,625 ",264 ,"2,696 ",76 ,485 ,272 ,"2,847 ","2,244 ","4,031 ","6,081 ",305 ,938 ,581 ,26 ,47 ,822 ,185 ,"1,192 ",38 ,724 ,"6,698 ",982 ,554 ,0 ,"1,174 ",56 ,"5,195 ","19,551 ",52 ,0 ,"2,575 ",970 ,458 ,"1,468 ",154 ,N/A,229 
California,"2,868 ","5,905 ","37,873 ","4,504 ",N/A,"19,002 ","4,551 ",399 ,"2,410 ","23,036 ","8,301 ","11,054 ","6,333 ","21,611 ","4,537 ","2,880 ","4,331 ","2,753 ","4,792 ","2,086 ","8,120 ","13,523 ","10,357 ","5,000 ","2,529 ","8,917 ","3,292 ","2,402 ","31,237 ","1,192 ","7,454 ","5,753 ","28,535 ","11,247 ",718 ,"8,312 ","3,059 ","20,369 ","11,697 ","1,223 ","2,876 ",715 ,"5,670 ","42,142 ","9,977 ",892 ,"13,612 ","29,680 ","1,372 ","4,705 ","1,585 ",N/A,"1,487 "
Colorado,"1,243 ","3,330 ","12,096 ",966 ,"28,890 ",N/A,833 ,195 ,61 ,"10,469 ","4,467 ","1,861 ","2,090 ","5,140 ","3,181 ","2,420 ","6,085 ","1,418 ","2,068 ",597 ,"1,039 ","2,460 ","3,498 ","4,067 ",729 ,"2,967 ","2,405 ","3,034 ","4,453 ",525 ,"2,966 ","8,457 ","3,298 ","4,566 ","1,438 ","3,928 ","3,929 ","4,028 ","3,788 ",398 ,"2,930 ","1,230 ","1,665 ","18,276 ","5,002 ",322 ,"3,404 ","4,926 ",455 ,"3,492 ","5,234 ",N/A,366 
Connecticut,139 ,"1,870 ",977 ,0 ,"2,970 ","1,133 ",N/A,47 ,267 ,"4,573 ","2,852 ",84 ,154 ,"1,296 ",220 ,353 ,63 ,379 ,357 ,"1,410 ",915 ,"11,231 ","2,062 ",797 ,0 ,307 ,0 ,15 ,141 ,"1,431 ","4,669 ",141 ,"17,271 ","1,679 ",0 ,"1,269 ",58 ,58 ,"3,036 ","2,758 ",978 ,61 ,375 ,"2,261 ",61 ,"1,557 ","3,606 ","1,127 ",85 ,"1,342 ",411 ,N/A,"3,690 "
Delaware,89 ,235 ,180 ,0 ,"1,294 ",399 ,500 ,N/A,168 ,"2,029 ","1,018 ",0 ,0 ,"1,287 ",547 ,0 ,73 ,0 ,472 ,58 ,"8,322 ","1,574 ",0 ,51 ,56 ,260 ,0 ,0 ,135 ,304 ,"3,323 ",175 ,"2,966 ","1,200 ",758 ,86 ,38 ,0 ,"8,892 ",0 ,571 ,0 ,170 ,520 ,0 ,0 ,"2,983 ",550 ,92 ,144 ,109 ,N/A,406 
District of Columbia ,103 ,230 ,509 ,35 ,"1,688 ",360 ,919 ,981 ,N/A,"1,650 ",709 ,355 ,79 ,877 ,137 ,139 ,364 ,0 ,484 ,0 ,"12,275 ","1,523 ",895 ,300 ,91 ,179 ,65 ,0 ,0 ,230 ,"1,160 ",51 ,"3,974 ","1,370 ",0 ,966 ,109 ,412 ,"1,880 ",336 ,608 ,0 ,35 ,711 ,0 ,0 ,"6,828 ",296 ,424 ,197 ,0 ,N/A,165 
Florida,"13,116 ","10,734 ","4,501 ","4,368 ","18,241 ","8,511 ","11,058 ","1,680 ","2,100 ",N/A,"47,089 ","1,763 ","1,911 ","14,902 ","13,681 ","2,431 ","3,928 ","5,697 ","6,223 ","2,845 ","10,660 ","15,203 ","19,062 ","4,374 ","3,751 ","4,673 ",538 ,612 ,"2,938 ","2,213 ","26,070 ","2,806 ","57,995 ","22,320 ",227 ,"23,501 ","3,548 ","3,286 ","21,401 ","2,371 ","7,876 ","1,931 ","10,889 ","25,181 ","1,185 ","2,283 ","23,510 ","6,198 ","2,179 ","5,633 ",495 ,N/A,"15,862 "
Georgia,"20,484 ","2,734 ","4,337 ","2,193 ","14,254 ","2,724 ","2,106 ",438 ,"2,248 ","49,921 ",N/A,"1,167 ","1,590 ","10,721 ","3,932 ","2,108 ","1,486 ","3,726 ","7,971 ",107 ,"5,157 ","5,234 ","7,049 ","1,481 ","4,020 ","3,889 ",234 ,915 ,806 ,808 ,"8,398 ",827 ,"19,851 ","16,136 ",301 ,"8,167 ","2,269 ","1,019 ","7,752 ",340 ,"14,310 ",280 ,"12,138 ","17,148 ",682 ,341 ,"8,531 ","2,626 ","1,460 ","2,623 ",550 ,N/A,"1,465 "
Hawaii,502 ,"1,050 ","2,669 ","1,322 ","12,820 ","1,273 ",123 ,0 ,0 ,"2,761 ","1,639 ",N/A,564 ,123 ,217 ,52 ,397 ,339 ,143 ,370 ,"1,811 ",283 ,520 ,949 ,274 ,389 ,151 ,0 ,"1,338 ",428 ,762 ,165 ,933 ,"2,346 ",0 ,571 ,"1,248 ",388 ,"1,602 ",562 ,433 ,137 ,104 ,"3,571 ",442 ,128 ,"4,045 ","4,254 ",42 ,748 ,503 ,N/A,209 
Idaho,80 ,"1,390 ","2,109 ",751 ,"10,492 ",746 ,233 ,0 ,0 ,"1,049 ","1,428 ",60 ,N/A,"1,691 ",219 ,425 ,578 ,62 ,314 ,0 ,216 ,424 ,779 ,"1,554 ",19 ,140 ,"2,025 ",82 ,"2,390 ",26 ,0 ,904 ,814 ,507 ,611 ,288 ,393 ,"7,300 ",288 ,0 ,0 ,408 ,129 ,"1,125 ","10,142 ",288 ,325 ,"9,480 ",0 ,547 ,"1,960 ",N/A,163 
Illinois,"2,029 ","1,694 ","4,746 ","2,131 ","20,722 ","4,755 ","1,404 ",218 ,"1,134 ","14,444 ","6,446 ","2,682 ",468 ,N/A,"22,369 ","12,054 ","3,067 ","3,735 ","1,183 ",958 ,"2,067 ","3,127 ","13,892 ","3,956 ","2,844 ","14,256 ",184 ,"1,031 ","1,001 ",125 ,"2,738 ",593 ,"6,620 ","3,611 ",536 ,"7,379 ","1,937 ","1,171 ","3,511 ",283 ,"1,205 ",138 ,"4,054 ","11,031 ","1,376 ",63 ,"6,530 ","3,383 ",578 ,"16,722 ",67 ,N/A,"2,478 "
Indiana,713 ,509 ,"4,590 ",935 ,"7,951 ","2,774 ",967 ,0 ,285 ,"9,183 ","4,292 ",361 ,373 ,"34,358 ",N/A,735 ,733 ,"11,707 ","1,566 ",146 ,"2,614 ","1,080 ","13,820 ",903 ,"1,519 ","4,007 ",280 ,625 ,"1,347 ",617 ,"1,309 ",817 ,"3,395 ","2,443 ",182 ,"15,522 ",489 ,"1,972 ","4,779 ",71 ,"2,910 ",265 ,"3,236 ","4,633 ",599 ,101 ,"2,626 ","1,644 ","1,255 ","3,637 ",0 ,N/A,190 
Iowa,219 ,578 ,"1,749 ","3,309 ","3,019 ","1,448 ",565 ,171 ,60 ,"2,487 ","1,207 ",101 ,303 ,"14,874 ","1,662 ",N/A,"2,386 ",516 ,"1,327 ",19 ,117 ,406 ,"1,472 ","4,976 ",217 ,"4,620 ",387 ,"8,085 ",419 ,0 ,292 ,244 ,"1,156 ","1,214 ",927 ,430 ,"1,133 ","1,040 ",430 ,0 ,494 ,"1,817 ","1,483 ","6,148 ","1,140 ",0 ,"1,075 ",533 ,0 ,"2,816 ",235 ,N/A,342 
Kansas,"1,704 ",283 ,"2,831 ","1,873 ","6,118 ","6,726 ",372 ,0 ,0 ,"3,641 ","1,369 ",489 ,192 ,"3,411 ","1,380 ","2,796 ",N/A,"2,353 ",923 ,593 ,244 ,882 ,"1,624 ",822 ,496 ,"21,252 ",176 ,"4,961 ",928 ,0 ,915 ,"1,416 ",809 ,"1,772 ",74 ,"1,134 ","7,020 ",271 ,463 ,0 ,"1,341 ",419 ,"1,828 ","7,399 ",792 ,190 ,"2,267 ","1,966 ",205 ,"1,210 ",380 ,N/A,0 
Kentucky,"1,312 ",591 ,294 ,879 ,"3,605 ",872 ,290 ,250 ,108 ,"11,028 ","3,634 ",838 ,78 ,"5,355 ","10,312 ",307 ,"2,836 ",N/A,680 ,432 ,"2,143 ",695 ,"4,866 ",563 ,817 ,"2,599 ",59 ,153 ,521 ,202 ,700 ,297 ,"2,922 ","2,004 ",0 ,"16,644 ",693 ,938 ,872 ,0 ,"1,620 ",79 ,"10,709 ","4,796 ","1,083 ",794 ,"2,227 ","1,766 ","1,506 ","1,236 ",250 ,N/A,280 
