source,target,flow,year
Alabama,Alaska,392,2006
Alabama,Arizona,1304,2006
Alabama,Arkansas,1811,2006
Alabama,California,5984,2006
Alabama,Colorado,1158,2006
Alabama,Connecticut,213,2006
Alabama,Delaware,392,2006
Alabama,District of Columbia ,245,2006
Alabama,Florida,19258,2006
Alabama,Georgia,21146,2006
Alabama,Hawaii,352,2006
Alabama,Idaho,53,2006
Alabama,Illinois,4666,2006
Alabama,Indiana,3178,2006
Alabama,Iowa,893,2006
Alabama,Kansas,381,2006
Alabama,Kentucky,3267,2006
Alabama,Louisiana,10034,2006
Alabama,Maine,304,2006
Alabama,Maryland,739,2006
Alabama,Massachusetts,397,2006
Alabama,Michigan,4128,2006
Alabama,Minnesota,333,2006
Alabama,Mississippi,11325,2006
Alabama,Missouri,2271,2006
Alabama,Montana,0,2006
Alabama,Nebraska,66,2006
Alabama,Nevada,181,2006
Alabama,New Hampshire,101,2006
Alabama,New Jersey,1035,2006
Alabama,New Mexico,311,2006
Alabama,New York,3732,2006
Alabama,North Carolina,3926,2006
Alabama,North Dakota,326,2006
Alabama,Ohio,4535,2006
Alabama,Oklahoma,1757,2006
Alabama,Oregon,113,2006
Alabama,Pennsylvania,1277,2006
Alabama,Rhode Island,0,2006
Alabama,South Carolina,1679,2006
Alabama,South Dakota,53,2006
Alabama,Tennessee,8241,2006
Alabama,Texas,8457,2006
Alabama,Utah,1387,2006
Alabama,Vermont,351,2006
Alabama,Virginia,2316,2006
Alabama,Washington,1529,2006
Alabama,West Virginia,154,2006
Alabama,Wisconsin,1501,2006
Alabama,Wyoming,519,2006
Alaska,Alabama,751,2006
Alaska,Arizona,1190,2006
Alaska,Arkansas,503,2006
Alaska,California,3353,2006
Alaska,Colorado,968,2006
Alaska,Connecticut,498,2006
Alaska,Delaware,0,2006
Alaska,District of Columbia ,0,2006
Alaska,Florida,940,2006
Alaska,Georgia,1602,2006
Alaska,Hawaii,1190,2006
Alaska,Idaho,662,2006
Alaska,Illinois,349,2006
Alaska,Indiana,447,2006
Alaska,Iowa,377,2006
Alaska,Kansas,293,2006
Alaska,Kentucky,241,2006
Alaska,Louisiana,332,2006
Alaska,Maine,119,2006
Alaska,Maryland,117,2006
Alaska,Massachusetts,740,2006
Alaska,Michigan,346,2006
Alaska,Minnesota,1216,2006
Alaska,Mississippi,396,2006
Alaska,Missouri,476,2006
Alaska,Montana,729,2006
Alaska,Nebraska,1087,2006
Alaska,Nevada,1344,2006
Alaska,New Hampshire,62,2006
Alaska,New Jersey,153,2006
Alaska,New Mexico,14,2006
Alaska,New York,809,2006
Alaska,North Carolina,966,2006
Alaska,North Dakota,0,2006
Alaska,Ohio,556,2006
Alaska,Oklahoma,241,2006
Alaska,Oregon,2577,2006
Alaska,Pennsylvania,454,2006
Alaska,Rhode Island,206,2006
Alaska,South Carolina,61,2006
Alaska,South Dakota,0,2006
Alaska,Tennessee,71,2006
Alaska,Texas,2362,2006
Alaska,Utah,1483,2006
Alaska,Vermont,0,2006
Alaska,Virginia,1325,2006
Alaska,Washington,4850,2006
Alaska,West Virginia,37,2006
Alaska,Wisconsin,845,2006
Alaska,Wyoming,334,2006
Arizona,Alabama,1805,2006
Arizona,Alaska,3715,2006
Arizona,Arkansas,1163,2006
Arizona,California,85497,2006
Arizona,Colorado,7030,2006
Arizona,Connecticut,1392,2006
Arizona,Delaware,589,2006
Arizona,District of Columbia ,352,2006
Arizona,Florida,7667,2006
Arizona,Georgia,3084,2006
Arizona,Hawaii,2840,2006
Arizona,Idaho,4668,2006
Arizona,Illinois,9344,2006
Arizona,Indiana,3537,2006
Arizona,Iowa,5035,2006
Arizona,Kansas,1714,2006
Arizona,Kentucky,2744,2006
Arizona,Louisiana,2609,2006
Arizona,Maine,1430,2006
Arizona,Maryland,2763,2006
Arizona,Massachusetts,1824,2006
Arizona,Michigan,10422,2006
Arizona,Minnesota,6189,2006
Arizona,Mississippi,1068,2006
Arizona,Missouri,1583,2006
Arizona,Montana,2609,2006
Arizona,Nebraska,1991,2006
Arizona,Nevada,10495,2006
Arizona,New Hampshire,1536,2006
Arizona,New Jersey,3467,2006
Arizona,New Mexico,8583,2006
Arizona,New York,7128,2006
Arizona,North Carolina,3490,2006
Arizona,North Dakota,891,2006
Arizona,Ohio,7860,2006
Arizona,Oklahoma,2754,2006
Arizona,Oregon,7224,2006
Arizona,Pennsylvania,5623,2006
Arizona,Rhode Island,858,2006
Arizona,South Carolina,1804,2006
Arizona,South Dakota,2530,2006
Arizona,Tennessee,1776,2006
Arizona,Texas,17130,2006
Arizona,Utah,7727,2006
