target,source,flow,year
Oregon,Maine,269,2011
Oregon,Maryland,453,2011
Oregon,Illinois,1350,2011
Oregon,Massachusetts,1423,2011
Oregon,Arkansas,988,2011
Oregon,Alaska,1935,2011
Oklahoma,Ohio,1608,2011
Oklahoma,Oregon,917,2011
Oklahoma,Pennsylvania,1116,2011
Oklahoma,Rhode Island,152,2011
Oklahoma,South Carolina,2015,2011
Oklahoma,South Dakota,600,2011
Oklahoma,Tennessee,1700,2011
Oregon,Arizona,7911,2011
Oklahoma,Texas,31595,2011
Oklahoma,Vermont,0,2011
Oklahoma,Virginia,1013,2011
Oklahoma,Washington,1246,2011
Oklahoma,West Virginia,44,2011
Oklahoma,Wisconsin,942,2011
Oklahoma,Wyoming,1763,2011
Oregon,Alabama,758,2011
Oklahoma,Utah,587,2011
Oklahoma,North Dakota,928,2011
Oregon,Michigan,1652,2011
Oregon,Mississippi,7,2011
Oregon,Virginia,1179,2011
Oregon,Washington,21862,2011
Oregon,West Virginia,66,2011
Oregon,Wisconsin,914,2011
Oregon,Wyoming,914,2011
Pennsylvania,Alabama,1332,2011
Pennsylvania,Alaska,759,2011
Oregon,Vermont,176,2011
Pennsylvania,Arizona,2278,2011
Pennsylvania,California,10672,2011
Pennsylvania,Colorado,2491,2011
Pennsylvania,Connecticut,4150,2011
Pennsylvania,Delaware,5177,2011
Pennsylvania,District of Columbia ,1401,2011
Pennsylvania,Florida,19299,2011
Pennsylvania,Georgia,4627,2011
Pennsylvania,Arkansas,582,2011
Oregon,Minnesota,1413,2011
Oregon,Utah,3443,2011
Oregon,Tennessee,673,2011
Oregon,Missouri,1172,2011
Oregon,Montana,1079,2011
Oregon,Nebraska,324,2011
Oregon,Nevada,7222,2011
Oregon,New Hampshire,427,2011
Oregon,New Jersey,1322,2011
Oregon,New Mexico,537,2011
Oregon,Texas,4498,2011
Oregon,New York,2056,2011
Oregon,North Dakota,313,2011
Oregon,Ohio,949,2011
Oregon,Oklahoma,2034,2011
Oregon,Pennsylvania,1407,2011
Oregon,Rhode Island,0,2011
Oregon,South Carolina,370,2011
Oregon,South Dakota,417,2011
Oregon,North Carolina,1099,2011
New Mexico,Virginia,425,2011
Oklahoma,North Carolina,1322,2011
Oklahoma,New Mexico,403,2011
Ohio,Missouri,2003,2011
Ohio,Montana,101,2011
Ohio,Nebraska,1176,2011
Ohio,Nevada,1851,2011
Ohio,New Hampshire,1992,2011
Ohio,New Jersey,3936,2011
Ohio,New Mexico,255,2011
Ohio,Mississippi,691,2011
Ohio,New York,8784,2011
Ohio,North Dakota,204,2011
Ohio,Oklahoma,2333,2011
Ohio,Oregon,1326,2011
Ohio,Pennsylvania,14292,2011
Ohio,Rhode Island,369,2011
Ohio,South Carolina,3826,2011
Ohio,South Dakota,34,2011
Ohio,North Carolina,4572,2011
Ohio,Tennessee,6468,2011
Ohio,Minnesota,1788,2011
Ohio,Massachusetts,2101,2011
Ohio,Colorado,2690,2011
Ohio,Connecticut,1189,2011
Ohio,Delaware,263,2011
Ohio,District of Columbia ,587,2011
Ohio,Florida,16492,2011
Ohio,Georgia,4290,2011
Ohio,Hawaii,1044,2011
Ohio,Michigan,14330,2011
Ohio,Idaho,312,2011
Ohio,Indiana,11588,2011
Ohio,Iowa,1146,2011
Ohio,Kansas,657,2011
Ohio,Kentucky,12744,2011
Ohio,Louisiana,1872,2011
Ohio,Maine,0,2011
Ohio,Maryland,4982,2011
Ohio,Illinois,7027,2011
Oklahoma,New York,1858,2011
Ohio,Texas,11987,2011
Ohio,Vermont,68,2011
Oklahoma,Iowa,580,2011
Oklahoma,Kansas,4626,2011
Oklahoma,Kentucky,1398,2011
Oklahoma,Louisiana,1934,2011
Oklahoma,Maine,271,2011
Oklahoma,Maryland,432,2011
Oklahoma,Massachusetts,160,2011
Oklahoma,Indiana,2113,2011
Oklahoma,Michigan,1038,2011
Oklahoma,Mississippi,199,2011
Oklahoma,Missouri,5781,2011
Oklahoma,Montana,803,2011
Oklahoma,Nebraska,1979,2011
Oklahoma,Nevada,705,2011
Oklahoma,New Hampshire,0,2011
Oklahoma,New Jersey,391,2011
Oklahoma,Minnesota,497,2011
Ohio,Utah,691,2011
Oklahoma,Illinois,2179,2011
Oklahoma,Hawaii,140,2011
Ohio,Virginia,5425,2011
Ohio,Washington,1979,2011
Ohio,West Virginia,7548,2011
Ohio,Wisconsin,2534,2011
Ohio,Wyoming,1280,2011
Oklahoma,Alabama,591,2011
Oklahoma,Alaska,1137,2011
Oklahoma,Idaho,21,2011
Oklahoma,Arizona,3770,2011
Oklahoma,California,8233,2011
Oklahoma,Colorado,3273,2011
Oklahoma,Connecticut,97,2011
Oklahoma,Delaware,66,2011
Oklahoma,District of Columbia ,191,2011
Oklahoma,Florida,6056,2011
Oklahoma,Georgia,3514,2011
Oklahoma,Arkansas,6894,2011
Pennsylvania,Idaho,236,2011
New Mexico,Vermont,71,2011
New Mexico,Texas,13633,2011
Nebraska,Nevada,240,2011
Nebraska,New Hampshire,0,2011
Nebraska,New Jersey,119,2011
Nebraska,New Mexico,242,2011
Nebraska,New York,544,2011
Nebraska,North Carolina,829,2011
Nebraska,North Dakota,292,2011
Nebraska,Ohio,268,2011
Nebraska,Oklahoma,1255,2011
Nebraska,Oregon,1556,2011
Nebraska,Pennsylvania,252,2011
Nebraska,Rhode Island,0,2011
