,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia ,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,Total,Puerto Rico
United States1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Iowa,261,440,"2,142",590,"3,510","2,691","1,059",85,308,"1,403","1,629",502,314,"11,981","2,242",N/A,"2,310","1,120","1,155",311,193,193,"1,203","5,480",638,"2,588",312,"7,380","1,311",0,255,141,952,761,"1,508",835,"1,273",161,642,0,451,"3,562",320,"2,932",502,17,534,"1,836",0,"3,573",713,N/A,385
Kansas,"1,323",947,"2,689","1,292","6,776","4,231",0,0,74,"3,805","2,970",624,387,"2,637","2,660","2,181",N/A,773,"1,614",4,797,703,"2,736","1,774",641,"24,307",233,"2,902","1,983",175,"1,702","1,145",900,"1,476",423,"2,021","6,975",494,168,663,426,865,"2,799","8,527",394,0,"1,162",568,0,237,422,N/A,90
Kentucky,"1,904","1,567","2,014",680,"2,985","1,121",191,137,177,"7,638","4,830",144,129,"4,558","10,764",814,"1,665",N/A,739,147,"1,273","1,311","4,759",777,"1,085","2,578",239,163,260,828,287,273,"4,580","4,162",0,"13,469","3,014",393,"3,386",0,"3,527",0,"14,336","6,849",701,110,"4,303",984,"4,534",876,0,N/A,923
Louisiana,"2,065",864,"1,687","1,926","2,510",503,34,174,165,"9,137","4,994",161,"1,073","1,377","1,190",177,"1,029",741,N/A,292,"1,170",287,"1,378",315,"10,373",972,92,98,868,0,681,322,"1,221","1,360",190,"1,736","2,119",285,"2,225",148,929,343,"4,575","24,857",427,68,"1,710",902,324,543,69,N/A,271
Maine,16,139,650,0,"1,320",544,"1,394",49,0,"1,781",699,129,0,413,0,59,0,0,521,N/A,238,"3,518",0,264,20,119,0,0,0,"3,395",938,98,"1,956",271,0,343,25,277,648,437,194,0,"1,090",318,178,958,869,221,320,168,95,N/A,0
Maryland,"1,118","1,497","3,126",316,"6,639","1,287","2,895","3,935","21,189","11,155","5,689",739,"1,017","2,733","1,268",263,"1,419","1,598",632,"1,228",N/A,"3,290","4,223",908,"1,466","2,403",0,55,206,620,"6,810",763,"11,910","8,192",0,"3,517",853,326,"14,019",676,"3,310",0,"2,906","6,650",714,889,"22,050","1,697","4,826","1,255",0,N/A,681
Massachusetts,415,"1,726","1,362",368,"11,981","2,117","11,112",65,"1,726","13,714","1,954","1,798",149,"6,326","1,810",0,209,438,64,"4,228","2,984",N/A,"3,521","1,351",164,"1,608",288,0,416,"10,775","6,850",344,"22,409","3,313",153,"3,233",385,667,"5,264","6,316",566,0,922,"2,242",636,"1,413","4,885","2,219",190,819,64,N/A,"2,941"
Michigan,"3,334","1,374","3,123",544,"6,753","1,606",646,328,56,"12,319","2,862",170,251,"11,330","6,550",716,839,"2,155","1,189",38,"1,667","1,417",N/A,"1,242","1,492","2,437",92,523,"1,580",334,"2,208",128,"4,583","3,009",309,"11,801",821,"1,631","2,106",177,"1,693",156,"2,650","6,142",611,247,"2,054","3,397",220,"5,888",662,N/A,594
Minnesota,526,986,"2,571",595,"4,371","2,426",851,0,138,"3,114","2,293",331,42,"5,545","1,206","5,738",934,563,0,35,751,253,"1,868",N/A,270,985,661,"1,486",969,74,815,639,"2,275","2,842","7,160","1,388","1,208","1,088","1,111",0,711,"3,268",979,"4,835",513,318,"1,697","2,783",107,"17,189",436,N/A,0
Mississippi,"6,446",0,242,"3,833","2,379",579,738,89,44,"5,402","5,185",171,0,"4,127",513,113,661,818,"7,145",127,432,319,"2,235",244,N/A,"1,235",0,0,522,0,232,55,409,"1,181",77,"1,419",915,0,565,190,518,118,"9,936","5,024",0,0,842,517,54,"1,491",0,N/A,103
