target,source,flow,year
Alabama,Alaska,1253,2007
Alabama,Arizona,1005,2007
Alabama,Arkansas,1580,2007
Alabama,California,4643,2007
Alabama,Colorado,981,2007
Alabama,Connecticut,514,2007
Alabama,Delaware,0,2007
Alabama,District of Columbia ,0,2007
Alabama,Florida,18536,2007
Alabama,Georgia,26244,2007
Alabama,Hawaii,988,2007
Alabama,Idaho,37,2007
Alabama,Illinois,2345,2007
Alabama,Indiana,3616,2007
Alabama,Iowa,243,2007
Alabama,Kansas,351,2007
Alabama,Kentucky,2453,2007
Alabama,Louisiana,4346,2007
Alabama,Maine,64,2007
Alabama,Maryland,2195,2007
Alabama,Massachusetts,522,2007
Alabama,Michigan,5007,2007
Alabama,Minnesota,701,2007
Alabama,Mississippi,10358,2007
Alabama,Missouri,1270,2007
Alabama,Montana,85,2007
Alabama,Nebraska,603,2007
Alabama,Nevada,620,2007
Alabama,New Hampshire,240,2007
Alabama,New Jersey,2922,2007
Alabama,New Mexico,726,2007
Alabama,New York,4909,2007
Alabama,North Carolina,4868,2007
Alabama,North Dakota,0,2007
Alabama,Ohio,2859,2007
Alabama,Oklahoma,862,2007
Alabama,Oregon,151,2007
Alabama,Pennsylvania,1991,2007
Alabama,Rhode Island,139,2007
Alabama,South Carolina,1848,2007
Alabama,South Dakota,0,2007
Alabama,Tennessee,9812,2007
Alabama,Texas,9001,2007
Alabama,Utah,184,2007
Alabama,Vermont,65,2007
Alabama,Virginia,4390,2007
Alabama,Washington,1023,2007
Alabama,West Virginia,361,2007
Alabama,Wisconsin,590,2007
Alabama,Wyoming,294,2007
Alaska,Alabama,1151,2007
Alaska,Arizona,2320,2007
Alaska,Arkansas,386,2007
Alaska,California,3985,2007
Alaska,Colorado,1771,2007
Alaska,Connecticut,164,2007
Alaska,Delaware,0,2007
Alaska,District of Columbia ,0,2007
Alaska,Florida,956,2007
Alaska,Georgia,1639,2007
Alaska,Hawaii,1119,2007
Alaska,Idaho,168,2007
Alaska,Illinois,559,2007
Alaska,Indiana,196,2007
Alaska,Iowa,0,2007
Alaska,Kansas,555,2007
Alaska,Kentucky,267,2007
Alaska,Louisiana,325,2007
Alaska,Maine,338,2007
