source,target,flow,year
Alabama,Alaska,608,2005
Alabama,Arizona,574,2005
Alabama,Arkansas,3168,2005
Alabama,California,3025,2005
Alabama,Colorado,1922,2005
Alabama,Connecticut,321,2005
Alabama,Delaware,563,2005
Alabama,District of Columbia ,191,2005
Alabama,Florida,15641,2005
Alabama,Georgia,17776,2005
Alabama,Hawaii,753,2005
Alabama,Idaho,162,2005
Alabama,Illinois,3410,2005
Alabama,Indiana,1705,2005
Alabama,Iowa,375,2005
Alabama,Kansas,397,2005
Alabama,Kentucky,1712,2005
Alabama,Louisiana,4887,2005
Alabama,Maine,24,2005
Alabama,Maryland,1653,2005
Alabama,Massachusetts,361,2005
Alabama,Michigan,2878,2005
Alabama,Minnesota,58,2005
Alabama,Mississippi,10093,2005
Alabama,Missouri,1768,2005
Alabama,Montana,0,2005
Alabama,Nebraska,409,2005
Alabama,Nevada,709,2005
Alabama,New Hampshire,461,2005
Alabama,New Jersey,951,2005
Alabama,New Mexico,540,2005
Alabama,New York,3222,2005
Alabama,North Carolina,1512,2005
Alabama,North Dakota,80,2005
Alabama,Ohio,2099,2005
Alabama,Oklahoma,2347,2005
Alabama,Oregon,81,2005
Alabama,Pennsylvania,753,2005
Alabama,Rhode Island,0,2005
Alabama,South Carolina,2426,2005
Alabama,South Dakota,0,2005
Alabama,Tennessee,9037,2005
Alabama,Texas,7532,2005
Alabama,Utah,200,2005
Alabama,Vermont,163,2005
Alabama,Virginia,2572,2005
Alabama,Washington,1324,2005
Alabama,West Virginia,432,2005
Alabama,Wisconsin,303,2005
Alabama,Wyoming,436,2005
Alaska,Alabama,152,2005
Alaska,Arizona,883,2005
Alaska,Arkansas,54,2005
Alaska,California,3898,2005
Alaska,Colorado,1791,2005
Alaska,Connecticut,0,2005
Alaska,Delaware,0,2005
Alaska,District of Columbia ,0,2005
Alaska,Florida,940,2005
Alaska,Georgia,816,2005
Alaska,Hawaii,284,2005
Alaska,Idaho,735,2005
Alaska,Illinois,578,2005
Alaska,Indiana,235,2005
Alaska,Iowa,96,2005
Alaska,Kansas,700,2005
Alaska,Kentucky,119,2005
Alaska,Louisiana,62,2005
Alaska,Maine,37,2005
Alaska,Maryland,203,2005
Alaska,Massachusetts,148,2005
Alaska,Michigan,486,2005
Alaska,Minnesota,637,2005
Alaska,Mississippi,1517,2005
Alaska,Missouri,243,2005
Alaska,Montana,121,2005
Alaska,Nebraska,148,2005
Alaska,Nevada,485,2005
Alaska,New Hampshire,444,2005
Alaska,New Jersey,109,2005
Alaska,New Mexico,395,2005
Alaska,New York,462,2005
Alaska,North Carolina,579,2005
Alaska,North Dakota,133,2005
Alaska,Ohio,35,2005
Alaska,Oklahoma,327,2005
Alaska,Oregon,1461,2005
Alaska,Pennsylvania,216,2005
Alaska,Rhode Island,0,2005
Alaska,South Carolina,653,2005
Alaska,South Dakota,373,2005
Alaska,Tennessee,167,2005
Alaska,Texas,1835,2005
Alaska,Utah,1241,2005
Alaska,Vermont,0,2005
Alaska,Virginia,618,2005
Alaska,Washington,5711,2005
Alaska,West Virginia,0,2005
Alaska,Wisconsin,765,2005
Alaska,Wyoming,222,2005
Arizona,Alabama,1427,2005
Arizona,Alaska,1836,2005
Arizona,Arkansas,1845,2005
Arizona,California,94296,2005
Arizona,Colorado,11512,2005
Arizona,Connecticut,1809,2005
Arizona,Delaware,240,2005
Arizona,District of Columbia ,1182,2005
Arizona,Florida,7184,2005
Arizona,Georgia,630,2005
Arizona,Hawaii,1216,2005
Arizona,Idaho,2940,2005
Arizona,Illinois,11523,2005
Arizona,Indiana,3724,2005
Arizona,Iowa,1551,2005
Arizona,Kansas,1917,2005
Arizona,Kentucky,949,2005
Arizona,Louisiana,1577,2005
Arizona,Maine,401,2005
Arizona,Maryland,3119,2005
Arizona,Massachusetts,2213,2005
Arizona,Michigan,8529,2005
Arizona,Minnesota,4569,2005
Arizona,Mississippi,1323,2005
Arizona,Missouri,2364,2005
Arizona,Montana,1689,2005
Arizona,Nebraska,2716,2005
Arizona,Nevada,10080,2005
Arizona,New Hampshire,809,2005
Arizona,New Jersey,4790,2005
Arizona,New Mexico,11561,2005
Arizona,New York,6756,2005
Arizona,North Carolina,2935,2005
Arizona,North Dakota,1314,2005
Arizona,Ohio,5640,2005
Arizona,Oklahoma,2264,2005
Arizona,Oregon,5572,2005
Arizona,Pennsylvania,5993,2005
Arizona,Rhode Island,594,2005
Arizona,South Carolina,1474,2005
Arizona,South Dakota,841,2005
Arizona,Tennessee,4889,2005
Arizona,Texas,17452,2005
Arizona,Utah,7086,2005
Arizona,Vermont,315,2005
Arizona,Virginia,4196,2005
Arizona,Washington,10335,2005
Arizona,West Virginia,527,2005
Arizona,Wisconsin,7798,2005
Arizona,Wyoming,1458,2005
Arkansas,Alabama,1894,2005
Arkansas,Alaska,660,2005
Arkansas,Arizona,1266,2005
Arkansas,California,6167,2005
Arkansas,Colorado,1999,2005
Arkansas,Connecticut,66,2005
Arkansas,Delaware,0,2005
Arkansas,District of Columbia ,0,2005
Arkansas,Florida,5223,2005
Arkansas,Georgia,1082,2005
Arkansas,Hawaii,522,2005
Arkansas,Idaho,171,2005
Arkansas,Illinois,3618,2005
Arkansas,Indiana,1417,2005
Arkansas,Iowa,394,2005
Arkansas,Kansas,1269,2005
Arkansas,Kentucky,639,2005
Arkansas,Louisiana,6515,2005
Arkansas,Maine,16,2005
Arkansas,Maryland,43,2005
Arkansas,Massachusetts,1421,2005
Arkansas,Michigan,973,2005
Arkansas,Minnesota,496,2005
Arkansas,Mississippi,4238,2005
Arkansas,Missouri,9701,2005
Arkansas,Montana,73,2005
Arkansas,Nebraska,590,2005
Arkansas,Nevada,431,2005
Arkansas,New Hampshire,0,2005
Arkansas,New Jersey,483,2005
Arkansas,New Mexico,1108,2005
Arkansas,New York,957,2005
Arkansas,North Carolina,838,2005
Arkansas,North Dakota,136,2005
Arkansas,Ohio,794,2005
Arkansas,Oklahoma,8670,2005
Arkansas,Oregon,788,2005
Arkansas,Pennsylvania,695,2005
Arkansas,Rhode Island,0,2005
Arkansas,South Carolina,1770,2005
Arkansas,South Dakota,337,2005
Arkansas,Tennessee,5090,2005
