,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia ,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,Total,Puerto Rico
United States1,"97,219","99,931","183,178","76,963","581,679","166,348","91,600","24,771","57,087","423,995","270,146","60,437","63,788","304,644","135,472","77,470","93,983","98,713","99,711","28,840","183,316","155,524","166,996","119,221","72,430","138,612","31,590","47,755","100,922","46,086","202,319","75,597","401,440","247,090","29,808","201,515","100,561","111,680","247,295","36,119","128,726","29,118","159,497","409,977","91,943","21,773","236,420","191,053","48,627","110,198","28,150","1,903,247","73,846"
Alabama,N/A,"1,026","1,077","1,108","4,918",698,439,0,10,"11,518","17,867",718,222,"3,126","1,303",699,566,"2,498","1,429",52,960,972,"2,801",487,"7,706","1,501",537,173,569,0,743,"1,838","2,735","5,663",148,"3,678",669,228,"1,488",121,"1,795",318,"8,806","4,413","1,881",19,"3,303",589,109,296,282,"14,928",312
Alaska,572,N/A,733,403,"2,874","2,359",22,0,0,781,"1,808",257,555,"2,012",775,31,984,206,167,44,528,95,563,111,140,876,195,0,469,16,233,620,694,"2,744",95,734,318,"1,264","1,074",0,354,54,570,"2,477","1,363",6,727,"2,984",257,216,0,"7,081",184
Arizona,"2,140","4,418",N/A,310,"47,959","8,325","1,029",534,230,"6,828","2,647","2,776","3,563","7,264","3,688","2,680","1,818",885,"1,478",881,"1,812","1,331","8,099","5,618",500,"2,768","2,087","2,749","9,442",462,"3,817","6,526","6,846","2,583",906,"3,692","1,701","9,331","5,726",464,"2,045","1,508","3,292","17,742","9,093",306,"3,771","14,756",188,"5,694","1,838","44,711",376
Arkansas,0,"1,193",661,N/A,"4,925","1,557",870,0,330,"1,751","2,870",118,251,"3,117",999,949,"1,650","1,915","4,467",0,"1,281",0,429,289,"1,422","5,273",41,137,348,361,437,209,"1,034",542,0,"1,836","8,892",786,244,30,339,94,"4,285","12,937",237,0,514,520,150,331,0,"9,377",8
California,"2,958","8,457","36,567","3,687",N/A,"16,151","5,145",300,"3,823","25,950","11,773","13,610","6,192","19,961","8,799","3,563","4,680","3,895","3,764","1,104","9,781","12,947","9,172","7,376","2,450","7,146","3,147","1,262","29,897","1,198","10,498","6,290","30,704","10,858",710,"6,742","3,717","20,128","11,426","1,658","7,283",981,"7,020","32,290","12,631","1,029","12,810","37,246",967,"4,704","1,030","291,448","3,179"
Colorado,"2,926","1,606","8,798","1,235","23,714",N/A,861,551,78,"9,448","6,671","1,363","2,542","7,528","2,197","2,868","6,545","2,287","2,374",881,"2,920","2,194","2,718","3,754","1,168","6,317","2,636","3,457","2,498",536,"1,426","5,968","7,848","4,858",974,"4,566","5,138","2,793","3,773",522,"1,312","1,651","2,295","23,490","6,240",689,"6,980","6,173",246,"2,623","4,307","34,306",686
Connecticut,337,"1,688","1,791",0,"4,206","1,066",N/A,"1,332",367,"5,768","2,303",398,0,"2,040",305,0,210,70,24,366,"1,228","7,645","1,193",775,57,339,60,0,122,"2,547","5,504",197,"23,051","1,806",0,"1,156",65,271,"6,571","3,607","1,609",0,"1,139","1,997",433,621,"2,665",672,183,435,132,"21,292","2,761"
Delaware,0,272,0,0,810,74,602,N/A,292,"1,034",926,0,0,156,0,0,0,180,213,53,"7,932",94,171,204,404,477,0,131,0,0,"4,520",258,"3,527","1,374",0,453,91,0,"10,778",0,532,0,163,240,0,0,776,0,53,0,0,"4,594",0
District of Columbia ,316,579,79,0,"2,427",337,"1,597",336,N/A,"1,307","1,497",339,0,753,215,27,0,46,858,0,"9,237","1,557",622,0,0,278,44,22,0,108,"2,173",411,"4,770","1,253",0,315,155,194,"2,177","1,150",506,203,560,"1,625",126,0,"7,814",159,391,5,3,"11,089",62
Florida,"10,281","10,876","7,553","1,577","26,690","7,608","8,709","1,969","1,762",N/A,"35,386","1,009","1,541","19,973","14,148","4,597","4,171","7,592","6,856","2,995","12,022","19,621","19,860","5,576","6,919","10,754",576,"2,228","3,508","4,987","30,914","2,164","55,419","29,097",50,"22,597","4,386","1,816","28,771","3,201","11,074",533,"13,232","24,226","2,129","1,434","18,132","6,975","4,250","7,321",341,"174,173","21,245"
Georgia,"18,739","3,143","3,464","1,685","13,792","5,704","4,838",124,"1,064","38,798",N/A,"2,028",466,"8,958","4,057","2,851","1,885","4,532","6,493",530,"5,607","2,413","8,336","1,074","5,746","1,944",170,525,879,293,"4,664",913,"16,217","19,781",0,"9,980","3,148",666,"6,298",828,"14,861",67,"18,867","14,949","1,568",200,"9,464","2,090",645,"3,066",562,"55,537","3,763"
Hawaii,593,"1,615","1,153",24,"12,901","2,950",530,67,233,"2,613","1,867",N/A,"1,014","1,318",296,473,100,264,"1,209","1,030",974,118,447,911,101,"1,032",0,27,"1,439",98,52,296,"2,987","2,004",0,647,742,889,484,84,"1,111",270,385,"7,385",521,0,"1,373","3,225",0,231,0,"15,685",327
Idaho,72,"2,887","2,915",701,"9,232","1,177",66,0,82,566,403,818,N/A,897,6,85,133,0,122,12,144,59,378,694,416,372,"2,719",384,"2,563",0,0,860,268,0,377,334,72,"5,645",416,0,323,"3,043",625,"1,937","6,771",0,"1,117","10,059",0,334,"1,508","8,351",0
Illinois,"2,044","2,624","5,598","1,586","18,305","2,992","1,824",0,"1,035","14,375","6,178","1,418",416,N/A,"15,836","7,859","1,950","4,175","1,822",327,"2,832","2,865","15,022","5,643","1,131","12,589",67,"1,560","2,357",325,"3,533","2,335","8,508","5,744",214,"8,183","1,409","2,133","6,935",663,"2,006",274,"6,023","11,775","1,349","1,032","5,314","4,300","1,074","15,844",202,"68,965","1,005"
Indiana,"1,235",649,"3,093",375,"7,959","3,029",488,170,"1,316","8,282","4,453",468,208,"30,618",N/A,"2,176","1,264","8,870",726,203,617,532,"9,807","1,955",778,"2,274",206,241,"1,374",240,549,15,"2,153","2,931",0,"9,035",984,"1,862","1,922",58,"1,260",189,"2,626","7,136","1,390",261,"2,520","2,348",160,"2,490",13,"23,763",145
Iowa,180,"1,539",968,684,"6,346","1,633",124,0,0,"3,834",362,76,273,"9,428","2,574",N/A,"3,153",559,203,19,558,322,667,"8,281",133,"3,625",0,"6,466",532,0,323,360,340,"1,125","1,527",897,956,746,"1,073",20,432,"2,151",789,"3,420","1,212",367,487,"1,097",147,"5,219",423,"12,526",0
Kansas,"1,074",958,"1,582","2,632","5,225","4,590",233,0,0,"3,251","4,435",669,283,698,853,"1,190",N/A,"1,210",644,140,"1,258",91,445,"2,294",94,"25,100",333,"3,111",628,222,663,407,800,"1,533",103,"1,537","4,904",549,570,0,"1,183",386,970,"9,309",376,68,729,"1,185",330,709,181,"15,200",401
Kentucky,"1,418","1,388","1,057",340,"2,932",808,291,54,203,"7,382","5,679",995,564,"6,306","10,989","1,175",919,N/A,827,373,"1,890",419,"4,020","1,072","1,711","1,921",0,670,86,222,140,868,"2,681","2,337",0,"15,754",597,119,"1,312",68,685,0,"8,355","5,983",629,254,"3,330","1,144","1,772","1,237",231,"17,963",887
Louisiana,"2,683","1,369",231,"1,516","4,710","2,372",113,453,393,"5,877","4,325",646,0,"3,163",329,"1,174",457,617,N/A,38,817,559,"1,418","1,050","8,326","1,560",339,364,741,0,255,276,"1,762","2,075",373,"1,365","2,456","2,802",698,114,"1,287",145,"3,566","21,747","1,261",0,"2,662","2,162",726,517,0,"16,210",785
Maine,13,912,510,0,"2,773",418,"2,561",0,0,"2,740",698,166,149,328,12,0,922,497,189,N/A,563,"5,156",79,185,0,185,295,242,113,"4,489",677,0,"1,577",954,0,"1,247",94,128,"3,165",589,578,0,158,694,63,"1,358",548,513,155,17,70,"4,377",120
Maryland,"1,918","1,589","1,515",203,"8,255","2,081","1,118","3,445","20,845","7,820","6,161",813,175,"2,721","1,688",590,"1,378",898,653,479,N/A,"2,388",935,953,810,762,0,111,280,108,"8,317",309,"13,454","8,287",0,"2,596",495,589,"12,752",210,"1,737",359,"1,215","5,385","1,836",416,"24,308","2,223","4,653","1,379",313,"45,537","1,057"
Massachusetts,409,"1,634","2,507",287,"11,587","2,176","10,718",44,845,"10,470","3,316",548,335,"2,747",293,433,373,"1,299",310,"4,929","4,761",N/A,"1,311",739,475,498,0,16,601,"12,184","5,991",459,"16,555","4,112",69,"2,863",171,712,"4,759","7,964",712,35,800,"2,884",402,"2,881","5,964",940,222,718,92,"59,644","2,005"
Michigan,"2,517","4,783","3,372","2,628","10,087","2,508","1,202",75,769,"13,416","7,187",401,339,"13,669","12,309","1,314","1,410","1,985",795,109,"1,727","2,349",N/A,"1,860",396,"1,578",171,726,"1,591",339,"1,608","1,549","4,727","3,157","1,085","9,599",578,326,"4,154",574,"3,231",314,"4,529","7,139",708,268,"2,106","1,057",319,"5,297",154,"49,014",891
Minnesota,493,"1,564","3,389",952,"5,557","2,467",425,203,187,"2,734","2,958",787,387,"7,601",796,"8,059",861,166,392,109,993,707,"1,678",N/A,191,"1,355",693,"1,092","1,141",0,951,811,"2,979","1,711","10,312","2,164",642,"1,687","1,148",156,786,"2,757",631,"6,343","1,166",198,"1,512","2,476",596,"17,649",213,"27,205",922
Mississippi,"7,077",401,"1,129","1,700","3,074",448,190,156,0,"2,551","3,732",178,469,"3,739",604,51,218,520,"8,391",134,348,308,"2,083",217,N/A,839,105,304,429,40,139,285,302,"1,008",0,"1,466","1,182",178,922,32,"1,841",60,"11,928","8,157",28,0,"1,116",98,126,285,0,"6,817",79
Missouri,"1,004",438,"3,763","8,024","6,832","4,218",723,0,833,"5,924","3,322",638,768,"24,343","3,641","4,160","22,434","3,126","2,047",517,"2,321","1,364","1,967","2,504",759,N/A,764,"3,529","1,377",300,"1,572","1,726","2,968","5,303",288,"2,777","7,092",970,"3,297",288,"1,759",742,"2,465","9,905",217,0,"1,326","2,443",756,"2,343",59,"18,771",262
Montana,21,"2,017",914,71,"4,228","2,054",0,0,12,321,327,87,"2,804",890,121,0,305,181,477,20,154,188,397,931,25,345,N/A,212,771,386,131,564,421,"1,217","2,494",331,486,"2,795",789,0,147,370,31,"2,082","1,797",318,501,"5,390",50,875,987,"5,297",0
Nebraska,294,440,"1,585",348,"4,136","4,670",164,13,49,"1,223",985,356,288,"1,381",151,"7,552","2,677",557,277,0,589,269,915,772,71,"2,070",482,N/A,448,67,211,461,372,357,378,454,"1,089",152,175,0,405,"2,839",59,"3,003","1,083",0,605,498,36,352,496,"8,551",418
Nevada,491,"1,466","3,921","1,636","47,897","2,484",763,77,86,"5,800",570,"5,416","5,194","3,322",667,439,282,"1,547",0,136,"1,599","1,012","1,085",406,336,696,"1,098","1,112",N/A,360,502,"2,340","3,343",761,236,"1,722",446,"1,776","1,833",0,"1,095",710,976,"5,212","6,727",0,"1,881","4,469",66,"1,703",887,"16,572",740
New Hampshire,123,598,360,"1,084","1,642",346,"1,718",0,91,"1,396",513,23,0,753,320,44,637,109,882,"3,078","1,355","17,285",212,36,0,8,285,74,148,N/A,803,27,"1,877",666,0,413,51,245,489,"1,468",140,0,321,902,27,"2,417",501,513,550,337,0,"6,328",209
New Jersey,853,990,979,139,"6,640","1,338","2,042","2,265",923,"12,460","2,989",105,0,"1,639",751,71,227,618,589,469,"3,249","3,858","2,363",697,108,"1,068",81,328,951,848,N/A,103,"48,078","3,102",0,"1,114",134,861,"19,547",356,968,22,"1,187","4,302",370,871,"4,877",801,461,115,0,"57,965","4,072"
New Mexico,63,420,"5,551",104,"5,697","4,478",395,238,71,"1,953","1,238",497,68,985,325,104,878,402,201,52,638,913,517,332,184,"1,399",49,256,"1,144",78,513,N/A,323,"1,030",11,561,848,"1,155",491,0,989,737,622,"13,726","2,818",0,"1,701","1,073",198,509,273,"13,404",0
New York,"1,648","6,790","3,642",699,"23,533","4,058","14,393","1,167","3,066","31,672","9,165","1,034",194,"8,723","1,371",831,"2,093",820,"1,576","1,477","6,310","14,626","3,030","1,209",702,"2,058",0,280,"1,692","2,212","29,210","1,723",N/A,"10,866",119,"8,574","1,379","2,020","24,243","2,810","5,743",443,"1,458","13,125",822,"2,412","11,810","2,792",725,"1,412",309,"146,945","4,536"
North Carolina,"3,268","4,199","4,437","1,350","14,315","4,554","3,918","1,111","2,032","24,551","20,440","1,016",750,"6,500","1,888","1,380","1,237","3,911","1,474",615,"13,538","6,177","6,438","1,969","1,661","1,207",750,648,"2,165","1,923","7,690","1,143","22,751",N/A,0,"8,939","1,743","1,442","13,268",560,"22,996",0,"7,249","9,617","1,084",863,"30,058","1,929","3,684","1,449",35,"51,451","1,526"
North Dakota,0,159,"1,312",0,"2,051","1,463",75,0,116,"1,109",305,0,218,270,769,255,0,22,86,0,147,50,513,"15,790",309,492,"1,563",289,297,49,124,81,141,45,N/A,316,204,"1,058",0,0,48,"2,940",128,"2,989",487,117,558,642,0,464,857,"3,275",0
Ohio,"1,318",663,"2,793",738,"9,126","3,654","1,365",19,295,"16,042","4,389",23,"1,359","8,352","14,000","1,163","1,247","13,311","2,020",122,"3,155","3,147","16,503","1,334","1,354","1,370",465,383,"1,030",745,"3,181","1,208","8,011","11,127",34,N/A,"1,459",925,"11,772","1,021","1,730",0,"5,100","5,773","1,794",393,"5,206","3,099","9,890","2,390",151,"46,663","3,130"
Oklahoma,"1,024","1,550","3,203","8,702","7,959","4,354",402,56,60,"2,998","2,855",649,679,"1,659","2,016",386,"6,628","1,566","2,348",187,930,147,"1,376",870,"1,950","4,330",287,"1,232","1,153",298,102,"1,408","1,655","4,120",166,625,N/A,716,"1,572",387,"1,219",367,"1,385","27,391",568,0,"2,369","1,076",589,"1,125",561,"15,528",509
Oregon,704,"3,439","7,611",608,"31,380","6,024",251,321,388,"4,099",605,"2,404","7,191","1,577",845,872,798,663,690,47,412,"1,577","1,283","2,457",926,558,"2,889","1,011","2,513",0,823,"2,203","2,951",779,"1,154",482,"1,323",N/A,"1,456",121,666,49,741,"8,185","3,518",115,"3,264","29,782",0,"1,064","1,022","18,090",94
