,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia ,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,Total,Puerto Rico
Pennsylvania,720,667,"2,189","1,971","7,269","2,039","5,411","6,338","1,601","14,195","7,412",487,331,"3,865","1,157",682,713,"1,402","1,226",951,"17,561","7,336","3,179",902,329,"2,151",201,302,595,906,"36,413",383,"33,475","7,480",464,"11,615","2,085","1,503",N/A,697,"3,853",188,"3,335","9,631",972,621,"9,392","2,460","3,524","1,586",515,"60,898","8,640"
Rhode Island,279,102,22,0,"2,272",0,"2,746",337,0,"1,731",93,141,44,323,22,0,0,0,792,418,"1,395","9,091",613,377,387,23,0,491,0,"1,037","1,696",0,"3,856",740,0,217,0,6,"2,178",N/A,486,0,6,569,0,857,603,106,52,0,0,"7,656",345
South Carolina,"1,715","1,128","2,054","1,970","9,781","2,570","3,174",313,417,"15,347","15,856",68,855,"2,421","2,828",295,979,"1,384","1,852","1,094","3,540","2,657","2,988","1,989","1,274","1,795",0,397,742,"1,283","6,386",345,"8,362","23,792",46,"9,940","1,693",584,"8,892","1,480",N/A,242,"2,952","5,834",164,184,"7,352","2,371","1,347","1,229",86,"17,187",844
South Dakota,84,141,"1,691",0,"1,336","1,690",0,0,26,464,191,87,25,349,286,"3,426",489,0,156,0,153,83,213,"5,375",0,82,344,"2,971",578,22,26,65,159,460,"2,916",90,248,362,326,0,107,N/A,767,"1,390",80,84,298,881,42,498,981,"2,289",0
Tennessee,"8,500","2,079","3,787","4,753","7,988","1,570",233,108,924,"18,886","18,553",720,"2,616","9,006","3,300","1,762","1,726","9,676","6,748",247,"1,836","1,556","5,950","1,669","11,146","3,539",40,99,966,475,"1,352",60,"2,937","9,730",58,"5,035","1,286",818,"3,508",155,"5,568",284,N/A,"12,023",506,37,"6,612","2,328",835,"2,809",126,"24,228",405
Texas,"8,404","7,252","19,224","16,844","66,318","18,979","2,129",679,"1,435","32,619","19,988","5,694","1,811","28,900","10,255","4,033","9,225","5,496","29,042","1,053","10,564","5,391","9,969","6,721","7,023","13,310",649,"3,947","9,526","1,449","8,689","22,695","19,935","14,589","1,062","11,290","29,169","4,362","10,205","1,254","7,217","1,290","14,363",N/A,"5,684",0,"14,313","11,124","1,578","6,646","4,640","185,368","3,656"
Utah,574,"1,341","5,259","1,149","15,794","7,051",379,231,0,"3,142","2,626",666,"7,484","1,183",468,231,626,142,569,227,792,"1,386","1,656",587,510,"1,825","1,080",786,"7,708",0,434,"1,470","2,676",779,217,"1,770","1,407","2,757",885,795,971,96,"1,263","5,635",N/A,329,"2,279","4,316",0,618,"3,700","18,191",424
Vermont,27,0,138,11,896,751,"1,527",48,169,644,132,101,97,388,97,228,0,185,35,697,311,"4,121",92,9,53,176,345,200,152,"3,584",558,110,"3,019",553,0,455,0,268,818,190,14,0,114,509,436,N/A,416,386,0,52,68,"2,390",0
Virginia,"4,894","2,226","3,518",790,"16,513","4,048","4,448","1,216","9,389","23,161","12,566","3,842",327,"6,518","3,025",989,"2,719","3,273","1,318",890,"29,736","5,225","3,243","1,337","1,233","2,811",404,819,637,449,"9,152",676,"14,647","22,524","1,651","5,821","1,534",455,"13,613","1,711","9,525",88,"5,372","12,790","2,195",349,N/A,"5,051","6,047","1,524",59,"60,331","1,792"
Washington,686,"3,422","10,591","2,088","37,150","5,420",814,0,621,"7,437","6,831","4,546","9,196","6,827","1,521","1,451","1,285","2,152",343,716,"3,312","2,192","2,437","3,477",539,"3,420","3,134","1,353","3,772",297,"2,121","1,420","3,728","4,541",551,"2,774","2,372","27,560","2,266",652,"1,947","1,483","2,054","13,742","5,536",167,"3,592",N/A,89,"4,190",400,"52,267",16
West Virginia,196,707,62,67,"1,568",92,391,421,561,"3,018","1,320",0,178,535,335,0,0,"1,977",0,0,"8,320",62,978,232,0,153,64,176,10,328,"1,527",271,"1,197","2,230",0,"9,284",111,103,"5,216",0,"1,425",0,"1,235","1,199",177,27,"6,045",49,N/A,110,0,"2,958",257
Wisconsin,294,516,"3,749",150,"5,149","1,528",129,0,58,"4,423",932,723,131,"25,364","1,515","4,172",537,"1,027",142,921,609,654,"5,920","15,722",477,"1,089",583,345,898,215,976,692,"1,056","2,250",881,"3,331",668,730,"1,384",61,524,264,"3,223","3,799",73,110,804,"1,616",389,N/A,43,"18,918",678
Wyoming,40,11,"1,081",34,"2,951","3,387",15,0,0,286,441,515,"1,236",450,727,100,594,0,415,98,0,415,905,399,0,"1,274","1,612",517,42,0,0,199,"1,564",512,139,149,172,"2,215",436,0,302,572,262,964,"1,395",95,15,867,0,181,N/A,"1,933",93
Puerto Rico,293,0,92,0,713,0,"1,202",77,0,"6,238",16,24,0,117,45,0,670,0,162,0,142,"1,663",87,43,160,0,0,234,0,0,"1,970",0,"2,898",690,0,314,346,0,"3,335",0,84,0,67,"1,193",0,0,964,0,0,813,0,"4,447",N/A2
Footnotes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
