target,source,flow,year
Arkansas,West Virginia,0,2010
Arkansas,Wisconsin,821,2010
Arkansas,Wyoming,443,2010
California,Alabama,3364,2010
California,Alaska,9579,2010
California,Arizona,33854,2010
California,Arkansas,4172,2010
California,Colorado,15662,2010
California,Connecticut,4631,2010
California,Delaware,643,2010
California,District of Columbia ,3683,2010
California,Florida,20362,2010
California,Georgia,8820,2010
California,Hawaii,9528,2010
California,Idaho,5719,2010
California,Illinois,16482,2010
California,Indiana,6550,2010
California,Iowa,3163,2010
California,Kansas,3857,2010
California,Kentucky,3394,2010
California,Louisiana,2989,2010
California,Maine,1796,2010
California,Maryland,10626,2010
California,Massachusetts,11969,2010
California,Michigan,10435,2010
California,Minnesota,5095,2010
California,Mississippi,2757,2010
California,Missouri,6921,2010
California,Montana,3009,2010
California,Nebraska,3062,2010
California,Nevada,27724,2010
California,New Hampshire,1614,2010
California,New Jersey,10108,2010
California,New Mexico,4632,2010
California,New York,20981,2010
California,North Carolina,9593,2010
California,North Dakota,392,2010
California,Ohio,8170,2010
California,Oklahoma,5708,2010
California,Oregon,20913,2010
California,Pennsylvania,9948,2010
California,Rhode Island,526,2010
California,South Carolina,5016,2010
California,South Dakota,1604,2010
California,Tennessee,4349,2010
California,Texas,36582,2010
California,Utah,10653,2010
California,Vermont,525,2010
California,Virginia,14232,2010
California,Washington,30544,2010
California,West Virginia,1446,2010
California,Wisconsin,6031,2010
California,Wyoming,1336,2010
Colorado,Alabama,954,2010
Colorado,Alaska,2225,2010
Colorado,Arizona,12287,2010
Colorado,Arkansas,1034,2010
Colorado,California,26089,2010
Colorado,Connecticut,459,2010
Colorado,Delaware,486,2010
Colorado,District of Columbia ,479,2010
Colorado,Florida,8849,2010
Colorado,Georgia,6445,2010
Colorado,Hawaii,2355,2010
Colorado,Idaho,839,2010
Colorado,Illinois,6950,2010
Colorado,Indiana,3296,2010
Colorado,Iowa,2140,2010
Colorado,Kansas,4308,2010
Colorado,Kentucky,1961,2010
Colorado,Louisiana,968,2010
Colorado,Maine,532,2010
Colorado,Maryland,1532,2010
Colorado,Massachusetts,2242,2010
Colorado,Michigan,4587,2010
