,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia ,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,Total,Puerto Rico
United States,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Alabama,N/A,608 ,574 ,"3,168 ","3,025 ","1,922 ",321 ,563 ,191 ,"15,641 ","17,776 ",753 ,162 ,"3,410 ","1,705 ",375 ,397 ,"1,712 ","4,887 ",24 ,"1,653 ",361 ,"2,878 ",58 ,"10,093 ","1,768 ",0 ,409 ,709 ,461 ,951 ,540 ,"3,222 ","1,512 ",80 ,"2,099 ","2,347 ",81 ,753 ,0 ,"2,426 ",0 ,"9,037 ","7,532 ",200 ,163 ,"2,572 ","1,324 ",432 ,303 ,436 ,N/A,161 
Alaska,152 ,N/A,883 ,54 ,"3,898 ","1,791 ",0 ,0 ,0 ,940 ,816 ,284 ,735 ,578 ,235 ,96 ,700 ,119 ,62 ,37 ,203 ,148 ,486 ,637 ,"1,517 ",243 ,121 ,148 ,485 ,444 ,109 ,395 ,462 ,579 ,133 ,35 ,327 ,"1,461 ",216 ,0 ,653 ,373 ,167 ,"1,835 ","1,241 ",0 ,618 ,"5,711 ",0 ,765 ,222 ,N/A,261 
Arizona,"1,427 ","1,836 ",N/A,"1,845 ","94,296 ","11,512 ","1,809 ",240 ,"1,182 ","7,184 ",630 ,"1,216 ","2,940 ","11,523 ","3,724 ","1,551 ","1,917 ",949 ,"1,577 ",401 ,"3,119 ","2,213 ","8,529 ","4,569 ","1,323 ","2,364 ","1,689 ","2,716 ","10,080 ",809 ,"4,790 ","11,561 ","6,756 ","2,935 ","1,314 ","5,640 ","2,264 ","5,572 ","5,993 ",594 ,"1,474 ",841 ,"4,889 ","17,452 ","7,086 ",315 ,"4,196 ","10,335 ",527 ,"7,798 ","1,458 ",N/A,0 
Arkansas,"1,894 ",660 ,"1,266 ",N/A,"6,167 ","1,999 ",66 ,0 ,0 ,"5,223 ","1,082 ",522 ,171 ,"3,618 ","1,417 ",394 ,"1,269 ",639 ,"6,515 ",16 ,43 ,"1,421 ",973 ,496 ,"4,238 ","9,701 ",73 ,590 ,431 ,0 ,483 ,"1,108 ",957 ,838 ,136 ,794 ,"8,670 ",788 ,695 ,0 ,"1,770 ",337 ,"5,090 ","19,937 ",293 ,0 ,"1,355 ","1,062 ",59 ,"1,542 ",41 ,N/A,33 
California,"4,375 ","5,274 ","28,156 ","2,481 ",N/A,"14,321 ","7,248 ",807 ,"3,472 ","25,252 ","9,788 ","10,706 ","5,123 ","15,848 ","5,611 ","4,766 ","4,922 ","2,829 ","7,383 ","1,056 ","6,634 ","11,032 ","10,073 ","6,502 ","2,660 ","8,504 ","2,605 ","3,463 ","28,299 ","1,109 ","11,816 ","6,141 ","26,079 ","16,462 ","1,449 ","7,969 ","3,153 ","17,194 ","9,637 ","1,714 ","2,311 ","1,378 ","3,790 ","36,030 ","11,421 ",656 ,"15,780 ","29,727 ",329 ,"3,958 ","1,425 ",N/A,494 
Colorado,"1,495 ","2,392 ","7,018 ","1,218 ","25,350 ",N/A,565 ,123 ,555 ,"8,463 ","3,072 ",494 ,"1,383 ","3,889 ","2,503 ","1,610 ","4,531 ","1,451 ","1,681 ",655 ,"1,969 ","2,089 ","1,163 ","3,183 ","1,304 ","3,409 ","2,695 ","5,204 ","3,731 ","1,508 ",757 ,"6,547 ","6,458 ","4,607 ","1,074 ","2,870 ","2,481 ","2,478 ","4,581 ",368 ,"1,023 ","1,978 ","2,384 ","14,916 ","5,138 ",127 ,"3,260 ","3,650 ",539 ,"3,498 ","5,690 ",N/A,58 
Connecticut,520 ,310 ,49 ,0 ,"3,979 ",887 ,N/A,186 ,"1,502 ","5,265 ",752 ,363 ,0 ,"1,841 ",395 ,75 ,655 ,326 ,94 ,541 ,"2,233 ","7,492 ","1,332 ",52 ,55 ,341 ,143 ,109 ,387 ,"1,654 ","3,485 ",0 ,"26,319 ","1,735 ",0 ,"1,463 ",0 ,200 ,"3,278 ","3,646 ",477 ,0 ,366 ,"1,612 ",42 ,"2,016 ","1,656 ",634 ,140 ,50 ,0 ,N/A,791 
Delaware,546 ,337 ,216 ,344 ,933 ,211 ,13 ,N/A,0 ,"1,984 ",600 ,0 ,222 ,688 ,21 ,0 ,82 ,157 ,23 ,0 ,"7,714 ",320 ,622 ,89 ,0 ,105 ,0 ,44 ,0 ,0 ,"2,723 ",0 ,"4,544 ",380 ,0 ,450 ,163 ,198 ,"8,637 ",487 ,0 ,0 ,513 ,184 ,140 ,0 ,"1,056 ",0 ,254 ,0 ,0 ,N/A,527 
District of Columbia ,0 ,0 ,490 ,0 ,"2,348 ",269 ,261 ,357 ,N/A,"1,103 ",319 ,56 ,0 ,"1,519 ",192 ,0 ,0 ,32 ,271 ,174 ,"10,087 ","2,579 ",122 ,363 ,0 ,68 ,0 ,186 ,0 ,66 ,954 ,212 ,"2,801 ","2,156 ",0 ,216 ,127 ,176 ,898 ,55 ,397 ,0 ,367 ,730 ,796 ,27 ,"5,654 ",443 ,389 ,49 ,0 ,N/A,179 
