,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia ,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,Total,Puerto Rico
Illinois,"2,554 ",938 ,"5,847 ","4,378 ","14,173 ","4,045 ","1,298 ",383 ,"1,379 ","14,542 ","9,116 ","1,103 ",394 ,N/A,"19,022 ","9,777 ","2,169 ","3,715 ","2,293 ",212 ,"2,098 ","3,112 ","13,655 ","5,123 ","2,391 ","15,832 ",349 ,"1,208 ","2,271 ","1,079 ","3,104 ",765 ,"9,481 ","6,005 ",450 ,"6,161 ","2,272 ",692 ,"6,578 ","1,390 ","1,055 ","1,106 ","5,814 ","11,382 ","1,037 ",62 ,"6,134 ","3,362 ",496 ,"20,647 ",65 ,N/A,957 
Indiana,"1,317 ",148 ,"3,301 ",567 ,"7,380 ","2,372 ",578 ,406 ,449 ,"9,632 ","1,371 ",461 ,174 ,"33,792 ",N/A,"1,275 ","1,459 ","12,866 ",791 ,379 ,"1,920 ",251 ,"9,897 ","1,675 ",943 ,"3,500 ",199 ,734 ,898 ,78 ,"1,558 ",954 ,"3,507 ","2,632 ",97 ,"13,253 ",415 ,673 ,"3,470 ",502 ,"1,344 ",96 ,"4,739 ","5,636 ",519 ,0 ,"3,720 ","2,075 ",726 ,"4,356 ",818 ,N/A,572 
Iowa,511 ,507 ,"2,699 ",707 ,"4,489 ","1,737 ",0 ,132 ,303 ,"2,495 ","1,916 ",569 ,118 ,"14,042 ","2,820 ",N/A,"2,021 ",733 ,378 ,0 ,932 ,538 ,"2,226 ","6,440 ",965 ,"4,989 ",344 ,"7,420 ","1,080 ",81 ,0 ,336 ,822 ,"1,030 ",536 ,"1,460 ",637 ,"1,001 ",944 ,0 ,118 ,"1,987 ",585 ,"3,744 ",8 ,136 ,751 ,966 ,528 ,"5,704 ",191 ,N/A,0 
Kansas,971 ,418 ,"1,914 ","2,595 ","5,735 ","3,885 ",97 ,0 ,87 ,"2,609 ","1,029 ",193 ,81 ,"3,103 ",796 ,"3,171 ",N/A,"2,276 ",555 ,0 ,554 ,781 ,612 ,823 ,259 ,"19,059 ",153 ,"4,137 ","1,644 ",0 ,36 ,"1,257 ",704 ,925 ,186 ,"1,286 ","7,241 ",426 ,550 ,98 ,487 ,364 ,"1,831 ","8,075 ",526 ,113 ,"1,889 ","1,454 ",118 ,399 ,888 ,N/A,168 
Kentucky,"1,471 ",472 ,"1,047 ",970 ,"5,596 ","1,387 ","1,758 ",369 ,315 ,"10,288 ","5,627 ","2,083 ",141 ,"4,093 ","14,775 ",776 ,663 ,N/A,699 ,267 ,992 ,441 ,"4,803 ",728 ,873 ,"3,279 ",0 ,794 ,975 ,211 ,820 ,"1,070 ","2,236 ","3,986 ",238 ,"18,080 ","2,343 ",373 ,"1,310 ",0 ,"1,659 ",0 ,"10,935 ","6,418 ",76 ,415 ,"2,162 ",197 ,"2,618 ","2,634 ",0 ,N/A,136 
Louisiana,"4,810 ",282 ,529 ,"4,693 ","8,747 ","1,631 ",205 ,117 ,130 ,"7,848 ","8,264 ",408 ,206 ,"2,630 ","1,582 ",122 ,"1,483 ","1,355 ",N/A,106 ,"1,224 ","1,394 ","1,297 ",973 ,"11,981 ","1,886 ",284 ,309 ,"1,125 ",0 ,384 ,40 ,"1,378 ","1,376 ",219 ,"1,521 ","1,655 ",882 ,"1,416 ",0 ,"1,524 ",390 ,"3,347 ","40,743 ",597 ,0 ,"3,641 ","1,465 ",165 ,"1,320 ",0 ,N/A,137 
Maine,228 ,757 ,858 ,0 ,"3,162 ",718 ,"1,118 ",122 ,35 ,"1,833 ",790 ,319 ,166 ,381 ,689 ,0 ,38 ,0 ,373 ,N/A,276 ,"5,081 ",339 ,266 ,0 ,54 ,302 ,426 ,299 ,"4,547 ",901 ,62 ,"1,913 ",724 ,0 ,771 ,0 ,70 ,348 ,924 ,496 ,0 ,59 ,359 ,246 ,623 ,"1,863 ",852 ,432 ,577 ,0 ,N/A,0 
Maryland,"1,744 ",149 ,"2,225 ",80 ,"6,349 ","1,352 ",846 ,"6,530 ","21,319 ","11,077 ","4,737 ","1,558 ",86 ,"3,216 ","1,417 ",319 ,330 ,"1,195 ","1,163 ",706 ,N/A,"3,795 ","2,250 ","1,169 ",992 ,"1,668 ",49 ,322 ,368 ,216 ,"5,660 ",178 ,"7,642 ","6,360 ",201 ,"3,104 ",702 ,461 ,"14,666 ",309 ,"1,569 ",115 ,"1,280 ","5,508 ","1,126 ",177 ,"19,075 ","1,721 ","3,119 ",358 ,139 ,N/A,"1,177 "
Massachusetts,268 ,"1,523 ","1,527 ",267 ,"9,526 ","2,044 ","10,978 ",269 ,972 ,"11,006 ","2,198 ","1,820 ",0 ,"2,523 ","1,317 ",424 ,323 ,264 ,370 ,"4,322 ","4,508 ",N/A,"1,044 ",722 ,897 ,780 ,0 ,117 ,426 ,"11,008 ","7,093 ",512 ,"19,851 ","2,145 ",0 ,"2,619 ",0 ,284 ,"7,043 ","9,221 ",709 ,505 ,403 ,"3,497 ",697 ,"2,126 ","2,733 ","1,877 ",431 ,595 ,0 ,N/A,"4,809 "
Michigan,"2,751 ","2,223 ","3,351 ","1,077 ","8,272 ","3,455 ","2,647 ",160 ,38 ,"12,374 ","5,897 ",392 ,113 ,"10,230 ","7,387 ",849 ,"1,042 ","1,551 ","1,543 ",0 ,"2,137 ","2,240 ",N/A,"3,244 ",585 ,"2,880 ",183 ,549 ,902 ,550 ,"1,969 ","1,053 ","4,910 ","2,608 ",745 ,"14,601 ",831 ,305 ,"2,493 ",323 ,891 ,222 ,"3,463 ","5,100 ",764 ,499 ,"4,266 ","2,214 ",959 ,"3,900 ",605 ,N/A,136 
Minnesota,477 ,965 ,"2,915 ","1,374 ","5,824 ","3,960 ",238 ,38 ,102 ,"5,349 ","3,716 ",80 ,275 ,"7,248 ","1,880 ","4,987 ",961 ,"3,363 ",127 ,203 ,885 ,"1,377 ","3,186 ",N/A,"2,020 ","3,014 ","1,209 ","1,774 ",352 ,0 ,537 ,169 ,"1,908 ",807 ,"6,433 ","1,189 ",852 ,"1,257 ","1,451 ",127 ,445 ,"3,170 ",959 ,"4,817 ",573 ,168 ,995 ,"1,487 ",84 ,"17,260 ",534 ,N/A,373 
Mississippi,"10,295 ",0 ,"1,093 ","2,954 ","2,659 ","1,279 ",232 ,0 ,"1,008 ","5,253 ","4,005 ",120 ,160 ,"2,925 ","1,567 ",50 ,864 ,832 ,"7,752 ",113 ,914 ,380 ,"2,606 ","1,355 ",N/A,"1,773 ",0 ,0 ,699 ,161 ,223 ,303 ,"1,855 ","2,531 ",0 ,713 ,327 ,483 ,543 ,0 ,"1,401 ",96 ,"12,882 ","7,483 ",0 ,55 ,864 ,199 ,441 ,324 ,70 ,N/A,106 
Missouri,"1,790 ",941 ,"3,627 ","8,252 ","14,205 ","4,320 ","1,178 ",62 ,636 ,"8,135 ","3,421 ",617 ,193 ,"21,200 ","2,537 ","5,555 ","21,441 ",455 ,"1,695 ",416 ,991 ,576 ,"2,957 ","2,735 ","2,038 ",N/A,228 ,"3,027 ","1,148 ",0 ,"1,679 ","1,574 ","4,282 ","2,351 ",326 ,"3,606 ","5,431 ",583 ,"2,348 ",307 ,"1,338 ",390 ,"4,372 ","11,669 ","1,468 ",214 ,"4,748 ","2,743 ",407 ,"1,147 ",593 ,N/A,68 
Montana,266 ,"1,624 ",806 ,387 ,"5,484 ","1,916 ",127 ,0 ,19 ,211 ,818 ,110 ,"2,320 ",354 ,319 ,210 ,196 ,497 ,301 ,0 ,207 ,9 ,388 ,779 ,191 ,864 ,N/A,187 ,"1,038 ",137 ,579 ,249 ,618 ,273 ,"1,904 ",456 ,334 ,"1,249 ",396 ,130 ,74 ,300 ,834 ,"1,409 ",914 ,0 ,0 ,"3,543 ",0 ,412 ,"2,418 ",N/A,0 
Nebraska,313 ,191 ,"3,045 ",681 ,"4,105 ","3,277 ",387 ,0 ,0 ,971 ,403 ,579 ,653 ,716 ,884 ,"7,666 ","4,416 ",39 ,450 ,0 ,372 ,75 ,934 ,"1,647 ",648 ,"3,315 ",486 ,N/A,880 ,140 ,0 ,230 ,662 ,343 ,109 ,924 ,"1,735 ",637 ,131 ,337 ,127 ,"2,487 ",422 ,"2,391 ",275 ,52 ,217 ,"1,010 ",59 ,"1,250 ","1,196 ",N/A,101 
Nevada,"1,234 ",480 ,"6,981 ",418 ,"53,489 ","3,871 ",378 ,282 ,132 ,"3,356 ","1,114 ","1,584 ","1,920 ","4,268 ",629 ,"1,880 ",290 ,388 ,233 ,312 ,"1,333 ",691 ,"6,035 ","1,099 ",818 ,"1,369 ",392 ,595 ,N/A,326 ,"1,028 ","2,338 ","4,136 ",653 ,247 ,"2,050 ",865 ,"3,119 ","1,561 ",155 ,251 ,107 ,344 ,"6,609 ","2,881 ",0 ,735 ,"4,275 ",0 ,873 ,462 ,N/A,263 
New Hampshire,203 ,0 ,451 ,229 ,"1,500 ",243 ,"3,754 ",64 ,296 ,"2,817 ","1,001 ",295 ,20 ,"1,556 ",0 ,286 ,83 ,96 ,0 ,"4,786 ",279 ,"17,754 ",576 ,0 ,30 ,274 ,19 ,0 ,505 ,N/A,903 ,0 ,"1,882 ",308 ,0 ,994 ,0 ,249 ,"1,194 ",747 ,316 ,21 ,167 ,825 ,301 ,"3,772 ","1,527 ",560 ,0 ,295 ,0 ,N/A,43 
New Jersey,824 ,175 ,426 ,215 ,"5,407 ",917 ,"2,973 ","1,494 ",101 ,"12,129 ","2,647 ",233 ,47 ,"1,630 ","1,396 ",53 ,669 ,604 ,628 ,606 ,"4,879 ","4,948 ","1,934 ",509 ,102 ,382 ,0 ,88 ,643 ,"1,199 ",N/A,355 ,"52,294 ","4,287 ",242 ,"1,850 ",308 ,156 ,"23,391 ",795 ,695 ,210 ,"1,581 ","1,976 ",248 ,649 ,"5,286 ","2,491 ",0 ,"1,053 ",0 ,N/A,"2,179 "
New Mexico,413 ,235 ,"11,013 ",159 ,"9,323 ","5,273 ",0 ,39 ,118 ,"2,661 ",476 ,341 ,834 ,"1,231 ",609 ,257 ,76 ,506 ,102 ,476 ,607 ,701 ,478 ,913 ,608 ,"1,320 ",21 ,317 ,"2,411 ",155 ,656 ,N/A,808 ,985 ,297 ,"1,148 ",540 ,"1,264 ","1,372 ",49 ,621 ,85 ,485 ,"13,788 ","1,272 ",0 ,"1,393 ","1,860 ",57 ,859 ,28 ,N/A,182 
New York,"1,265 ","3,340 ","3,033 ",618 ,"21,844 ","3,837 ","11,674 ",706 ,"5,277 ","34,951 ","8,570 ","1,170 ",936 ,"8,569 ","2,350 ",446 ,964 ,"1,668 ","1,441 ","2,366 ","8,332 ","16,390 ","4,188 ","1,570 ",404 ,"2,549 ",376 ,"1,671 ","1,607 ","2,635 ","32,988 ","1,363 ",N/A,"12,468 ",0 ,"6,321 ",654 ,"2,423 ","22,598 ","2,063 ","2,735 ",196 ,"1,979 ","7,824 ",823 ,"5,617 ","9,609 ","3,231 ",703 ,"2,209 ",72 ,N/A,"5,580 "
North Carolina,"3,817 ",961 ,"3,613 ","2,316 ","15,680 ","3,198 ","4,336 ","2,771 ","3,833 ","44,954 ","17,856 ","2,961 ",480 ,"5,387 ","4,970 ",569 ,"3,145 ","2,975 ","3,107 ","1,699 ","14,508 ","5,669 ","10,995 ","2,017 ","1,960 ","2,756 ",813 ,581 ,820 ,"2,185 ","13,319 ",643 ,"30,206 ",N/A,503 ,"13,059 ","1,065 ","1,970 ","14,055 ","2,281 ","25,411 ",0 ,"8,753 ","12,478 ","1,427 ","2,079 ","33,089 ","3,250 ","4,470 ","1,901 ",92 ,N/A,"1,224 "
North Dakota,0 ,31 ,382 ,62 ,"1,340 ","1,367 ",0 ,0 ,0 ,908 ,229 ,41 ,77 ,515 ,148 ,166 ,254 ,0 ,0 ,0 ,16 ,44 ,145 ,"8,059 ",44 ,347 ,"1,119 ",423 ,457 ,0 ,268 ,164 ,202 ,0 ,N/A,73 ,0 ,151 ,26 ,0 ,0 ,"2,217 ",82 ,"1,452 ",300 ,0 ,442 ,402 ,0 ,286 ,160 ,N/A,0 
Ohio,"1,544 ","1,100 ","3,007 ",435 ,"12,056 ","2,448 ",784 ,310 ,599 ,"16,019 ","6,119 ",199 ,182 ,"9,866 ","12,761 ","1,679 ","1,221 ","13,237 ",762 ,353 ,"3,618 ","2,392 ","15,671 ","1,810 ",951 ,"3,468 ",110 ,"1,545 ","1,363 ",958 ,"3,080 ",754 ,"6,577 ","6,441 ",647 ,N/A,823 ,"2,302 ","14,516 ",0 ,"3,117 ",73 ,"5,393 ","9,074 ",610 ,714 ,"5,506 ","1,410 ","7,241 ","2,415 ",637 ,N/A,"1,747 "
Oklahoma,744 ,"1,496 ","4,193 ","7,690 ","15,936 ","5,671 ",0 ,0 ,48 ,"3,485 ","3,084 ",599 ,68 ,"2,896 ","2,249 ",159 ,"7,584 ",178 ,"1,207 ",107 ,"1,329 ",569 ,544 ,768 ,935 ,"7,386 ",889 ,968 ,"1,280 ",0 ,423 ,"3,509 ","1,791 ","1,652 ",159 ,"2,698 ",N/A,414 ,"1,568 ",0 ,818 ,365 ,"1,399 ","27,538 ",992 ,375 ,"1,877 ","2,285 ",260 ,772 ,211 ,N/A,106 
Oregon,889 ,"3,029 ","7,024 ",425 ,"35,942 ","3,479 ",309 ,55 ,269 ,"1,623 ","1,167 ","2,040 ","7,495 ","1,065 ","1,068 ",356 ,"1,810 ",159 ,302 ,337 ,458 ,"1,823 ","2,157 ","1,320 ",232 ,751 ,"1,610 ",284 ,"3,658 ",161 ,460 ,"1,800 ","1,813 ","1,344 ",0 ,"1,140 ","1,040 ",N/A,"1,912 ",73 ,77 ,146 ,"1,931 ","2,696 ","2,135 ",282 ,"3,051 ","23,144 ",0 ,317 ,850 ,N/A,0 
Pennsylvania,861 ,"1,063 ","4,251 ","2,428 ","11,173 ","1,288 ","4,962 ","7,970 ",653 ,"13,564 ","6,493 ",870 ,48 ,"5,432 ","3,907 ",817 ,767 ,"2,998 ","1,869 ","1,450 ","21,147 ","7,057 ","3,820 ","2,431 ",431 ,"1,174 ",401 ,"1,909 ","2,016 ","1,766 ","39,867 ",475 ,"47,476 ","7,891 ",251 ,"12,037 ",891 ,849 ,N/A,936 ,"2,874 ",162 ,"2,332 ","7,471 ",452 ,492 ,"12,913 ","2,257 ","3,918 ","1,768 ",545 ,N/A,"5,988 "
Rhode Island,0 ,158 ,137 ,0 ,"1,243 ",0 ,"2,396 ",74 ,377 ,"2,703 ",306 ,246 ,0 ,167 ,134 ,81 ,0 ,214 ,253 ,235 ,428 ,"9,638 ",538 ,128 ,0 ,346 ,0 ,0 ,143 ,625 ,"3,008 ",176 ,"4,479 ","1,758 ",0 ,560 ,0 ,55 ,"1,201 ",N/A,638 ,78 ,251 ,51 ,78 ,428 ,490 ,300 ,32 ,0 ,0 ,N/A,239 
South Carolina,"2,337 ",507 ,"1,090 ",741 ,"7,583 ","1,486 ","2,562 ",616 ,"2,229 ","18,756 ","17,307 ","1,861 ",303 ,"3,988 ","1,531 ",718 ,709 ,"2,462 ","1,628 ",575 ,"5,577 ","3,019 ","4,280 ",534 ,"2,737 ","2,323 ",234 ,285 ,"1,325 ",667 ,"5,132 ",379 ,"9,593 ","31,367 ",66 ,"4,892 ",692 ,"1,713 ","3,768 ",304 ,N/A,717 ,"5,640 ","6,999 ",300 ,73 ,"8,131 ",829 ,"1,869 ",917 ,232 ,N/A,767 
South Dakota,135 ,86 ,"1,037 ",246 ,"1,529 ",641 ,0 ,0 ,53 ,"1,056 ",673 ,106 ,0 ,638 ,0 ,"2,515 ",457 ,60 ,650 ,0 ,60 ,113 ,278 ,"2,007 ",437 ,240 ,180 ,"3,855 ",724 ,0 ,90 ,"1,068 ",299 ,841 ,"1,832 ",407 ,90 ,118 ,112 ,67 ,200 ,N/A,97 ,"1,233 ",267 ,0 ,180 ,910 ,0 ,732 ,"1,029 ",N/A,336 
Tennessee,"11,797 ",557 ,"2,918 ","3,667 ","11,389 ","3,176 ",797 ,543 ,637 ,"26,501 ","17,655 ",596 ,599 ,"7,968 ","4,229 ",87 ,"1,331 ","9,942 ","4,070 ",256 ,"2,315 ","1,714 ","5,810 ",668 ,"9,723 ","2,368 ",222 ,330 ,246 ,418 ,"2,789 ",662 ,"4,798 ","9,656 ",0 ,"5,439 ","1,055 ",690 ,"3,168 ",362 ,"3,959 ",289 ,N/A,"8,236 ",272 ,483 ,"5,630 ","2,147 ",829 ,"3,658 ",112 ,N/A,259 
Texas,"8,086 ","7,239 ","16,002 ","16,860 ","78,310 ","18,577 ","3,056 ",657 ,906 ,"38,595 ","17,625 ","4,691 ",987 ,"19,760 ","10,187 ","6,026 ","10,339 ","6,141 ","40,272 ","1,065 ","8,905 ","5,901 ","14,056 ","10,285 ","9,219 ","15,842 ","1,808 ","3,515 ","5,716 ","2,790 ","7,239 ","16,772 ","18,967 ","11,940 ",404 ,"12,032 ","27,675 ","4,097 ","9,467 ","1,522 ","3,791 ","2,144 ","9,729 ",N/A,"5,339 ",27 ,"14,537 ","10,670 ","1,044 ","8,128 ","2,789 ",N/A,"3,807 "
Utah,877 ,"1,106 ","7,588 ",0 ,"22,204 ","5,066 ",266 ,83 ,69 ,"5,130 ","1,542 ","1,200 ","7,925 ","1,270 ","1,048 ",799 ,"1,514 ",840 ,348 ,530 ,475 ,792 ,"1,123 ",887 ,"1,075 ",990 ,"1,618 ",929 ,"6,980 ",316 ,778 ,"1,209 ","1,785 ",370 ,127 ,"2,155 ",152 ,"1,957 ",311 ,204 ,215 ,366 ,"1,455 ","5,995 ",N/A,209 ,"1,393 ","6,777 ",670 ,"1,900 ","1,195 ",N/A,97 
Vermont,122 ,36 ,128 ,110 ,"1,558 ",518 ,"1,408 ",0 ,58 ,"1,353 ",418 ,23 ,86 ,525 ,0 ,0 ,0 ,30 ,66 ,680 ,310 ,"3,897 ",125 ,0 ,0 ,46 ,140 ,9 ,0 ,"2,267 ",749 ,229 ,"4,205 ",923 ,16 ,43 ,0 ,203 ,"1,349 ",92 ,81 ,0 ,0 ,251 ,0 ,N/A,465 ,323 ,138 ,56 ,84 ,N/A,0 
Virginia,"4,288 ","2,684 ","3,605 ","1,658 ","17,437 ","6,681 ","3,906 ","1,252 ","9,139 ","22,575 ","10,080 ","3,864 ","1,272 ","7,206 ","2,466 ",559 ,"1,714 ","2,119 ","1,616 ",842 ,"29,066 ","5,698 ","5,355 ","1,882 ",888 ,"2,294 ",237 ,"1,215 ","1,672 ",652 ,"8,564 ","1,448 ","18,574 ","24,506 ",135 ,"6,101 ","1,624 ","1,715 ","16,814 ",754 ,"6,587 ",172 ,"7,613 ","12,900 ","1,551 ",553 ,N/A,"3,736 ","5,484 ",997 ,687 ,N/A,"1,889 "
