,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia ,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,Total,Puerto Rico
United States,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Alabama,N/A,"1,253 ","1,005 ","1,580 ","4,643 ",981 ,514 ,0 ,0 ,"18,536 ","26,244 ",988 ,37 ,"2,345 ","3,616 ",243 ,351 ,"2,453 ","4,346 ",64 ,"2,195 ",522 ,"5,007 ",701 ,"10,358 ","1,270 ",85 ,603 ,620 ,240 ,"2,922 ",726 ,"4,909 ","4,868 ",0 ,"2,859 ",862 ,151 ,"1,991 ",139 ,"1,848 ",0 ,"9,812 ","9,001 ",184 ,65 ,"4,390 ","1,023 ",361 ,590 ,294 ,N/A,320 
Alaska,"1,151 ",N/A,"2,320 ",386 ,"3,985 ","1,771 ",164 ,0 ,0 ,956 ,"1,639 ","1,119 ",168 ,559 ,196 ,0 ,555 ,267 ,325 ,338 ,938 ,359 ,"1,061 ",172 ,99 ,843 ,897 ,185 ,210 ,0 ,113 ,307 ,569 ,386 ,191 ,303 ,319 ,"1,740 ",550 ,0 ,860 ,68 ,"1,484 ","3,460 ",372 ,0 ,"1,028 ","3,368 ",0 ,586 ,0 ,N/A,216 
Arizona,"1,678 ","1,994 ",N/A,"1,432 ","65,684 ","10,555 ","1,026 ",371 ,613 ,"5,693 ","4,160 ","2,966 ","1,910 ","11,447 ","5,633 ","2,570 ","3,357 ",754 ,"1,178 ","1,053 ","2,248 ","5,328 ","12,012 ","7,949 ",436 ,"6,354 ","1,063 ","1,388 ","10,394 ",529 ,"4,214 ","10,332 ","5,843 ","3,803 ",985 ,"6,477 ","2,830 ","7,151 ","3,616 ",168 ,"1,490 ",752 ,"2,585 ","13,890 ","7,662 ",227 ,"3,766 ","9,194 ",759 ,"4,049 ","1,219 ",N/A,145 
Arkansas,"2,065 ",410 ,930 ,N/A,"7,139 ","1,148 ",508 ,0 ,72 ,"2,923 ","1,023 ",149 ,183 ,"2,333 ","1,176 ",249 ,"2,085 ",858 ,"5,563 ",0 ,855 ,382 ,"1,771 ","1,336 ","2,948 ","6,958 ",0 ,555 ,"2,131 ","1,320 ",332 ,"1,187 ","1,206 ","1,057 ",59 ,979 ,"5,991 ",250 ,339 ,0 ,"1,022 ",113 ,"5,108 ","18,459 ","1,343 ",0 ,406 ,"1,908 ",222 ,"1,599 ",498 ,N/A,553 
California,"2,527 ","5,508 ","33,629 ","4,098 ",N/A,"23,652 ","6,930 ",324 ,"1,853 ","28,552 ","13,499 ","15,352 ","5,052 ","24,219 ","7,152 ","2,962 ","2,793 ","3,871 ","6,176 ","1,374 ","8,522 ","12,018 ","15,046 ","9,692 ","4,442 ","9,661 ","2,584 ","2,700 ","29,730 ","1,190 ","9,919 ","5,536 ","25,255 ","12,337 ",242 ,"10,141 ","4,443 ","17,046 ","11,695 ","1,612 ","3,275 ",672 ,"8,140 ","36,391 ","12,377 ",250 ,"14,966 ","24,449 ",265 ,"5,551 ","1,388 ",N/A,599 
Colorado,"1,958 ","1,905 ","10,752 ","2,261 ","29,278 ",N/A,"3,270 ",212 ,565 ,"8,594 ","3,934 ","1,885 ","1,142 ","5,902 ","2,821 ","1,309 ","5,977 ","1,558 ","3,012 ","1,177 ","3,452 ","4,013 ","2,417 ","2,965 ",181 ,"6,505 ","1,398 ","4,892 ","4,858 ",391 ,"2,136 ","4,450 ","4,380 ","2,612 ","1,025 ","5,159 ","3,974 ","5,550 ","2,036 ","1,295 ",576 ,793 ,"2,415 ","23,618 ","4,529 ",426 ,"4,864 ","3,639 ",369 ,"3,007 ","2,446 ",N/A,0 
Connecticut,205 ,244 ,701 ,219 ,"4,376 ","1,156 ",N/A,148 ,439 ,"7,760 ",652 ,235 ,265 ,"1,897 ",953 ,508 ,0 ,405 ,236 ,995 ,"2,139 ","8,705 ",722 ,313 ,0 ,74 ,0 ,404 ,636 ,"2,045 ","4,884 ",0 ,"23,272 ","2,297 ",65 ,654 ,71 ,60 ,"2,346 ","1,927 ",371 ,13 ,602 ,"2,311 ",563 ,680 ,"1,101 ",761 ,46 ,207 ,0 ,N/A,"1,957 "
Delaware,185 ,60 ,324 ,0 ,214 ,484 ,539 ,N/A,170 ,"1,314 ",304 ,0 ,0 ,107 ,502 ,60 ,237 ,36 ,288 ,0 ,"5,631 ","1,274 ",903 ,117 ,406 ,0 ,0 ,0 ,789 ,84 ,"6,461 ",167 ,"3,848 ","1,038 ",0 ,280 ,210 ,0 ,"10,526 ",262 ,480 ,0 ,99 ,"1,683 ",0 ,16 ,"1,123 ",21 ,100 ,0 ,50 ,N/A,306 
District of Columbia ,453 ,0 ,296 ,574 ,"4,178 ",489 ,"1,438 ",471 ,N/A,"2,307 ",501 ,252 ,47 ,"1,239 ",124 ,111 ,0 ,202 ,96 ,53 ,"14,647 ","1,659 ",419 ,0 ,0 ,355 ,119 ,102 ,53 ,108 ,778 ,107 ,"3,751 ",534 ,0 ,"1,232 ",0 ,400 ,"1,406 ",415 ,103 ,53 ,124 ,968 ,0 ,172 ,"6,365 ",586 ,163 ,204 ,0 ,N/A,0 
Florida,"13,391 ","6,221 ","3,872 ","1,883 ","20,661 ","10,966 ","13,719 ","1,158 ","1,321 ",N/A,"31,752 ","2,678 ","1,122 ","18,065 ","13,047 ","1,425 ","1,402 ","9,255 ","5,901 ","4,872 ","13,441 ","24,301 ","22,360 ","5,005 ","6,103 ","4,774 ",481 ,950 ,"2,141 ","2,757 ","23,909 ",835 ,"63,312 ","15,249 ",753 ,"23,340 ","3,528 ","2,119 ","25,668 ","3,530 ","8,460 ",682 ,"10,052 ","24,855 ","1,645 ","1,139 ","21,684 ","7,426 ","2,778 ","6,744 ",795 ,N/A,"18,832 "
Georgia,"17,724 ","2,063 ","4,385 ","2,285 ","21,454 ","3,194 ","3,380 ","1,323 ","1,924 ","77,098 ",N/A,"2,198 ",335 ,"8,465 ","3,902 ","1,599 ",986 ,"4,276 ","10,574 ",306 ,"5,543 ","3,986 ","8,520 ","1,605 ","3,829 ","3,003 ",373 ,289 ,917 ,909 ,"8,683 ","1,365 ","24,235 ","15,027 ",0 ,"6,873 ","2,431 ","1,991 ","9,614 ",297 ,"14,735 ",249 ,"13,358 ","18,656 ","2,986 ",660 ,"12,095 ","1,735 ","1,861 ","2,300 ",420 ,N/A,"2,471 "
Hawaii,"1,223 ",588 ,"2,125 ",5 ,"11,560 ",698 ,150 ,0 ,352 ,"3,314 ","1,462 ",N/A,60 ,"1,142 ",275 ,0 ,638 ,606 ,0 ,129 ,952 ,"1,403 ","1,101 ",716 ,41 ,181 ,445 ,42 ,"1,347 ",298 ,132 ,244 ,"1,843 ","1,500 ",0 ,974 ,388 ,"3,110 ",328 ,453 ,793 ,55 ,526 ,"3,372 ",774 ,267 ,"2,446 ","3,327 ",25 ,563 ,0 ,N/A,206 
Idaho,67 ,693 ,"4,701 ",0 ,"10,146 ","2,707 ",0 ,0 ,0 ,"2,166 ",365 ,677 ,N/A,"1,167 ",408 ,321 ,484 ,357 ,0 ,118 ,234 ,133 ,389 ,"1,643 ",10 ,398 ,"1,847 ",343 ,"3,732 ",153 ,123 ,"1,915 ",349 ,596 ,319 ,695 ,468 ,"5,235 ",298 ,153 ,12 ,149 ,573 ,"1,708 ","6,361 ",0 ,299 ,"11,271 ",238 ,627 ,"1,578 ",N/A,0 
