,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia ,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,Total,Puerto Rico
United States2,"111,655","92,637","203,810","65,198","593,308","173,332","95,501","27,179","59,138","437,516","245,570","60,739","56,887","323,468","136,869","76,960","93,047","98,496","85,901","32,076","177,059","153,736","173,337","121,319","72,543","154,226","35,654","43,219","103,599","41,391","208,583","70,144","424,074","248,938","27,685","207,006","102,615","103,111","251,844","37,876","121,524","31,154","160,057","435,107","79,697","20,424","263,767","198,200","48,804","114,724","33,465","2,042,205","83,844"
Alabama,N/A,"1,136",837,"1,450","5,402","2,019",497,116,123,"14,403","20,220","1,034",508,"2,263","2,065",231,496,"3,718","2,353",0,"1,318",601,"2,559",264,"5,473","2,347",0,284,617,250,635,570,"2,283","2,418",0,"4,577","1,218",194,"1,444",0,"2,255",0,"7,770","6,422",599,179,"1,925","1,143","1,162",234,307,"13,279",320
Alaska,603,N/A,"2,049",240,"3,419","2,017",167,56,0,"2,681",535,730,716,159,183,123,380,917,844,131,300,314,140,406,423,"1,706",637,173,160,141,145,217,168,802,144,568,150,"2,034",567,78,910,157,355,"4,549",442,115,684,"4,841",0,459,107,"4,090",118
Arizona,785,"3,140",N/A,"1,180","57,446","9,663",458,500,185,"9,149","4,393","1,911","3,825","11,858","2,431","2,739","2,355","2,366","1,454",762,"2,206","2,039","9,378","4,541",950,"6,000","1,399","1,782","7,013",875,"2,923","8,522","7,309","3,932","1,408","6,908","2,124","6,548","4,292","1,650","1,027","1,508","1,602","16,411","5,118",661,"3,202","13,152",32,"5,948","2,670","48,864",679
Arkansas,"2,145",66,782,N/A,"5,070","1,149",431,0,213,"2,611","2,013",283,0,"3,251",405,696,"1,491",398,"2,844",0,64,49,801,846,"2,962","9,565",232,0,229,0,244,778,"1,326",335,0,711,"8,530",254,816,0,543,0,"4,534","14,398",490,0,"1,250",777,303,822,34,"9,106",148
California,"10,439","7,098","35,200","1,570",N/A,"17,500","5,994","1,067","4,219","25,622","8,669","12,753","7,303","21,441","6,680","3,618","6,836","3,217","4,884",761,"6,996","10,750","11,601","9,449","2,336","7,638","2,862","3,143","29,985","1,119","12,884","4,744","34,201","12,550","1,112","8,267","6,511","21,028","14,858",817,"3,925","2,964","5,620","38,990","14,273","1,041","17,847","32,837",897,"6,451","1,401","318,021","4,317"
Colorado,"1,004","2,696","12,304","1,956","24,506",N/A,832,254,"1,323","9,304","5,057","2,943","1,365","9,081","3,940","4,707","4,780","1,004","2,066",194,"3,091","2,565","2,858","3,673",777,"4,900","2,733","2,896","3,945",369,"2,212","7,069","9,519","4,974","1,059","4,419","6,811","2,064","4,244",0,"1,590","1,570","2,297","24,431","2,926",720,"7,328","8,768",110,"4,068","5,426","33,518",342
Connecticut,275,"2,294",269,0,"3,683",464,N/A,282,212,"6,450","2,232",662,0,"2,059",177,104,0,636,150,"1,898","1,825","8,381",28,858,66,844,0,0,541,"1,296","5,473",0,"21,431","1,368",0,"1,064",260,555,"3,872","4,771",457,93,"1,325","1,696",241,825,"2,847",699,0,83,0,"30,183","4,210"
Delaware,46,462,269,0,160,95,954,N/A,358,752,"1,455",0,0,88,0,0,0,105,0,14,"6,777","1,050",159,484,0,477,0,54,29,483,"4,366",58,"3,673","1,036",0,148,224,7,"5,670",32,418,0,277,737,0,0,806,124,176,143,0,"4,453",272
District of Columbia ,251,92,186,106,"5,206",476,"1,336",290,N/A,"1,745",445,283,229,"1,768",525,96,133,375,689,167,"13,606","1,575",334,414,71,195,84,111,593,154,"2,075",76,"3,562","1,670",44,286,78,130,"2,311",125,389,0,429,"1,311",445,0,"9,920","1,089",213,291,255,"11,432",39
