,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia ,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,Total,Puerto Rico
United States1,"109,210","84,068","206,842","64,967","566,986","161,530","87,023","25,149","59,513","428,325","252,262","61,509","55,191","277,953","144,597","73,325","93,134","103,004","95,956","38,574","157,664","158,156","175,733","115,946","66,947","142,754","33,832","48,816","98,882","38,696","219,202","63,921","405,864","238,663","23,959","199,202","102,572","108,182","237,156","30,498","127,418","22,534","163,843","402,187","82,165","20,056","238,540","180,462","47,425","97,724","32,228","1,833,217","74,500"
Alabama,N/A,"1,004",962,660,"3,077","1,386",284,42,162,"11,244","19,920",627,493,"2,722","1,347",345,865,"2,495","3,104",67,"1,513",334,"2,298",752,"4,952","1,555",101,151,"1,009",161,"1,702",459,"2,709","5,133",228,"1,411",194,200,"1,837",0,"2,811",518,"10,539","7,468",579,0,"3,170","1,034",128,760,88,"15,242",619
Alaska,"1,097",N/A,"1,520",196,"3,494",556,0,0,356,"1,991",928,"1,376",538,58,260,13,221,161,120,66,508,297,563,192,56,819,371,"1,195",803,118,116,263,736,920,264,"1,316",335,"3,174",255,0,384,99,451,"1,488",330,79,"1,265","3,725",0,206,136,"4,607",25
Arizona,"1,331","3,717",N/A,"1,214","44,889","13,790",417,246,36,"5,553","2,263","2,491","2,934","10,744","2,930","2,702","2,498","1,328",724,616,"3,007","1,961","9,598","8,570",293,"2,595","1,118","2,293","6,712",510,"2,564","6,946","7,402","2,721",877,"7,906","1,626","8,587","4,280",614,"1,070","1,472","5,075","14,788","5,916",207,"2,763","13,247",765,"3,765","2,786","39,987","1,791"
Arkansas,374,855,"1,677",N/A,"3,525",603,185,0,205,"2,682","1,525",0,0,"3,576","1,172",409,"1,033","1,310","3,953",17,169,254,"1,283",295,"3,689","9,105",258,166,121,0,157,547,"2,262","3,057",0,"1,135","9,938",193,516,59,52,673,"4,195","11,767",269,0,"1,159",251,84,695,"1,498","9,339",0
California,"2,509","6,995","38,916","3,472",N/A,"15,150","6,764",474,"3,199","21,004","10,790","11,906","5,331","21,251","5,891","2,284","2,790","3,763","5,180","1,256","7,902","14,356","8,921","8,539","2,556","6,729","3,060","3,302","27,968","1,327","12,057","5,921","31,261","11,195","1,827","10,653","6,671","22,724","10,466","1,648","4,110",826,"5,802","43,005","12,172",544,"15,625","34,569","1,413","5,681","1,886","254,611","2,323"
Colorado,"3,108","3,457","10,589","1,043","22,152",N/A,"1,317",70,488,"8,615","5,834","2,536","2,660","6,374","4,336","2,776","5,283","2,500","5,048",20,"2,844","5,939","3,343","2,992",835,"3,771","2,021","4,472","3,789",679,"2,464","6,520","7,250","4,378","1,918","4,533","4,582","2,419","3,950",137,"2,383",756,"2,535","17,355","6,398",503,"3,796","4,853",837,"3,000","5,602","35,606","1,144"
Connecticut,46,439,"3,167",200,"3,161",367,N/A,22,288,"6,578","1,702",408,97,912,53,0,0,124,909,"1,224","1,752","8,743",753,605,276,358,50,45,172,"1,009","5,665",444,"23,310","3,379",0,287,415,35,"2,214","1,558",940,0,260,"3,279",45,709,"1,729","1,593",174,711,104,"25,150","3,228"
Delaware,119,692,188,0,"2,221",0,"1,489",N/A,11,715,179,0,32,567,62,30,113,0,178,0,"5,649",157,227,351,58,80,0,91,572,99,"5,846",85,"3,566","1,349",0,191,0,0,"6,828",135,298,0,344,133,166,0,"1,746",29,161,0,0,"3,600",56
District of Columbia ,79,"1,247",902,35,"4,999",677,618,78,N/A,"1,705","1,079",38,46,795,469,133,164,112,283,194,"14,120","1,524",944,393,44,337,0,172,42,197,"1,451",116,"3,085",985,0,651,0,157,"1,494",635,150,0,577,"1,473",116,267,"9,537",481,293,721,215,"8,758",0
