,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia ,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,Total,Puerto Rico
Florida,"18,599","10,704","6,473","3,321","20,386","8,766","8,975","1,099",780,N/A,"42,754","3,177","1,268","22,565","13,803","3,864","5,661","6,912","5,550","7,348","10,442","15,159","23,400","5,460","5,490","10,666","1,758",945,"1,241","2,362","27,606","2,853","53,009","23,133",239,"22,927","3,142","2,919","25,659","3,050","11,366","1,070","16,275","28,564","2,499","2,747","25,697","4,943","3,533","6,216",773,"164,567","21,638"
Georgia,"13,864","2,654","6,657","1,041","14,174","4,710","1,829",226,"1,352","42,870",N/A,"1,409",936,"7,143","5,972","1,687","1,497","6,172","4,100",222,"3,619","4,153","9,949","2,237","3,280","3,377",251,"1,283","3,783",15,"4,920",915,"13,957","16,009",207,"7,501","3,299",453,"9,076",440,"18,611",257,"17,606","16,198",20,84,"10,702","1,965","1,237","3,441",106,"51,395","1,730"
Hawaii,608,"1,417","1,865",24,"9,756","1,216",191,278,230,"2,780","1,448",N/A,404,318,292,84,"1,135",485,207,91,"2,491","1,266",321,192,44,944,131,75,760,85,410,284,"2,382","2,241",0,884,"1,095","1,763","1,087",106,644,459,"1,314","3,300","2,183",0,"1,393","5,920",197,295,50,"20,735",336
Idaho,575,"1,198","2,424",291,"10,280","1,186",44,120,116,"2,014",583,206,N/A,532,283,90,63,83,54,0,107,338,683,637,87,214,"3,800",35,"2,535",0,214,675,938,817,0,"1,018",93,"4,963",169,0,205,118,"1,957","1,352","6,617",0,269,"10,398",0,225,677,"6,627",136
Illinois,883,"2,250","7,139","1,587","14,940","3,036",955,234,"1,066","12,687","8,745",869,"1,384",N/A,"16,907","8,529","2,009","2,923","1,229",526,"1,865","3,296","12,583","6,537","2,744","13,264",228,"1,302","1,478",283,"2,366","1,359","7,561","3,761",196,"6,872","1,491",954,"4,588",462,"1,583",394,"4,648","16,780","1,154",156,"4,311","2,704","1,221","14,414",302,"65,852","2,049"
Indiana,"1,625",479,"2,763",564,"6,033","1,225",823,639,"1,045","11,472","2,258",856,186,"28,436",N/A,"1,678","1,624","11,177",736,0,"1,050",837,"11,017","1,543","1,948","4,526",134,591,"1,011",0,"1,537",219,"2,316","2,665",113,"11,235","1,198",387,"2,419",0,"1,414",111,"3,547","4,490",105,0,"1,932",258,507,"1,727","1,681","24,612",136
Iowa,503,951,"1,590",451,"3,268","3,252",112,0,151,"4,335",596,521,290,"11,969","1,716",N/A,918,819,763,78,419,585,946,"7,505",751,"4,168",452,"7,698",681,56,"1,018",114,"1,230",734,833,"1,127","1,465",348,451,0,943,"1,158","1,148","3,553",886,0,268,919,22,"3,607",392,"10,792",786
Kansas,853,333,"3,094","2,158","5,411","3,746",210,0,456,"3,118","1,896",149,456,"1,702","1,679","1,527",N/A,617,438,211,282,187,"1,125",682,452,"21,022",300,"4,126",851,0,267,"1,029",571,813,261,"1,310","8,408",848,918,18,556,154,"1,542","8,468",97,70,"1,705","3,265",139,486,278,"16,830",82
Kentucky,"4,137",304,"1,103",518,"3,415",712,246,706,254,"9,232","4,173",647,50,"4,445","12,203",238,602,N/A,666,46,"1,120",419,"7,302",605,646,"2,381",0,723,301,84,496,554,"5,239","3,643",122,"17,041",577,298,"2,226",0,"1,347",0,"10,064","3,345",464,45,"3,319","1,988","3,346","1,395",0,"17,856",170
Louisiana,"2,329",403,"2,021","3,645","5,139","1,433",164,0,596,"6,534","4,478",378,265,"1,229","1,359",544,420,"1,649",N/A,251,642,549,"1,080",330,"6,791","1,591",428,745,931,11,975,150,"2,786","2,284",64,"1,115","2,159",195,"1,239",737,"1,914",0,"2,348","24,488",277,45,"1,857","1,581",238,682,146,"14,270",655
Maine,129,38,230,0,"1,610",314,"1,468",234,32,"2,926",511,0,143,195,0,7,277,482,15,N/A,325,"3,887",116,430,79,69,0,82,35,"3,655",405,272,"2,519","1,112",0,628,79,215,976,"1,024",173,0,985,496,200,349,573,118,51,0,59,"4,281",38
Maryland,"1,261","1,947",760,136,"8,614","1,071",881,"4,100","21,213","9,610","4,610",610,429,"3,621","1,210",569,"1,726",715,606,332,N/A,"3,977","2,167","1,422",581,256,0,132,330,"1,124","6,260",638,"11,736","7,507",116,"2,522",463,378,"15,485",82,"2,297",0,"1,800","5,612","1,061",589,"20,579","1,431","1,957",460,0,"43,059",294
Massachusetts,636,890,"1,972",394,"12,770",980,"10,525",506,379,"12,890","2,789","1,108",188,"2,886",677,151,565,52,"1,556","3,907","2,381",N/A,"1,337",966,155,453,49,182,787,"13,331","8,046",521,"19,467","2,514",81,"1,829",297,"1,528","8,236","6,863","2,477",194,823,"3,694","1,027","2,534","4,098","1,653",385,584,264,"59,518","4,056"
Michigan,"2,341","1,152","7,168",906,"8,085","2,363",798,114,274,"13,146","4,270",291,242,"10,047","10,976",993,805,"3,409","1,284",261,"2,201","1,720",N/A,"1,127",922,"2,206",218,113,"1,354",446,"1,617","1,318","5,731","3,912",265,"11,318",705,811,"2,739",68,"1,822",66,"3,259","8,638",819,60,"3,057","2,146",353,"4,768","1,277","45,904",782
Minnesota,"1,299",523,"3,065",375,"8,086","3,565",696,0,310,"2,372","2,235","1,277",575,"5,896","2,026","7,220",924,57,791,187,"1,841",814,"2,212",N/A,202,"1,709","1,257",992,932,0,"1,038",322,"1,849","1,745","6,672","2,635","1,212",781,"1,106",299,"1,705","3,442","1,738","4,001",429,77,"1,037","1,685",0,"17,618",213,"24,871",134
Mississippi,"5,141",0,710,"2,680","4,371",799,106,0,97,"4,676","2,669",184,586,"2,703","1,200",160,400,446,"8,588",163,379,67,"1,768",568,N/A,"2,634",166,138,526,60,"2,127",86,"1,492","1,709",98,896,562,465,613,185,596,79,"11,643","7,230",454,0,"1,929",433,0,611,307,"5,012",81
Missouri,"1,333","2,186","2,297","9,434","10,717","3,798",410,234,144,"8,374","3,451","2,114",596,"22,001","4,184","5,956","20,218","2,291","1,178",996,"1,246",810,"2,964","2,798","1,110",N/A,511,"1,999",836,35,960,451,"2,834","3,988",636,"3,557","5,298","1,186","1,535",361,"2,856",527,"3,122","9,278","3,287",318,"2,609","2,312",148,"2,636",810,"22,431",826
Montana,31,726,"1,548",63,"5,428","2,135",0,0,0,"1,875",292,556,"3,385",542,163,415,224,367,0,225,33,97,822,481,32,447,N/A,108,968,115,156,259,482,"1,082",977,402,"1,018","2,950",457,0,230,191,45,"1,393",260,87,156,"4,783",0,750,934,"1,902",0
Nebraska,245,626,"2,406",363,"3,438","2,023",0,0,0,"1,368",786,165,315,"1,193",290,"6,815","3,103",131,411,68,129,195,258,"1,489",176,"2,223",108,N/A,233,0,524,158,318,874,497,563,587,106,702,0,456,"2,507",232,"3,130",229,79,"1,076","1,327",111,316,917,"7,856",0
Nevada,761,"2,161","8,748",353,"49,978","6,402",143,373,468,"3,381",745,"2,053","1,503","2,822",362,714,"1,202",952,421,209,934,318,"1,235","1,157",783,694,"1,086",714,N/A,175,912,"1,138","3,521",767,702,"1,407","1,520","3,101","1,601",336,480,0,"1,699","5,484","4,605",121,"1,135","2,997",100,"1,046",766,"14,429",237
New Hampshire,0,437,440,0,"1,514",572,"1,345",0,101,"2,746",470,43,20,673,297,53,102,284,7,"6,118",33,"18,990",426,0,0,289,0,110,0,N/A,591,223,"2,905","1,609",0,324,186,208,890,"1,248",323,0,77,"2,150",557,"2,960",660,113,80,239,71,"6,225",75
New Jersey,779,359,"1,328",57,"4,330",380,"3,466","1,921",840,"10,649","3,002",22,113,"2,052","1,039",357,426,631,339,430,"3,474","4,907",324,570,106,384,67,35,908,126,N/A,45,"40,495","3,236",55,"1,452","1,540",760,"23,597",429,"2,372",581,"1,400","2,509",425,35,"5,024","1,847",297,680,23,"57,486","2,574"
New Mexico,787,320,"6,391",410,"4,536","4,780",280,100,25,"4,707",192,168,355,790,660,384,672,159,790,57,505,303,602,284,451,"1,216",139,194,604,268,252,N/A,"1,111",335,41,"1,178","1,076",932,822,0,325,509,338,"11,955","1,382",81,"1,560","1,251",0,321,95,"10,318",429
New York,"1,364","4,002","4,146",247,"24,623","3,596","14,595",477,"3,936","27,392","7,592","1,598",607,"8,017","3,040",955,"1,437","1,753","1,083","1,345","7,321","15,073","5,191","1,059",773,"3,310",421,78,600,"2,760","42,574",646,N/A,"10,544",77,"4,625","1,327","1,055","22,895","3,222","5,952",0,"1,279","11,231",622,"2,764","7,939","2,614",921,979,396,"156,849","7,321"
North Carolina,"4,329","1,458","3,493",861,"13,883","4,790","4,914","2,180","1,801","26,365","16,823","1,566",334,"6,378","4,532",775,"1,595","1,531",919,"1,259","9,005","3,710","6,161","1,523","2,377","2,623",244,628,"1,627",754,"11,468","1,138","19,891",N/A,206,"9,337","1,263","1,333","12,179",290,"25,532",351,"9,230","12,638","1,189",445,"26,759","5,915","2,677","2,266",604,"50,431","2,025"
North Dakota,83,70,"1,571",0,999,546,65,0,70,950,98,160,540,799,55,458,161,22,18,98,232,187,757,"15,257",72,"1,490","1,776",950,854,0,140,161,331,231,N/A,6,280,724,114,244,14,"1,754",746,"1,414",43,758,403,"1,604",0,543,365,"3,353",0
Ohio,"3,705","2,207","4,929",884,"8,995","3,180","1,355","1,079",985,"16,366","8,052","1,198",412,"9,510","13,534","1,039","1,166","13,227","2,214","1,189","5,026","2,189","16,336","1,122","1,017","3,026",276,"1,052",907,189,"4,703","1,361","8,732","5,498",453,N/A,858,432,"14,147",435,"2,445",47,"3,542","11,760",197,364,"3,193","2,862","7,820",974,202,"42,039","1,403"
Oklahoma,"1,030","1,279","2,974","5,777","8,950","4,717",0,380,151,"5,011","2,581",189,905,"1,100","1,490","1,088","7,065","1,354","2,562",167,750,"1,233","1,347",906,"1,850","5,210",798,300,"1,101",549,"1,523","1,244","1,981","1,961",308,"1,148",N/A,"1,261",494,0,569,108,"2,471","25,508","2,588",197,"1,749","1,574",368,"1,061",45,"14,625",0
Oregon,373,"2,513","7,954",165,"31,862","4,472",381,0,696,"1,660","1,032","2,501","5,093","1,676","1,380",834,556,202,227,446,457,760,570,"1,792",186,403,"2,192",570,"5,935",39,385,920,"2,379","1,482",42,"1,411",725,N/A,904,177,461,119,802,"3,347","4,793",367,676,"21,224",593,426,765,"19,417",152
Pennsylvania,"1,926","1,658","3,529",573,"7,772","2,574","3,311","4,814","2,921","14,631","4,337",245,359,"3,749","1,599",125,967,"1,233",694,988,"17,529","5,900","2,642","1,169",55,"1,171",135,214,"1,600","1,138","33,791","1,001","32,898","6,380",166,"14,319",378,234,N/A,771,"3,023",159,"1,273","6,768","1,276","1,012","11,960","1,787","6,762","1,550",434,"55,094","7,847"
Rhode Island,20,0,93,0,"2,146",332,"4,170",0,313,"2,752",168,120,0,385,0,0,27,286,24,279,482,"11,253",230,131,0,210,0,188,25,611,"1,219",36,"3,603",478,0,63,0,139,735,N/A,481,0,120,823,0,53,"1,008",287,0,135,21,"6,365",116
South Carolina,"1,665","1,244","2,222",839,"5,979","1,915","1,590",697,435,"11,552","18,570",638,198,"2,125","3,802",643,"1,064","1,924","2,709","2,077","3,565","2,313","2,966",757,"1,407","1,884",93,158,"1,025",917,"6,517","1,052","10,746","24,764",656,"4,388",555,255,"6,497",538,N/A,816,"3,550","5,351",566,298,"9,377","1,629","1,345",832,0,"18,205","1,070"
South Dakota,0,855,435,227,"1,494","1,744",2,0,0,970,122,8,78,74,210,"2,441",403,0,0,0,60,61,892,"3,568",34,474,248,"2,175",135,0,0,175,371,240,"1,725",64,21,667,515,0,158,N/A,507,"1,715",388,5,340,"1,026",131,314,979,"3,998",134
Tennessee,"12,116","1,281","2,250","3,306","8,396","2,473",936,176,180,"15,641","16,012","1,058",787,"7,094","5,591",617,"2,630","13,202","2,452","1,040","1,743","1,525","4,507","1,178","10,568","2,694",308,432,735,271,783,751,"6,279","5,904",7,"6,200","2,495","1,080","3,329",26,"4,300",0,N/A,"8,716",784,133,"8,008","1,876","3,248","1,622",358,"21,270",717
Texas,"9,993","6,759","18,908","13,781","62,702","16,616","2,769",181,"1,189","31,259","20,362","5,040","2,387","19,672","8,264","4,934","12,699","6,040","29,348","1,293","4,969","4,813","9,501","2,803","6,402","12,319","1,813","4,794","8,266",761,"6,797","16,762","20,274","22,660",989,"8,728","26,284","3,827","10,449","1,763","4,470","1,264","10,368",N/A,"4,610",113,"17,734","11,630","1,729","4,192","2,472","193,722","4,435"
Utah,126,"2,819","7,966",361,"15,286","5,350",142,0,0,"2,428","1,142","1,436","5,129","1,588",475,"2,791",398,217,345,380,613,"1,503","1,670",385,284,"1,553","1,057",489,"5,391",507,437,686,"2,129",842,175,"1,875","1,338","4,089",944,351,60,47,863,"3,605",N/A,39,"1,369","3,529",0,"1,445","2,216","19,571",239
Vermont,16,93,127,0,"1,112",382,"1,626",0,116,966,56,6,0,230,68,30,0,"1,243",73,883,862,"3,318",284,315,0,23,147,0,17,"2,893",833,74,"4,780",328,0,214,11,26,935,341,124,39,193,493,81,N/A,728,98,0,151,96,"2,314",0
Virginia,"2,515","1,906","2,420",445,"14,780","5,352","2,725","2,279","10,964","19,574","9,535","3,823",652,"7,089","2,663",221,"1,144","3,908","1,638","1,144","23,925","3,767","2,982","2,294","1,344","1,914",658,357,973,535,"9,073",947,"15,893","25,575",852,"5,622","2,810","1,541","14,190","1,605","7,936",35,"6,189","12,944","2,092",423,N/A,"4,160","3,839","1,258",143,"62,064",516
Washington,"1,507","4,328","8,362","1,413","45,597","5,195","2,901",100,773,"9,370","6,363","5,239","10,604","4,298","1,089","1,159","2,544","1,368","1,646",532,"1,191","2,911","3,470","2,703",615,"2,802","2,919",682,"5,671",309,"2,300",872,"5,562","4,088",217,"3,192","1,223","25,525","3,397",97,"2,727",94,"3,206","14,196","5,298",223,"3,839",N/A,215,"1,168",394,"47,375","1,025"
West Virginia,477,306,79,0,"1,231",104,143,674,294,"1,919","1,108",166,181,220,328,68,39,"2,249",90,35,"5,352",164,778,20,0,59,0,0,229,129,"1,213",81,"1,721","4,683",175,"6,757",520,118,"5,208",0,"1,098",36,"1,061",622,0,54,"6,317",297,N/A,470,252,"2,959",79
Wisconsin,323,236,"3,257",253,"5,347","1,600",657,296,15,"4,937",970,333,360,"22,285","2,480","4,161","1,160",635,598,233,"1,306",489,"3,917","18,965",238,"1,263",784,324,"1,163",3,606,526,"2,033","2,939",284,"2,610",289,945,"1,563",144,"1,053",329,"1,051","2,765",900,62,"1,267","1,208",0,N/A,30,"17,803",975
Wyoming,260,590,"2,014",244,"2,035","5,599",0,0,0,733,166,0,745,905,179,259,539,4,88,0,294,548,965,290,136,244,"1,901","1,216",355,0,121,604,231,459,338,819,964,893,230,0,122,"1,175",4,"1,427","1,710",0,138,"1,323",0,282,N/A,"2,035",16
Puerto Rico,8,57,54,93,519,0,370,0,0,"4,192",232,110,0,"1,021",121,0,143,37,59,0,108,"2,258",435,0,0,0,0,0,0,0,"1,922",28,"2,314",638,0,328,0,0,"2,313",624,4,0,15,360,0,0,684,0,8,989,0,"3,723",N/A2
