source,2011,2012,2013,2014,2015,2016,2017,avg
Wyoming,1.0437179863625983,1.0346399563388873,1.0205191415313226,1.287511542012927,0.8773193868751217,1.0269351365645423,1.4020852466101237,1.098961199470789
Maryland,1.0718409653264407,1.0172986714671932,1.1349079089924161,1.1292964340155753,1.0764325553305623,1.1731580174853606,1.1101452424933898,1.1018685421587056
Minnesota,1.022013481277653,1.147503018546743,1.1373336513236347,1.136126536995589,1.1751078579593643,1.092321237658009,1.082224124957837,1.1132328441026902
New Mexico,0.9887493964268469,1.1687236026548187,1.3307456696239965,1.0178040251316802,1.227108855128872,1.0119749390450912,1.1753733298401887,1.1314971168359278
Hawaii,1.0764311285669599,1.1154048417807598,1.0405282096310453,1.044630572372042,1.1249860444345205,1.1203935067885162,1.433519168263125,1.136556210262424
Massachusetts,1.0431881570478438,1.1092672731225934,1.1507510173880873,1.0485193217934552,1.3177801902866362,1.1838254979653031,1.1827353570427686,1.148009544949527
Michigan,1.3402391526178876,1.3116262753674028,1.158962044818899,1.1556493389603377,1.2642895701736552,1.0030794102929288,0.9951070994105667,1.1755646988059543
California,1.20048972307377,1.1485796358082088,1.1981597480416168,1.154367587087134,1.2511929590632818,1.2776683412399612,1.263595542990188,1.2134362196148802
Connecticut,1.2768174316802328,1.0835751017917845,1.0367737773200076,1.1541464239963262,1.342169175422419,1.4938480671023735,1.1877707770777077,1.2250143934844073
Illinois,1.2442322991249006,1.3314794855213048,1.362420339437848,1.5437347281612706,1.6088987170444364,1.6961509574744862,1.7398714452668484,1.5038268531472991
New Jersey,1.5433542091672967,1.6832817551431007,1.4777841892671668,1.6180388019641458,1.5782167497258353,1.5712910175326789,1.478975188355489,1.564420273022245
New York,1.3387241370757135,1.502904985317697,1.4755243213043894,1.6400679117147707,1.742375131496714,1.726491333714325,1.5865971141306634,1.573240704964896
Alaska,2.5324934443050964,2.5158761035463115,2.9083527357392316,2.4479942920564453,1.1687802628545076,1.3442172523961662,1.42296102519951,2.0486678737281814
