source,2011,2012,2013,2014,2015,2016,2017,avg
South Carolina,0.7702544974753242,0.8131074311604607,0.7752383361337453,0.7066622472654955,0.7897996079029853,0.7727773406766326,0.7732165476998073,0.7715794297592071
Arizona,0.9503717296984435,0.8898075773153744,0.7756980850829571,0.8161214111240139,0.7283451976263517,0.7030121826705262,0.623603984304256,0.7838514525459889
Delaware,0.7852972399150743,0.7235664758178209,0.6733079641206849,0.8449605173164211,0.6940330374199348,0.8605389221556886,0.9252828817606146,0.7867124340723199
Florida,0.8768644817357505,0.7974059290921682,0.800888165226688,0.8005767601523145,0.7613114552311527,0.716428271555557,0.7901235003777741,0.7919426519102007
Oregon,0.8584038278110487,0.9096657557284002,0.7764128447382874,0.7525910895714119,0.7738626542553945,0.7691518222400849,0.7320701209928233,0.7960225879053501
Nevada,1.0507317957315692,0.7956068713038581,0.7972792555082436,0.7945317892476417,0.730953904072824,0.7511768547655197,0.7381306641417558,0.8083444478244874
Texas,0.7865136014112363,0.7920933841718004,0.7480867975344595,0.8078901242545101,0.805275282442969,0.83523184384845,0.8909975195944413,0.8094412218939809
Colorado,0.794675545704617,0.787720667121818,0.8053916133686447,0.7924545554295747,0.8043483039855789,0.8652647137866165,0.8561822211842262,0.8151482315115822
North Carolina,0.8486793747243593,0.873746563231057,0.895506701169171,0.8687934723051097,0.7636730068381131,0.7753584207726899,0.774951088792164,0.828672661118952
Washington,0.9143290153328185,0.837433988881361,0.9175755829311049,0.8998497223722981,0.7731597569584292,0.7463760243357338,0.7623577862393448,0.8358688395787272
North Dakota,0.817071670255306,0.62698558082328,0.7661149378019945,0.7087995084359558,0.7477356985311371,1.2698701736638003,1.000777167358971,0.8481935338386349
Montana,0.9299913569576491,0.8976386309365879,0.7890595728737355,0.9492292537472379,0.7628624883068288,0.8333289212442091,0.7900496389891697,0.8503085518650596
Idaho,0.9584824980111376,0.9309751530792976,1.0356539810364982,0.8801541008463168,0.7571569862753865,0.7794175191458438,0.792138972725629,0.87628274444573
Utah,0.859112618374268,0.9350745419369523,0.9394496725214317,0.8832258350510894,0.8634977044196341,0.8012756459942287,0.900957985218509,0.8832277147880162
Georgia,0.9181597848581768,0.9091636452754571,0.9683624162998438,0.8959302431638665,0.8799152916262243,0.8488788355625492,0.9141844963408381,0.9049421018752793
Tennessee,0.9021693991308366,0.9251544342680323,0.8550971719608631,0.8788063471146983,0.9032170801794582,1.0699140266991285,0.8111396547321907,0.9064997305836011
Oklahoma,0.7440346075423869,0.941269316888742,0.9204246945219898,0.921586765577569,0.8908079150056819,1.0361274509803922,0.9415855081845019,0.9136908941001806
New Hampshire,1.1696486486486486,0.7665002773155851,1.0271691889361891,0.9999516826516561,0.7836882086592074,0.8698171835979945,0.78914033993156,0.9151307899629774
Alabama,0.9072422404566536,1.0440726577437858,0.9338821540412288,1.034618556509975,0.877546223754309,0.8173130420553101,0.8850209743924582,0.9285279784219601
Missouri,0.9261571611159068,0.8761676793715092,0.866671668667467,1.0059092094964779,0.9772355986729667,0.9776916509529572,0.9436403819279853,0.9390676214578958
Kentucky,0.9020730521398515,0.9132612801120696,0.9564564419080102,0.9382805429864254,1.0197160440711572,0.9128561083735142,0.9567726114343414,0.942773725860767
Vermont,0.8880418315984948,0.8209242356023085,0.9393011216566005,0.9023194168323393,1.0425301431801055,1.114335434107798,0.9544539967075178,0.9517008828121664
Arkansas,1.1056768558951966,0.8442974476269689,1.0898033162940202,0.8723190752063794,0.9396891928328064,1.0133646582164513,0.8796010628250495,0.9635359441281246
