target,source,flow
Arkansas,Colorado,1527
California,Colorado,29029
Connecticut,Colorado,2253
Delaware,Colorado,77
District of Columbia ,Colorado,1132
Florida,Colorado,12623
Georgia,Colorado,4644
Hawaii,Colorado,4277
Idaho,Colorado,1692
Illinois,Colorado,11398
Indiana,Colorado,1982
Iowa,Colorado,2718
Kansas,Colorado,6294
Kentucky,Colorado,1678
Louisiana,Colorado,3007
Maine,Colorado,185
Maryland,Colorado,2286
Massachusetts,Colorado,2378
Michigan,Colorado,3739
Minnesota,Colorado,5443
Mississippi,Colorado,881
Missouri,Colorado,6798
Montana,Colorado,910
Nebraska,Colorado,4201
Nevada,Colorado,3723
New Hampshire,Colorado,583
New Jersey,Colorado,3227
New Mexico,Colorado,6393
New York,Colorado,5748
North Carolina,Colorado,3489
North Dakota,Colorado,1388
Ohio,Colorado,3263
Oklahoma,Colorado,3072
Oregon,Colorado,4836
Pennsylvania,Colorado,4870
Rhode Island,Colorado,43
South Carolina,Colorado,2410
South Dakota,Colorado,732
Tennessee,Colorado,2314
Texas,Colorado,25268
Utah,Colorado,4064
Vermont,Colorado,1094
Virginia,Colorado,7686
Washington,Colorado,7368
West Virginia,Colorado,1232
Wisconsin,Colorado,5916
Wyoming,Colorado,3275
Alabama,Connecticut,163
Alaska,Connecticut,68
Arizona,Connecticut,187
Arkansas,Connecticut,0
California,Connecticut,4240
Colorado,Connecticut,467
Delaware,Connecticut,344
District of Columbia ,Connecticut,379
Florida,Connecticut,6122
Georgia,Connecticut,1268
Hawaii,Connecticut,429
Idaho,Connecticut,51
Illinois,Connecticut,1696
Indiana,Connecticut,777
Iowa,Connecticut,362
Kansas,Connecticut,135
Kentucky,Connecticut,30
Louisiana,Connecticut,139
Maine,Connecticut,939
Maryland,Connecticut,917
Massachusetts,Connecticut,9498
Michigan,Connecticut,467
Minnesota,Connecticut,548
Mississippi,Connecticut,84
Missouri,Connecticut,638
Montana,Connecticut,0
Nebraska,Connecticut,0
Nevada,Connecticut,127
New Hampshire,Connecticut,1202
New Jersey,Connecticut,3688
New Mexico,Connecticut,725
New York,Connecticut,23820
North Carolina,Connecticut,1394
North Dakota,Connecticut,95
Ohio,Connecticut,1836
Oklahoma,Connecticut,265
Oregon,Connecticut,290
Pennsylvania,Connecticut,2348
Rhode Island,Connecticut,3035
South Carolina,Connecticut,926
South Dakota,Connecticut,362
Tennessee,Connecticut,237
Texas,Connecticut,2519
Utah,Connecticut,95
Vermont,Connecticut,262
Virginia,Connecticut,2301
Washington,Connecticut,1236
West Virginia,Connecticut,63
Wisconsin,Connecticut,223
Wyoming,Connecticut,0
Alabama,Delaware,76
Alaska,Delaware,344
Arizona,Delaware,282
Arkansas,Delaware,0
California,Delaware,725
Colorado,Delaware,192
Connecticut,Delaware,508
District of Columbia ,Delaware,279
Florida,Delaware,883
Georgia,Delaware,327
Hawaii,Delaware,0
Idaho,Delaware,0
Illinois,Delaware,632
Indiana,Delaware,207
Iowa,Delaware,124
Kansas,Delaware,154
Kentucky,Delaware,75
Louisiana,Delaware,0
Maine,Delaware,376
Maryland,Delaware,6749
Massachusetts,Delaware,1161
Michigan,Delaware,162
Minnesota,Delaware,81
Mississippi,Delaware,26
Missouri,Delaware,82
Montana,Delaware,0
Nebraska,Delaware,0
Nevada,Delaware,0
New Hampshire,Delaware,47
New Jersey,Delaware,4345
New Mexico,Delaware,846
New York,Delaware,4759
North Carolina,Delaware,1504
North Dakota,Delaware,423
Ohio,Delaware,92
Oklahoma,Delaware,54
Oregon,Delaware,90
Pennsylvania,Delaware,13965
Rhode Island,Delaware,0
South Carolina,Delaware,659
South Dakota,Delaware,0
Tennessee,Delaware,82
Texas,Delaware,1423
Utah,Delaware,32
Vermont,Delaware,78
Virginia,Delaware,2112
Washington,Delaware,420
West Virginia,Delaware,119
Wisconsin,Delaware,0
Wyoming,Delaware,0
Alabama,District of Columbia ,359
Alaska,District of Columbia ,235
Arizona,District of Columbia ,367
Arkansas,District of Columbia ,203
California,District of Columbia ,4119
Colorado,District of Columbia ,433
Connecticut,District of Columbia ,1292
Delaware,District of Columbia ,252
Florida,District of Columbia ,2731
Georgia,District of Columbia ,1013
Hawaii,District of Columbia ,52
Idaho,District of Columbia ,5
Illinois,District of Columbia ,785
Indiana,District of Columbia ,748
Iowa,District of Columbia ,135
Kansas,District of Columbia ,33
Kentucky,District of Columbia ,275
Louisiana,District of Columbia ,392
Maine,District of Columbia ,258
Maryland,District of Columbia ,14726
Massachusetts,District of Columbia ,2876
Michigan,District of Columbia ,1308
Minnesota,District of Columbia ,545
Mississippi,District of Columbia ,338
Missouri,District of Columbia ,141
Montana,District of Columbia ,0
Nebraska,District of Columbia ,674
Nevada,District of Columbia ,68
New Hampshire,District of Columbia ,47
New Jersey,District of Columbia ,1804
New Mexico,District of Columbia ,40
New York,District of Columbia ,5133
North Carolina,District of Columbia ,1501
North Dakota,District of Columbia ,0
Ohio,District of Columbia ,1027
Oklahoma,District of Columbia ,150
Oregon,District of Columbia ,157
Pennsylvania,District of Columbia ,1999
Rhode Island,District of Columbia ,234
South Carolina,District of Columbia ,1806
South Dakota,District of Columbia ,9
Tennessee,District of Columbia ,873
Texas,District of Columbia ,1314
Utah,District of Columbia ,177
Vermont,District of Columbia ,117
Virginia,District of Columbia ,8028
Washington,District of Columbia ,134
West Virginia,District of Columbia ,478
Wisconsin,District of Columbia ,514
Wyoming,District of Columbia ,0
Alabama,Florida,15449
Alaska,Florida,1553
Arizona,Florida,7168
Arkansas,Florida,6850
California,Florida,21217
Colorado,Florida,9206
Connecticut,Florida,14887
Delaware,Florida,1685
District of Columbia ,Florida,1512
Georgia,Florida,38654
Hawaii,Florida,2978
Idaho,Florida,846
Illinois,Florida,26406
Indiana,Florida,13396
Iowa,Florida,3142
Kansas,Florida,3648
Kentucky,Florida,10036
Louisiana,Florida,6560
Maine,Florida,5178
Maryland,Florida,16449
Massachusetts,Florida,16651
Michigan,Florida,26138
Minnesota,Florida,5433
Mississippi,Florida,5415
Missouri,Florida,10480
Montana,Florida,1150
Nebraska,Florida,1706
Nevada,Florida,6008
New Hampshire,Florida,5175
New Jersey,Florida,29390
New Mexico,Florida,3762
New York,Florida,69289
North Carolina,Florida,24003
North Dakota,Florida,1363
Ohio,Florida,27403
Oklahoma,Florida,2710
Oregon,Florida,1568
Pennsylvania,Florida,28826
Rhode Island,Florida,2523
South Carolina,Florida,13949
South Dakota,Florida,1400
Tennessee,Florida,19864
Texas,Florida,29706
Utah,Florida,1932
Vermont,Florida,1480
Virginia,Florida,23377
Washington,Florida,3819
West Virginia,Florida,3479
Wisconsin,Florida,9195
Wyoming,Florida,924
Alabama,Georgia,16372
Alaska,Georgia,669
Arizona,Georgia,1713
Arkansas,Georgia,1668
California,Georgia,15675
Colorado,Georgia,4456
Connecticut,Georgia,1995
Delaware,Georgia,205
District of Columbia ,Georgia,652
Florida,Georgia,47286
Hawaii,Georgia,995
Idaho,Georgia,230
Illinois,Georgia,9960
Indiana,Georgia,5212
Iowa,Georgia,908
Kansas,Georgia,2614
Kentucky,Georgia,5313
Louisiana,Georgia,3277
Maine,Georgia,735
Maryland,Georgia,4328
Massachusetts,Georgia,2496
Michigan,Georgia,5744
Minnesota,Georgia,3078
Mississippi,Georgia,4395
Missouri,Georgia,4897
Montana,Georgia,185
Nebraska,Georgia,1010
Nevada,Georgia,2526
New Hampshire,Georgia,649
New Jersey,Georgia,7403
New Mexico,Georgia,1122
New York,Georgia,14853
North Carolina,Georgia,16095
North Dakota,Georgia,0
Ohio,Georgia,7840
Oklahoma,Georgia,1543
Oregon,Georgia,1528
Pennsylvania,Georgia,6493
Rhode Island,Georgia,205
South Carolina,Georgia,17395
South Dakota,Georgia,0
Tennessee,Georgia,18087
Texas,Georgia,16078
Utah,Georgia,1523
Vermont,Georgia,157
Virginia,Georgia,15852
Washington,Georgia,2377
West Virginia,Georgia,1300
Wisconsin,Georgia,3352
Wyoming,Georgia,879
Alabama,Hawaii,240
Alaska,Hawaii,164
Arizona,Hawaii,2701
Arkansas,Hawaii,194
California,Hawaii,10952
Colorado,Hawaii,1618
Connecticut,Hawaii,781
Delaware,Hawaii,0
District of Columbia ,Hawaii,159
Florida,Hawaii,2013
Georgia,Hawaii,1231
Idaho,Hawaii,359
Illinois,Hawaii,1936
Indiana,Hawaii,471
Iowa,Hawaii,308
Kansas,Hawaii,917
Kentucky,Hawaii,1108
Louisiana,Hawaii,455
Maine,Hawaii,255
Maryland,Hawaii,654
Massachusetts,Hawaii,601
Michigan,Hawaii,834
Minnesota,Hawaii,733
Mississippi,Hawaii,164
Missouri,Hawaii,633
